"Bayrak and Sheikh 1996, AS7-HT"	
1958	
0	0
0.765848298	17.6377521
0.810500728	19.31737395
0.895816646	20.93239496
0.959576139	22.73777311
1.008746167	24.67752101
1.097932277	26.42605042
1.171112764	28.16596639
1.194679267	29.61302521
1.315125408	31.30987395
1.439745351	34.12647059
1.485607828	35.93529412
1.552160342	37.41680672
1.622120534	39.32037815
1.731822229	40.96554622
1.804933528	42.81743697
1.870747745	45.53928571
1.999126383	47.39117647
2.038839983	49.33781513
2.149405548	50.87962185
2.224473564	52.75735294
2.450628063	56.84012605
2.541166083	58.69201681
2.658992427	60.45777311
2.702816301	62.74894958
2.847733359	64.47163866
3.024149444	67.68445378
3.064073686	69.37268908
3.205722144	71.43991597
3.315790634	74.09285714
3.38360053	75.41071429
3.511934041	77.67605042
3.636171762	79.09726891
3.804307038	81.50042017
3.864888905	83.20588235
3.936023604	84.74768908
4.063559986	86.4789916
4.133014372	88.71848739
4.356428157	91.04411765
4.415275205	93.19747899
4.537444308	95.26470588
4.68010356	97.33193277
4.833851022	98.71008403
4.758045012	96.47058824
4.725698047	94.4894958
4.64177362	92.59453782
4.503054748	90.61344538
4.450917369	88.80462185
4.424045892	87.08193277
4.299235196	85.53151261
4.212870904	83.36953782
4.052818749	81.37121849
4.046350674	79.70882353
3.915895738	77.94306723
3.882562348	76.16869748
3.774198333	74.41155462
3.642558057	72.19789916
3.58013102	69.83781513
3.413473905	67.18487395
3.237173895	65.10042017
3.170261644	63.59306723
3.150499461	61.7842437
3.036414018	59.32941176
2.91653155	56.41806723
2.798314397	53.67037815
2.623054375	51.70651261
2.561769463	49.57037815
2.482219595	46.38340336
2.316116568	44.41092437
2.255983509	42.72268908
2.211616273	40.23340336
2.073774369	38.23508403
2.019989455	36.65882353
1.956698485	34.51407563
1.838141127	31.3960084
1.729136245	29.21680672
1.574054863	27.68361345
1.553184982	25.60777311
1.410760478	23.22184874
1.328912127	21.03058824
1.269406936	19.25794118
1.212928851	17.47151261
1.14816738	15.68594538
0.998049938	13.77289916
0.936025709	11.89430672
0.868866838	10.08031513
0.774989563	7.614285714
0.700711111	5.882983193
0.534782623	4.056932773
0.443412472	2.16197479
0.449715737	0.594327731
0.327638311	-1.541806723
0.248266084	-3.445378151
0.119954609	-5.383403361
0.062305299	-7.261134454
-0.05013306	-9.104411765
-0.104339118	-11.36113445
-0.200675019	-13.21302521
-0.305156493	-15.19411765
-0.389022028	-17.37331933
-0.529781714	-19.48361345
-0.628827343	-20.93067227
-0.632631995	-22.54138655
-0.804231826	-24.52247899
-0.883392958	-26.23655462
-1.00366839	-28.26071429
-1.045744547	-29.97478992
-1.174283026	-31.35294118
-1.209887187	-33.1789916
-1.32830637	-34.52268908
-1.417894616	-36.36596639
-1.498176944	-38.76911765
-1.655829549	-40.54348739
-1.708171581	-42.25756303
-1.803355296	-44.54012605
-1.90902289	-46.8657563
-2.029757981	-48.31281513
-2.151768332	-50.04411765
-2.221760607	-51.80987395
-2.260235372	-53.66176471
-2.430900896	-55.12605042
-2.430593408	-56.93487395
-2.495646811	-58.57142857
-2.615772852	-60.29411765
-2.711412274	-61.75840336
-2.776323751	-63.39495798
-2.962405939	-65.20378151
-2.900964483	-67.0987395
-3.034165633	-68.90756303
-3.2392673	-70.71638655
-3.269576016	-72.35294118
-3.307111238	-73.55882353
-3.324000408	-71.83613445
-3.309300001	-69.85504202
-3.125020604	-67.61554622
-3.027168208	-65.72058824
-3.000462756	-64.17016807
-2.959709557	-62.53361345
-2.834439963	-60.46638655
-2.825303179	-59.00210084
-2.723872327	-57.10714286
-2.575816166	-55.29831933
-2.141526676	-46.25420168
-2.065991588	-44.32478992
-2.046796911	-42.51596639
-1.879165497	-40.81911765
-1.850191108	-38.97584034
-1.716215495	-37.22731092
-1.605727355	-35.33235294
-1.52987078	-33.50630252
-1.457951658	-31.52521008
-1.390641513	-29.75945378
-1.343384046	-28.02815126
-1.289717314	-26.81365546
-1.182595429	-25.14264706
-1.110890471	-23.29936975
-0.984890085	-21.55084034
-0.950998987	-19.89705882
-0.790125162	-17.48529412
-0.707681831	-15.60756303
-0.615700059	-12.92878151
-0.487707229	-10.88739496
-0.383556766	-9.078571429
-0.270262054	-7.252521008
-0.277453006	-5.073319328
-0.161305626	-3.29894958
-0.052557075	-1.662394958
-0.01564023	0.473739496
0.106214084	2.704621849
0.122971512	4.513445378
0.311070159	6.692647059
0.383636631	8.53592437
0.435686644	10.29306723
0.551867041	12.21386555
0.613349359	14.22165966
0.766504297	17.56884454
0.870322949	19.57319328
0.948383853	21.45609244
1.11583146	23.93331933
1.169901518	25.78865546
1.263032745	28.07983193
1.388854073	30.64663866
1.433208642	32.84306723
1.574085364	34.47962185
1.615289922	35.84915966
1.661250298	37.52878151
1.849345799	40.55210084
1.964814722	42.80021008
2.062144112	44.70378151
2.160149308	46.6762605
2.260102275	49.78571429
2.387688254	51.75819328
2.573476034	54.42836134
2.697567854	57.28802521
2.821324	60.13046218
3.015746031	63.63613445
3.040840749	65.28130252
3.200186869	66.86617647
3.275998505	69.09705882
3.449073087	71.29348739
3.516660258	72.75777311
3.589050019	74.75609244
3.717422241	76.91806723
3.812812285	78.70105042
3.911142816	80.31176471
4.074108004	82.80105042
4.152332279	84.86827731
4.335648427	88.28781513
4.527876144	90.95798319
4.607505028	92.76680672
4.707246238	95.6092437
4.898742991	97.76260504
5.02273111	100.0021008
5.080371023	102.5
5.286700057	102.9306723
5.304447881	104.5672269
5.371593134	105.7731092
5.494718334	107.8403361
5.615741322	109.4768908
5.735838714	111.1134454
5.852410377	113.7836134
6.020164564	115.1617647
6.138680506	117.5735294
6.307194884	119.7268908
6.347705047	117.8319328
6.204011512	114.9033613
6.117505483	112.8361345
5.953457736	111.0273109
5.915010679	109.1323529
5.814598952	107.3235294
5.776307801	105.0840336
5.638984639	103.1890756
5.550626587	101.0357143
5.426163687	98.96848739
5.332881968	97.07352941
5.291813285	94.66176471
5.077021505	92.16386555
4.930835649	90.35504202
4.858143524	87.94327731
4.732414283	86.04831933
4.651259018	84.02415966
4.469984433	82.11197479
4.388625113	80.14810924
4.296587437	78.14117647
4.213511843	76.01365546
4.088893246	74.85084034
4.073487954	73.10231092
3.852572939	70.21680672
3.821704083	68.05483193
3.700789212	66.09096639
3.624073673	63.90315126
3.413058736	61.84453782
3.372892561	59.93235294
3.249503702	57.66701681
3.170095032	55.47920168
3.021465858	53.49810924
2.88217159	51.67205882
2.77206137	50.12163866
2.766826619	48.175
2.623309949	45.26365546
2.526100555	43.44621849
2.467480092	41.42205882
2.25856356	39.15672269
2.250398947	36.83109244
2.115668867	34.68634454
2.027665961	32.82584034
1.956394058	30.79306723
1.854166592	28.80336134
1.755070503	27.21848739
1.661526344	25.28046218
1.607495619	23.23046218
1.490284828	20.80836134
1.404289533	18.94096639
1.292063246	17.02792017
1.205486485	14.98567227
1.124780299	13.03042017
1.01835708	11.21298319
0.897518241	8.828781513
0.773800254	6.907983193
0.656899349	4.43592437
0.648732499	2.566806723
0.474567488	0.499579832
0.413586993	-1.326470588
0.332660665	-3.453991597
0.181767579	-5.547058824
0.072164006	-7.321428571
-0.013583404	-9.414495798
-0.062696315	-11.31806723
-0.177392718	-13.23886555
-0.322697318	-15.25441176
-0.322071095	-17.12352941
-0.50377876	-19.36302521
-0.55028401	-21.24936975
-0.62454194	-22.96344538
-0.689680831	-25.19432773
-0.938767474	-27.40798319
-0.977397765	-29.78529412
-1.002136224	-31.45630252
-1.223530109	-33.94558824
-1.29892713	-35.90084034
-1.218237262	-37.97668067
-1.43021069	-39.69936975
-1.596024658	-41.44789916
-1.577541612	-42.94663866
-1.568441867	-44.28172269
-1.702683049	-45.66848739
-1.800071492	-47.63235294
-1.928839826	-49.44117647
-2.046636049	-51.32752101
-2.040082206	-53.14495798
-2.072496651	-54.78151261
-2.291094188	-56.59033613
-2.423981327	-58.48529412
-2.438679861	-60.12184874
-2.496185359	-61.93067227
-2.664100776	-63.7394958
-2.7714371	-65.63445378
-2.841693279	-67.18487395
-2.925816624	-69.5105042
-2.996468241	-71.31932773
-3.141653327	-73.55882353
-3.189049689	-75.53991597
-3.370007115	-77.3487395
-3.419439714	-78.72689076
-3.479092232	-80.70798319
-3.628885021	-82.25840336
-3.705090877	-84.15336134
-3.825211303	-86.22058824
-3.851399788	-87.68487395
-3.936973176	-89.66596639
-4.090416843	-91.1302521
-4.114544364	-92.93907563
-4.22989172	-94.83403361
-4.265578144	-96.29831933
-4.391662682	-97.76260504
-4.495669295	-99.31302521
-4.621812048	-100.9495798
-4.596016623	-99.22689076
-4.553671189	-97.41806723
-4.329793585	-95.69537815
-4.350475031	-93.88655462
-4.214291601	-91.73319328
-4.16017133	-89.75210084
-4.126384949	-87.85714286
-4.028408197	-85.70378151
-3.917472377	-84.2394958
-3.886944789	-82.68907563
-3.841099156	-81.22478992
-3.666441433	-78.98529412
-3.643199902	-77.17647059
-3.5074513	-75.62605042
-3.447737364	-73.90336134
-3.384315944	-71.92226891
-3.328818363	-70.02731092
-3.174306882	-68.21848739
-3.034298409	-65.80672269
-2.948549136	-63.91176471
-2.877392486	-62.10294118
-2.839124214	-60.72478992
-2.679223068	-58.82983193
-2.691659622	-57.27941176
-2.584211105	-55.64285714
-2.456988136	-53.74789916
-2.406822993	-52.02521008
-2.247529886	-50.47478992
-2.221898186	-48.81239496
-2.249111173	-47.21029412
-2.074577713	-45.44453782
-1.980323504	-44.10084034
-1.992914421	-41.92163866
-1.792754291	-39.61323529
-1.72727906	-37.88193277
-1.610391003	-36.31428571
-1.60248432	-34.36764706
-1.41900364	-32.49852941
-1.378375024	-30.75
-1.237718409	-28.23487395
-1.062924479	-26.40021008
-1.102829025	-24.65168067
-1.004907102	-23.17016807
-0.984708731	-21.20630252
-0.882557186	-19.98319328
-0.788224812	-18.38109244
-0.71417845	-16.59810924
-0.652552165	-14.60840336
-0.454538083	-12.80819328
-0.402233442	-11.04243697
-0.306645307	-8.88907563
-0.206331837	-6.701260504
-0.135771185	-4.599579832
-0.009335075	-2.506512605
0.055673248	-0.792436975
0.239194778	2.024159664
0.317478873	3.850210084
0.366178116	5.409243697
0.462495843	7.106092437
0.522431144	8.811554622
0.602866497	10.74957983
0.724734266	12.79010504
0.812960756	14.5937605
0.897785921	16.43531513
0.994472399	18.51115546
1.070307971	20.75840336
1.161808268	22.71882353
1.346484489	25.1512605
1.359487572	27.00315126
1.471665416	28.91533613
1.59814921	31.57689076
1.708769198	33.55798319
1.827487169	36.46071429
1.953390987	39.07058824
2.052991926	41.24117647
2.112146552	43.05861345
2.326954177	46.36617647
2.476924111	49.18277311
2.543149946	50.9657563
2.594883422	52.64537815
2.692671063	54.5144958
2.761485037	56.70231092
2.856381824	58.78676471
2.983971005	60.87983193
3.06465142	62.75756303
3.171112928	65.06596639
3.357931603	67.9342437
3.523986081	70.27710084
3.625046151	72.32710084
3.601265045	74.41155462
3.839338625	77.32289916
3.891558606	79.3987395
4.058960912	81.42289916
4.190175863	83.93802521
4.294231495	85.67794118
4.362854741	87.85714286
4.603163051	90.52731092
4.650977216	92.50840336
4.778351869	95.00630252
4.894410669	97.67647059
4.983392911	99.74369748
5.166687079	102.7584034
5.291569003	104.7394958
5.372063172	107.4096639
5.504885677	109.8214286
5.630883561	112.1470588
5.801301963	114.4726891
5.874296386	116.0231092
5.968439006	118.262605
6.138472699	121.105042
6.29718963	122.7415966
6.257106805	120.5021008
6.213078995	118.1764706
