"Bayrak and Sheikh 1996, ES8-HT"	
2164	
0	0
9.41E-08	10.02133311
0.400235388	20.33613445
0.800470682	30.67226891
1.480870682	41.00840336
1.520894212	42.04201681
1.520894212	41.42184874
1.480870682	39.97478992
1.400052666	35.02132123
1.210052133	25.00023133
1.102825165	20.00221156
0.894295154	15.16268908
0.800984082	12.67168067
0.687536329	10.50109244
0.622164914	8.330504202
0.545653501	6.211596639
0.460786902	3.947983193
0.388071606	1.746386555
0.274250924	-0.599915966
0.199504967	-3.018571429
0.123585232	-5.003109244
0.046227742	-7.370084034
-0.065388091	-9.675042017
-0.147161285	-11.79394958
-0.207216767	-14.18159664
-0.250664882	-16.29016807
-0.331330513	-18.31605042
-0.444242125	-20.48663866
-0.537197878	-22.67789916
-0.637375817	-24.8794958
-0.704576944	-27.15344538
-0.828915533	-28.9312605
-0.959639933	-31.20521008
-0.929099255	-33.28277311
-1.080980612	-35.53605042
-1.157231821	-37.61361345
-1.290224322	-39.84621849
-1.417353186	-41.11756303
-1.463980551	-43.08142857
-1.53247954	-45.24168067
-1.485257891	-43.18478992
-1.415345876	-41.27260504
-1.382852423	-39.3707563
-1.338262052	-37.09680672
-1.149406595	-34.61613445
-1.158769	-32.20781513
-1.0926036	-29.90285714
-1.052015058	-27.88731092
-0.971604697	-25.43764706
-0.914470684	-23.37042017
-0.87061117	-21.00344538
-0.796685527	-18.73983193
-0.705591469	-16.17647059
-0.674562916	-14.30563025
-0.643471819	-12.18672269
-0.559381481	-10.22285714
-0.539570241	-8.01092437
-0.395265173	-5.871344538
-0.383190972	-3.866134454
-0.319921205	-1.530168067
-0.229272245	0.991848739
-0.185603407	3.224453782
-0.044433622	5.767142857
0.036658628	7.948067227
0.100647416	9.829243697
0.165628203	11.91714286
0.217465969	14.13217647
0.317305272	16.33067227
0.396764027	18.59945378
0.503431517	20.89821008
0.424012274	22.51081933
0.514527657	24.39113445
0.658508336	26.21718487
0.706835276	27.9157563
0.830767515	29.65567227
0.929036861	33.43697479
1.023346084	35.41806723
1.094626536	37.45084034
1.1986859	39.70756303
1.235158989	41.51638655
1.267340227	43.47163866
1.329245257	45.18571429
1.393581938	47.27878151
1.4031086	49.36323529
1.433246984	51.24096639
1.539731914	53.32542017
1.594178078	55.18592437
1.670520121	57.06365546
1.699225189	59.15672269
1.735491644	61.40483193
1.826797132	63.29978992
1.867033279	65.14306723
1.858964614	66.77962185
1.953579057	68.39894958
1.99619425	70.3197479
2.037319223	72.22331933
2.120560408	73.98907563
2.126852989	76.53004202
2.243186395	78.79537815
2.263156141	80.475
2.339851775	81.83592437
2.388269483	83.63613445
2.511978626	85.6947479
2.527871183	87.21071429
2.587710145	89.33823529
2.62860521	91.06092437
2.699362082	92.61134454
2.706846282	94.33403361
2.782671784	95.88445378
2.902660187	97.43487395
2.944003527	99.41596639
3.031307269	101.052521
3.109419679	102.8613445
3.086016269	104.2394958
3.079365324	106.3067227
3.228789044	108.1155462
3.238819569	110.355042
3.408008391	111.8193277
3.393865468	113.3697479
3.392769286	114.9201681
3.521159763	116.4705882
3.656597079	118.3655462
3.720011572	119.657563
3.713721348	120.9495798
3.659474335	118.6239496
3.607974232	116.987395
3.564125645	115.3508403
3.504754072	113.3697479
3.449176656	111.8193277
3.359167624	109.9243697
3.26691654	108.0294118
3.26675392	105.9621849
3.148038977	104.4117647
3.158859855	102.4306723
3.003227456	100.4495798
2.959218855	98.72689076
2.919470777	97.09033613
2.916471838	95.28151261
2.831528687	93.47268908
2.832645231	91.57773109
2.721683849	89.5105042
2.744539212	87.78781513
2.663534529	85.85840336
2.601641632	84.11848739
2.541921532	82.39579832
2.547403143	80.77647059
2.463731529	78.9762605
2.439137876	77.17605042
2.359021141	75.56533613
2.348747412	73.70483193
2.285130221	71.96491597
2.247142309	70.1302521
2.197075807	68.60567227
2.116862866	66.77962185
2.179742473	64.78130252
2.073750071	62.93802521
2.047956191	61.12920168
1.987162046	59.22563025
2.00048895	57.1842437
1.998940479	55.47016807
1.884416379	53.39432773
1.835921126	51.80084034
1.752603561	49.86281513
1.744815078	48.01953782
1.705877062	46.32268908
1.693814187	44.38466387
1.61169649	42.65336134
1.605340825	40.64642857
1.582529924	38.78592437
1.526000652	37.00294118
1.484912062	35.19411765
1.526852456	33.34222689
1.427346773	31.77457983
1.43392048	30.06911765
1.343735158	27.92436975
1.348229238	25.71932773
1.271419618	23.90102941
1.171096356	22.10943277
1.091010996	20.27132353
1.010022175	18.44010504
0.966736136	16.43920168
0.886376052	14.66483193
0.80040016	12.84222689
0.665919042	11.11953782
0.609251553	9.457142857
0.524778043	7.407142857
0.410255974	5.494957983
0.287808589	3.272689076
0.197674408	1.748109244
0.058896457	-0.258823529
-0.005909784	-2.024579832
-0.103855421	-3.755882353
-0.214118969	-5.73697479
-0.320655905	-7.356302521
-0.376538728	-8.915336134
-0.427172848	-10.67247899
-0.511114882	-12.54159664
-0.650826292	-14.40210084
-0.753241296	-16.07310924
-0.839114357	-17.74411765
-0.866990141	-19.38928571
-1.045328824	-21.18088235
-1.045907532	-23.13613445
-1.134814313	-24.82436975
-1.270235313	-26.54705882
-1.334686412	-28.10609244
-1.48629625	-29.86323529
-1.499398258	-31.97352941
-1.643316992	-33.54978992
-1.650951399	-35.1605042
-1.765465418	-36.99516807
-1.871407061	-38.95042017
-1.916670525	-40.51806723
-1.991277032	-42.11155462
-2.114307412	-44.1012605
-2.115971153	-45.90147059
-2.32734058	-47.56386555
-2.370732378	-49.59663866
-2.470763601	-51.23319328
-2.56528504	-53.21428571
-2.675007821	-55.1092437
-2.737711458	-56.91806723
-2.800216017	-58.89915966
-2.937475582	-60.44957983
-3.035000263	-62.34453782
-3.142643405	-63.98109244
-3.255148155	-65.70378151
-3.315817454	-67.7710084
-3.476300479	-69.66596639
-3.534268765	-71.56092437
-3.621444882	-73.3697479
-3.726649861	-75.00630252
-3.830458181	-76.7289916
-3.753822962	-75.00630252
-3.609405214	-73.3697479
-3.65841558	-71.47478992
-3.615004559	-69.49369748
-3.470887168	-67.34033613
-3.382619895	-65.70378151
-3.361321782	-63.89495798
-3.261942017	-62.08613445
-3.286251836	-60.27731092
-3.121273731	-58.46848739
-3.06890466	-56.4012605
-3.011780975	-54.59243697
-2.878752847	-52.69747899
-2.870959744	-50.80252101
-2.766775053	-49.16596639
-2.718741034	-47.18487395
-2.568412979	-45.61722689
-2.559876498	-43.85147059
-2.478744845	-42.13739496
-2.369218464	-40.33718487
-2.318236088	-38.43361345
-2.301560779	-36.69369748
-2.172732897	-34.97962185
-2.082900529	-33.32584034
-1.945360088	-31.70651261
-1.937336506	-30.12163866
-1.865558055	-28.2697479
-1.799098029	-26.68487395
-1.728514204	-24.78130252
-1.556773008	-22.91218487
-1.583050571	-20.93970588
-1.443285628	-18.70882353
-1.367278775	-16.97752101
-1.258621489	-14.79831933
-1.20462213	-12.94642857
-1.129324857	-11.04285714
-1.073003149	-9.242647059
-0.939774712	-7.270168067
-0.86612991	-5.340756303
-0.75568884	-3.480252101
-0.688191029	-1.602521008
-0.535750863	0.309663866
-0.463192978	2.01512605
-0.405668581	3.737815126
-0.286031984	5.908403361
-0.2086327	7.777521008
-0.101454422	9.905042017
0.031155404	11.7052521
0.053778588	13.58298319
0.198497602	15.34184874
0.304099502	17.26953782
0.390035666	19.26182773
0.494402655	21.16539916
0.697810151	24.06985294
0.808641661	25.84163866
0.867659445	27.56260504
1.082818211	29.70735294
1.155777915	31.76596639
1.239222495	33.61785714
1.299593685	35.46113445
1.317486971	37.52836134
1.39574711	39.31995798
1.451052512	41.28382353
1.507959605	43.1960084
1.557963246	44.70336134
1.610222166	46.70168067
1.672547136	48.66554622
1.732674471	50.52605042
1.823884818	52.79138655
1.890994789	55.08256303
1.972574126	57.11533613
1.985547324	59.26008403
2.087927919	61.31008403
2.132982107	63.43760504
2.167205205	64.70378151
2.190343529	67.49453782
2.265615235	69.83739496
2.251154336	72.42142857
2.378291378	74.61785714
2.478093487	76.38361345
2.526985836	78.58865546
2.555180653	80.40609244
2.595927773	82.17184874
2.62906288	84.45441176
2.709404387	86.32352941
2.736241662	87.96008403
2.81498838	90.45798319
2.849488647	92.26680672
2.857144374	93.9894958
2.949997609	95.45378151
3.037259418	97.26260504
3.001630324	99.41596639
3.13451396	100.7941176
3.158634586	102.2584034
3.137794863	104.3256303
3.231326282	106.0483193
3.313196151	107.6848739
3.366651693	108.8046218
3.416778462	110.9579832
3.446083763	113.1113445
3.492236443	114.8340336
3.579444809	116.8151261
3.628293437	118.3655462
3.705285874	120.2605042
3.648029586	118.710084
3.598869909	116.987395
3.561284599	115.0063025
3.417407003	112.6806723
3.352291031	110.6995798
3.270803963	108.6323529
3.17566074	106.5651261
3.174715563	104.6701681
3.119589391	102.7752101
3.080018668	100.8802521
2.976002252	99.07142857
2.913577857	97.5210084
2.933071353	95.53991597
2.877726366	93.55882353
2.877028782	91.83613445
2.744476408	90.02731092
2.753784233	88.3907563
2.70063291	86.40105042
2.653902158	84.60945378
2.623472332	83.02457983
2.573090176	81.14684874
2.50853413	79.32079832
2.475488336	77.59810924
2.362828254	75.50504202
2.342385492	73.3
2.299364292	71.19831933
2.267552269	69.68235294
2.250637216	67.8907563
2.16393279	65.78907563
2.140600082	63.8855042
2.125004137	62.00777311
2.042782785	60.23340336
2.044415903	58.43319328
1.950146669	56.30567227
1.906661703	54.50546218
1.906485913	52.94642857
1.809003412	50.97394958
1.820093659	49.02731092
1.744244158	47.32184874
1.716992068	45.08235294
1.720365744	43.20462185
1.639723353	41.32689076
1.609770045	39.07878151
1.520621539	36.67563025
1.56863552	35.0907563
1.516282803	33.09243697
1.485508299	31.25777311
1.439729798	29.75042017
1.456772015	27.96743697
1.396678479	26.06386555
1.336718496	24.11636555
1.275467366	22.14647059
1.219538032	20.31094538
1.142671472	18.58394958
1.022188021	16.70621849
0.940396353	14.77336134
0.838508358	13.18762605
0.77619803	11.4210084
0.679707534	9.215966387
0.581298561	7.12289916
0.420147153	5.279621849
0.343552582	3.703361345
0.216472061	1.817016807
0.150011785	-0.138235294
