"Soesianawati et al. 86, Specimen 1"	
744	
0	0
0.30643	27.695
1.43	53.954
1.9407	70.189
2.7579	88.337
3.5751	102.18
4.3922	114.6
5.2093	126.54
6.1288	137.04
6.7417	131.31
6.9459	126.54
6.7417	119.37
6.2309	109.82
5.3114	91.202
3.6772	60.164
2.86	42.497
1.8386	22.92
1.2257	10.982
0.61288	0
0.20429	-12.892
-0.40858	-32.47
-0.9193	-42.974
-1.43	-50.614
-2.5537	-78.787
-3.0643	-85.473
-3.6772	-92.634
-4.3922	-100.75
-5.0051	-107.91
-5.5159	-112.69
-6.1288	-117.46
-6.7417	-121.76
-7.1501	-124.15
-7.2522	-116.99
-6.8438	-107.44
-5.618	-88.337
-5.0051	-73.534
-3.9837	-52.522
-3.2687	-40.109
-2.4515	-23.397
-1.7364	-10.982
-0.9193	3.8199
-0.10214	19.577
0.30643	32.47
1.43	58.731
3.0643	93.11
3.5751	103.62
4.3922	117.46
5.7201	132.27
7.048	147.07
8.7843	161.39
10.112	170.47
11.644	181.45
13.381	189.08
16.241	195.29
18.488	197.2
19.203	194.34
19.51	188.13
19.407	179.06
18.999	167.6
17.467	145.64
15.73	124.15
14.607	112.21
13.177	96.455
11.951	82.604
10.623	70.189
9.193	55.867
8.0693	44.407
6.7417	32.947
5.618	21.487
4.0858	5.2522
2.86	-5.2522
1.6343	-18.622
0.40858	-32.47
-0.30643	-42.974
-1.5322	-64.46
-2.4515	-76.399
-3.1664	-88.337
-4.5964	-105.05
-5.7201	-116.51
-7.048	-127.97
-8.478	-141.82
-10.01	-154.23
-11.951	-164.74
-13.279	-170.94
-14.607	-176.67
-17.569	-180.97
-18.794	-181.92
-19.305	-180.49
-19.51	-175.24
-19.51	-164.26
-18.999	-154.71
-18.386	-145.16
-17.671	-135.61
-14.709	-102.66
-12.564	-82.604
-10.112	-57.299
-7.1501	-29.127
-4.3922	-3.3424
-1.9407	21.965
1.2257	51.09
3.1664	75.923
5.3114	95.499
7.3543	113.64
9.3972	129.4
11.644	145.16
14.096	162.82
15.526	172.85
16.956	181.92
18.284	188.13
19.51	191
19.407	182.88
19.305	173.81
18.692	164.26
17.875	154.23
16.956	139.9
15.832	125.1
14.709	113.64
13.687	103.62
12.972	95.499
12.155	86.905
10.827	74.01
9.6017	61.596
8.6822	52.046
7.8651	43.452
6.7417	32.47
5.3114	19.577
3.8814	7.1622
2.6558	-6.2072
1.9407	-16.712
0.71501	-28.172
-0.30643	-41.064
-1.5322	-61.12
-2.6558	-73.054
-3.4729	-83.084
-4.6987	-92.634
-6.333	-104.57
-7.9672	-115.55
-9.7038	-124.62
-12.462	-141.34
-14.096	-149.45
-16.343	-158.05
-17.773	-163.78
-18.692	-166.64
-19.203	-167.6
-19.101	-158.05
-18.079	-143.25
-16.956	-128.44
-15.628	-112.21
-13.892	-93.586
-12.359	-75.923
-11.032	-62.552
-9.4993	-47.273
-7.5588	-27.695
-5.618	-10.505
-3.4729	7.6399
-1.3279	27.695
0.10214	42.497
3.0643	72.102
4.6987	90.245
6.4351	104.57
8.5801	122.72
10.112	134.65
11.951	147.54
13.892	160.92
15.117	169.98
16.445	178.58
17.773	187.18
19.203	191
20.735	193.39
23.187	197.2
26.457	199.11
29.317	199.59
35.24	198.63
38.1	198.63
38.611	193.39
38.814	186.22
38.814	179.53
38.509	169.51
37.181	148.98
35.852	136.09
34.524	122.24
32.89	109.82
31.562	97.887
29.418	77.355
27.374	59.688
25.433	46.793
23.8	35.334
22.267	26.262
20.837	18.145
19.51	10.982
17.569	1.91
14.811	-7.6399
12.462	-15.28
10.01	-21.965
7.1501	-30.082
3.4729	-43.929
1.5322	-55.867
-0.81717	-71.622
-3.0643	-84.516
-6.2309	-103.62
-9.193	-119.37
-12.257	-137.04
-14.811	-152.32
-18.182	-165.69
-21.042	-175.72
-23.8	-181.45
-28.6	-184.31
-32.583	-185.74
-35.75	-186.22
-38.202	-186.22
-38.814	-181.92
-39.223	-170.47
-38.814	-156.14
-37.384	-138.95
-35.75	-121.28
-33.81	-104.57
-31.257	-82.604
-28.908	-65.893
-25.944	-46.317
-23.289	-31.515
-18.284	-6.2072
-16.547	0.47749
-13.585	10.505
-10.112	21.487
-7.4567	29.605
-4.188	39.632
-2.145	46.793
-0.10214	57.299
2.2472	70.67
4.188	84.516
6.333	98.839
9.3972	115.07
11.849	126.54
13.789	134.65
17.16	148.5
19.612	155.66
23.391	165.21
26.251	171.9
29.418	178.1
32.992	183.84
36.159	187.65
38.407	189.08
39.327	184.31
38.407	161.39
36.467	143.72
35.852	134.17
34.933	125.1
33.503	113.17
32.073	101.23
30.03	82.128
27.272	58.731
24.821	40.587
22.676	28.65
20.735	17.19
18.386	5.2522
16.445	-1.91
14.402	-8.5949
12.257	-14.325
9.6017	-21.487
7.763	-26.262
5.618	-34.379
3.3708	-42.497
0.71501	-61.12
-2.86	-83.56
-4.8009	-93.586
-7.048	-105.52
-8.8867	-116.51
-11.032	-129.88
-13.177	-142.29
-18.488	-166.64
-20.735	-174.29
-22.88	-179.06
-26.863	-183.36
-31.153	-184.31
-35.342	-185.27
-38.407	-183.84
-38.712	-179.06
-38.814	-171.9
-38.918	-159
-37.282	-139.9
-35.649	-121.76
-34.117	-107.44
-31.46	-84.036
-26.251	-50.614
-23.085	-29.127
-20.225	-16.235
-17.262	-4.2974
-14.913	5.2522
-12.257	15.28
-10.01	22.92
-7.5588	31.037
-5.8222	36.767
-3.4729	44.407
-1.1236	53.478
0.61288	62.072
5.618	91.678
9.3972	109.35
13.177	124.62
15.73	133.22
18.59	143.72
21.348	152.32
24.208	161.87
26.558	168.08
29.929	173.81
35.342	182.88
38.303	185.27
41.572	188.61
46.068	191.47
49.743	193.39
54.138	194.34
56.69	194.34
58.428	192.43
58.12	167.6
57.302	155.66
56.281	145.16
55.26	134.17
53.729	121.28
52.603	112.69
51.582	103.62
49.949	91.202
47.498	71.146
45.659	56.343
44.023	46.317
41.674	33.424
38.712	20.055
36.363	9.5499
33.912	0
31.051	-9.0721
27.374	-20.055
20.02	-34.857
11.951	-46.793
8.3759	-53.002
3.8814	-62.552
2.4515	-67.805
0.51072	-74.01
-2.145	-81.652
-4.8009	-92.634
-6.9459	-101.23
-10.419	-112.21
-13.074	-122.72
-18.692	-138.95
-21.246	-145.16
-23.8	-152.32
-26.66	-159.48
-29.621	-165.69
-32.583	-169.51
-37.998	-173.81
-41.778	-176.19
-45.25	-178.58
-48.519	-180.02
-51.991	-180.97
-55.463	-182.4
-56.998	-180.49
-58.222	-180.02
-58.732	-174.29
-58.732	-165.69
-57.917	-153.27
-55.669	-126.06
-53.627	-109.82
-52.197	-95.023
-50.254	-77.831
-47.803	-60.164
-44.638	-41.542
-41.674	-26.262
-39.121	-15.28
-35.547	-2.865
-31.257	9.0721
-27.478	17.667
-22.778	26.262
-18.386	35.334
-13.177	44.407
-8.2738	53.002
-4.0858	63.504
-0.30643	74.967
3.0643	85.949
6.6393	97.407
9.4993	107.91
15.73	131.31
20.225	139.43
23.595	144.68
27.478	150.41
31.257	155.66
35.649	160.43
39.327	166.17
43.002	170.47
46.68	174.29
49.439	177.15
52.708	179.53
55.568	181.92
58.323	182.88
58.12	173.33
58.12	167.12
57.404	155.19
56.589	143.72
55.362	131.79
53.932	119.85
52.911	109.82
49.642	83.56
47.907	70.189
45.352	53.478
43.104	40.109
40.348	26.262
37.384	12.415
34.831	1.4325
31.768	-8.5949
28.499	-18.145
24.412	-26.262
21.45	-32.47
17.773	-39.154
10.623	-48.225
6.2309	-57.775
-0.61288	-78.307
-3.0643	-84.992
-5.3114	-93.11
-7.763	-102.18
-11.644	-112.69
-14.198	-118.42
-16.752	-124.62
-19.612	-130.35
-23.902	-139.43
-28.6	-148.02
-31.257	-150.41
-35.24	-154.71
-39.019	-158.53
-43.002	-161.39
-47.803	-166.17
-51.788	-168.55
-54.033	-169.98
-56.998	-171.9
-59.141	-171.9
-58.019	-155.66
-56.893	-142.77
-55.568	-128.92
-53.932	-114.12
-51.072	-84.036
-49.337	-71.146
-47.292	-58.255
-44.841	-41.064
-42.799	-31.037
-41.163	-23.397
-38.202	-12.415
-35.037	-2.865
-32.278	4.2974
-30.03	10.505
-27.579	16.712
-23.8	25.307
-20.02	33.902
-15.73	41.064
-12.359	44.885
-9.908	48.706
-6.7417	55.867
-3.5751	63.504
-0.61288	71.146
6.1288	95.499
10.725	114.12
13.892	123.67
16.139	130.35
21.042	140.86
25.025	146.11
30.848	154.71
34.013	160.92
38.814	168.08
41.778	170.47
46.373	174.29
49.337	176.19
53.421	179.06
56.69	181.45
59.449	183.36
63.124	185.74
67.518	185.74
69.56	186.22
72.217	186.22
75.077	186.22
77.63	184.31
78.448	167.6
78.141	160.92
77.528	150.41
77.018	140.86
74.973	122.24
74.158	115.55
72.931	104.09
71.501	93.11
68.539	74.01
66.7	63.028
64.76	52.522
62.921	42.497
60.777	31.992
58.529	22.442
56.792	14.802
54.953	8.1172
52.502	0
45.25	-21.487
42.492	-26.74
39.223	-33.902
35.954	-39.632
31.869	-44.885
27.069	-49.182
23.595	-52.522
19.305	-54.911
15.219	-60.64
11.338	-66.373
7.3543	-72.578
3.9837	-78.307
-0.20429	-85.949
-3.5751	-92.634
-6.4351	-98.839
-9.3972	-105.52
-11.951	-113.64
-15.832	-120.33
-19.407	-129.4
-23.289	-137.52
-27.17	-144.68
-30.848	-151.84
-38.202	-159.96
-43.922	-164.26
-50.051	-168.08
-57.917	-173.33
-63.124	-174.76
-68.743	-173.33
-72.42	-173.33
-75.791	-171.42
-77.937	-170.47
-78.242	-156.62
-78.141	-141.82
-76.914	-128.92
-75.484	-114.6
-73.543	-98.363
-70.99	-78.787
-67.313	-56.343
-62.921	-33.902
-59.243	-15.28
-55.669	-0.47749
-51.173	12.415
-44.534	30.082
-39.019	39.154
-32.177	48.225
-21.655	59.207
-8.8867	71.622
-0.10214	89.289
6.2309	103.14
16.037	127.49
21.961	139.43
27.681	148.02
33.401	153.75
39.121	158.05
49.233	168.08
55.159	172.85
62.718	176.67
69.357	178.1
75.281	178.58
78.039	178.58
77.937	160.92
77.221	148.5
75.893	130.35
73.851	113.64
71.399	94.066
68.334	72.102
65.372	54.911
61.798	36.767
58.019	20.532
54.239	5.2522
50.152	-7.6399
47.089	-15.757
40.96	-31.515
35.649	-41.064
27.783	-49.657
20.837	-54.435
15.322	-60.164
11.747	-65.893
5.5159	-75.443
-0.10214	-85.949
-5.2093	-98.363
-12.564	-109.35
-17.16	-116.99
-22.267	-127.97
-26.149	-135.13
-30.338	-140.86
-33.401	-143.25
-38.1	-148.02
-42.187	-150.89
-45.25	-154.23
-49.847	-157.57
-53.83	-159
-56.589	-159.48
-60.368	-162.35
-65.883	-162.82
-69.764	-162.35
-72.728	-162.35
-75.689	-163.3
-78.344	-164.26
-77.937	-142.29
-76.2	-123.67
-74.259	-106
-70.582	-78.307
-67.008	-55.867
-64.452	-40.109
-60.673	-21.965
-56.18	-3.3424
-51.173	10.982
-45.25	26.74
-39.733	35.812
-34.013	42.974
-26.967	51.57
-23.902	56.343
-15.628	63.984
-8.7843	72.578
-0.61288	87.381
6.5372	103.62
17.16	126.54
26.149	139.43
33.708	148.02
41.471	154.23
48.722	160.92
55.057	165.21
61.082	168.55
68.847	171.42
75.484	173.33
83.657	172.37
91.112	172.37
96.934	169.98
97.854	167.12
97.752	158.53
97.14	144.68
96.22	131.79
93.769	109.35
90.703	87.381
87.64	65.893
84.983	51.09
82.022	34.379
78.958	19.1
75.179	2.865
72.319	-7.6399
68.641	-19.1
63.431	-30.082
59.243	-38.677
55.568	-45.361
49.439	-52.522
41.674	-59.688
33.503	-63.984
25.433	-67.805
14.504	-75.443
6.1288	-81.652
2.145	-85.473
-7.2522	-100.75
-23.595	-124.15
-29.009	-131.31
-37.897	-140.38
-45.659	-145.64
-53.218	-148.5
-59.243	-148.5
-66.599	-148.98
-74.361	-147.07
-81.308	-145.16
-87.333	-143.72
-92.951	-138.95
-97.549	-134.65
-98.059	-126.54
-98.059	-116.51
-97.854	-108.87
-96.528	-93.11
-93.668	-67.325
-89.99	-41.542
-84.983	-15.28
-81.613	-0.47749
-78.039	13.37
-75.382	22.442
-72.217	31.515
-68.029	42.974
-64.963	48.706
-60.47	55.391
-55.669	59.688
-49.03	64.941
-44.127	67.805
-39.837	69.238
-35.649	70.67
-30.848	72.102
-25.332	70.67
-19.305	71.622
-14.709	72.578
-0.61288	83.56
7.1501	93.586
12.155	100.75
17.467	106.48
25.025	115.55
30.848	119.85
37.897	124.62
44.127	128.44
49.642	131.79
55.568	132.27
60.061	132.27
66.7	131.79
73.238	131.31
79.672	130.35
86.109	129.88
92.542	127.49
97.241	123.67
97.65	114.6
97.14	99.795
95.608	85.949
94.381	75.443
90.602	52.522
87.333	33.424
85.291	21.487
82.431	9.0721
79.263	-2.865
75.281	-18.622
72.42	-26.262
69.56	-32.47
66.497	-39.154
62.512	-45.361
58.428	-51.09
53.421	-54.435
49.439	-54.911
39.53	-54.911
32.583	-54.435
24.617	-51.09
18.59	-53.478
14.504	-54.911
8.3759	-56.823
2.3493	-62.552
-8.0693	-68.757
-13.279	-72.578
-19.612	-77.355
-26.251	-82.128
-38.712	-89.77
-44.127	-92.634
-50.767	-92.634
-51.481	-83.56
-54.341	-83.56
-55.159	-69.714
-59.55	-70.189
-64.452	-68.757
-71.092	-66.849
-77.833	-63.504
-83.657	-63.504
-87.539	-60.164
-92.339	-58.255
-96.119	-55.867
-97.65	-53.002
-97.65	-48.706
-97.241	-39.632
-96.731	-29.605
-95.71	-11.46
-94.381	1.91
