"Sugano 1996, No.UC15L"	
992	
0.00243	0.25
0.047385	-0.25
0.033615	0.25
0.033615	0.25
0.03159	0
0.033615	0.25
0.033615	0
0.02916	0.25
0.036045	0.75
0.024705	0.25
0	0.25
0.072090001	17.5
0.121500003	28
0.166455008	37.75
0.213840016	46.75
0.265680031	57.25
0.317115052	67.5
0.371385084	78
0.416340119	87.75
0.468180169	97.25
0.522045234	107.5
0.580365322	118.25
0.634635421	128.75
0.686070532	138.25
0.74479568	148.75
0.803115853	158
0.735885656	137
0.594135345	100.5
0.463320164	72.25
0.326430057	42.25
0.22963502	22
0.123930003	-0.25
0.065205	-12.25
0.02268	-22
-0.02025	-30.75
-0.069660001	-42
-0.123930003	-52.75
-0.170910008	-61.5
-0.227205019	-74
-0.281070037	-84.25
-0.321570055	-92.75
-0.373410086	-102.5
-0.425250127	-111.75
-0.481545184	-122.75
-0.542295263	-134
-0.594135345	-143.25
-0.648000448	-152.25
-0.708750586	-163
-0.771930757	-173.75
-0.818910904	-180.5
-0.76261573	-161.25
-0.670680497	-141
-0.519615231	-111.25
-0.366930081	-78
-0.251910026	-53.75
-0.117045003	-24.25
0.00243	0.25
0.125955003	26.25
0.222750018	46.25
0.34870507	71.5
0.477090179	97.75
0.594135345	121.25
0.699840564	141.75
0.801090846	161.5
0.906796227	178.75
0.972001512	189.25
1.035181826	199.25
1.102412205	209.5
1.165592607	219
1.221888003	226.75
1.289118526	236.5
1.345414009	244.25
1.264413328	223.25
1.149797502	201.5
0.99670663	173.25
0.870751087	148.25
0.695385554	114
0.535410253	81.25
0.384750094	50.75
0.258795029	25
0.112590002	-4.5
0.0405	-18.75
-0.108135002	-50.75
-0.375840087	-103.75
-0.503820211	-129.5
-0.636660425	-154.75
-0.751680699	-174.5
-0.816885897	-185.5
-0.884116138	-197
-0.96309147	-208.25
-1.044091874	-220.75
-1.129547372	-233.5
-1.235253103	-248
-1.304913658	-255.75
-1.343388991	-260.5
-1.246593189	-237.75
-1.154252531	-220.75
-1.005616674	-193.75
-0.83268095	-162
-0.670680497	-131.5
-0.528930244	-103.75
-0.389205097	-75.75
-0.258795029	-48.5
-0.162000007	-28.5
-0.047385	-5.25
0.053865	14.5
0.211410016	46.25
0.375840087	77.75
0.499365205	102
0.645570443	131
0.787320803	156.25
0.96511648	187.5
1.127117357	215.75
1.226343036	231
1.340958969	248
1.426414777	259.25
1.552371158	269.75
1.640257264	280.75
1.737053628	290.75
1.8427603	300.5
1.971147607	309.5
2.040808991	315.75
1.966692522	298.5
1.833850152	278.25
1.689667941	257.75
1.338933951	204.25
1.064341985	158.75
0.830250942	116.25
0.578340318	69
0.391635099	32.75
0.202500014	-2.5
0.101250002	-22.5
-0.004455	-39.75
-0.170910008	-74.25
-0.321570055	-103.75
-0.456840157	-129.25
-0.603045361	-155.25
-0.814455889	-192.25
-1.03963685	-227.5
-1.226343036	-255
-1.327593852	-270
-1.449095009	-285.75
-1.572621402	-294.75
-1.678327782	-306.75
-1.802259636	-318.75
-1.932671883	-329.75
-2.029468759	-337.25
-1.926191764	-315.25
-1.741508694	-288.25
-1.514300716	-255.75
-1.228368051	-211
-1.001161652	-173.5
-0.760590724	-131.25
-0.542295263	-92.5
-0.324000056	-51.5
-0.198045013	-27.25
-0.087885001	-6.5
0.044955	18
0.175365009	42.5
0.344250067	74.5
0.537840256	110
0.801090846	156
1.03963685	195
1.248618204	225.75
1.466915196	254.75
1.644712324	277.25
1.851670451	301.75
2.03392385	319.75
2.182562114	331.25
2.355906524	338.75
2.5470722	347.25
2.762944718	352.5
3.071162682	354.5
2.997044312	332.25
2.857718415	317.75
2.621189644	294.25
2.308520251	262.5
1.993423039	228.75
1.689667941	191
1.424389757	156.25
1.187867759	120.75
0.915706264	78.75
0.645570443	35
0.396090102	-4.75
0.270135032	-27.25
0.132840004	-51
-0.00243	-73.5
-0.209385015	-106.25
-0.416340119	-140
-0.632205416	-172.5
-0.837135966	-202.75
-1.02829679	-229.5
-1.242138155	-257
-1.370119234	-273
-1.487165414	-287.75
-1.640257264	-306
-1.820079925	-325
-2.040808991	-345.5
-2.178107009	-354
-2.497660648	-350.75
-2.625644796	-358
-2.78117041	-364.5
-2.922926105	-366.25
-3.062252268	-367.75
-2.981248615	-347.25
-2.803446268	-330
-2.632530031	-313.5
-2.310950315	-282
-2.025013669	-251.75
-1.687642912	-213.75
-1.426414777	-180.5
-1.181387714	-148
-0.93838636	-113.5
-0.717660608	-80.75
-0.434160135	-38.25
-0.225180019	-7.25
0.00891	26.25
0.274590034	66
0.420795123	86.5
0.645570443	119.75
0.796635832	140.25
1.055431935	174
1.251048223	197.25
1.449095009	219.75
1.651597416	241.75
1.860580602	262
2.045264083	278
2.270449266	295.75
2.452704287	308.5
2.639415267	318
2.801421189	325.75
2.891334787	330.75
3.053341856	338.75
3.176872776	343.75
3.253421684	346.75
3.395179421	351.5
3.458363085	352.25
3.539367982	353.25
3.653990304	355.5
3.750791857	357
3.85650441	358.75
3.980443807	359.5
4.070361002	359.75
3.910778452	340.5
3.710289074	323.5
3.455932941	303.75
3.152166555	281
2.762944718	249.5
2.369271892	216.25
1.955352306	175.25
1.597326709	134.5
1.280208454	95.75
0.906796227	47.75
0.704295575	20.5
0.530955246	-1
0.360045077	-24.5
0.189135011	-48.25
0.01134	-72
-0.222750018	-103.75
-0.425250127	-129.5
-0.616410386	-148.5
-0.837135966	-175.25
-1.021411754	-197
-1.232823084	-221.25
-1.406164577	-239.5
-1.649167383	-263.25
-1.845190341	-279.5
-2.047694133	-296.75
-2.236428412	-311
-2.43002362	-324
-2.56934792	-332.25
-2.659665969	-337
-2.758489551	-342.25
-2.855288317	-347.25
-2.927381293	-349.5
-3.039976244	-354.25
-3.14123102	-355.5
-3.248966452	-358
-3.3842438	-359.25
-3.453907822	-360.25
-3.550708686	-361.5
-3.649535011	-362.75
-3.739451071	-364.75
-3.840708254	-366.25
-3.957762043	-367.75
-4.077246566	-366.75
-3.919689126	-344.5
-3.741881239	-330.5
-3.49198009	-310.75
-3.134345685	-283.5
-2.68437184	-248.75
-2.306090187	-215.25
-1.984512865	-185
-1.637827232	-149.25
-1.354324089	-117.75
-1.066366996	-84.5
-0.733455649	-44.25
-0.429705131	-8.75
-0.175365009	20.5
0.02025	44.5
0.328455058	81.25
0.771930757	129
1.208117903	175.5
1.464890174	201
1.728143496	223
2.045264083	249.75
2.461614553	280.25
2.895789971	302.75
3.078048003	312
3.280558114	321.75
3.487524822	330.5
3.676671809	338
3.865415065	344.25
4.083727099	350
3.860959737	327.25
3.579870516	305
3.12098004	270.75
2.592028666	230.25
2.189447276	195
1.696553038	147
1.24416317	97.5
0.695385554	34
0.389205097	-1.25
0.00891	-47.75
-0.416340119	-98
-0.821340912	-140.25
-1.158707561	-176
-1.354324089	-195
-1.592871653	-217
-1.818054892	-235.75
-2.054174268	-255.75
-2.362386702	-278.5
-2.690852071	-300.25
-2.895789971	-311.5
-3.06468238	-317
-3.231145528	-325.75
-3.44945256	-335.5
-3.642649559	-344
-3.843138431	-351
-4.061450275	-357
-3.847593757	-331.5
-3.532482557	-307.5
-3.111664593	-275.5
-2.758489551	-248.5
-2.304065134	-211.25
-1.935101928	-176.75
-1.543461053	-137.25
-1.095932167	-88.75
-0.704295575	-44.25
-0.36450008	-6.75
-0.085455001	22.5
0.078570001	44
0.371385084	78.5
0.810000875	123.5
1.19232279	164.5
1.628917115	207
2.027443718	237.5
2.310950315	259.25
2.477410029	271
2.697737318	284.5
2.81478671	290.75
3.021750417	302.25
3.231145528	309.5
3.426771236	319.25
3.660875759	329.5
3.852049083	336.5
4.0006954	340.75
4.304471277	350.75
4.493219314	354.75
4.756497128	357.25
4.93876828	359
5.080535849	359.75
5.231620682	360.25
5.5329838	361.75
5.658958279	362.25
5.933593844	362.5
6.095622786	361.75
5.908884567	338.75
5.632224071	320.75
5.364074039	304.5
4.846822411	275.5
4.261537388	243.25
3.498865505	196.75
2.805876362	151
2.187017219	109
1.628917115	60.5
1.282638473	29.25
0.918136274	-2.25
0.659340472	-25.25
0.416340119	-49.5
