"Sugano 1996, No.UC20H"	
944	
-0.00243	-0.25
-0.02025	-1.5
-0.02268	-3.75
-0.01134	-4
0.00891	-3.75
0.027135	-3.5
0	-3.5
0.044955	7.5
0.112590002	22
0.168885008	33.5
0.225180019	45.75
0.281070037	57
0.324000056	66
0.389205097	78.5
0.422820124	85.5
0.490455194	97.25
0.544320265	108
0.605070365	119.75
0.659340472	129
0.70632058	138
0.767070743	148.5
0.798660839	152.5
0.729000638	133.25
0.641115434	112.5
0.503820211	79.5
0.366930081	48.5
0.243000024	20.75
0.125955003	-4.25
0.083430001	-12.75
0.024705	-25.25
-0.00243	-31
-0.036045	-39.25
-0.092340001	-51.5
-0.159570007	-65.25
-0.189135011	-71.5
-0.234090021	-81
-0.292410041	-93.5
-0.337365063	-102.25
-0.405000109	-115.75
-0.434160135	-120.5
-0.492885197	-132.5
-0.549180273	-142.25
-0.605070365	-152.25
-0.668250491	-162.5
-0.726570631	-173.75
-0.785295797	-184
-0.814455889	-188.5
-0.708750586	-157.5
-0.614385382	-136.75
-0.52650024	-117.25
-0.436590137	-94.25
-0.321570055	-68.75
-0.195615012	-41
-0.103680002	-20.25
-0.015795	0
0.03159	9.25
0.078570001	20
0.155115006	35.25
0.251910026	56.75
0.344250067	76
0.463320164	100.5
0.553635279	120
0.659340472	141.5
0.704295575	149.5
0.758160717	161
0.80554586	169.75
0.854956029	179.5
0.908821236	189
0.967546491	200.5
1.025866777	210.25
1.0845921	219.5
1.147367486	229
1.215002952	238.5
1.289118526	249
1.349869049	256
1.28466349	236.5
1.199207839	216.75
1.046116884	183.25
0.877636113	143
0.690930543	102
0.488430192	58.75
0.308205048	21.25
0.177795009	-6
0.047385	-32.75
-0.089910001	-63.5
-0.247455025	-95.5
-0.402570107	-128.75
-0.551205276	-158.5
-0.686070532	-185
-0.798660839	-207
-0.875206104	-219.25
-0.9695715	-236
-1.053001922	-248.25
-1.1340024	-260.5
-1.230798069	-274.25
-1.307343678	-275.25
-1.332048891	-276.5
-1.293573563	-250.75
-1.237683121	-237.75
-1.070822021	-203.75
