Tanaka 90 specimen 1	
593	
0	0
0.44196	13.79
0.55245	27.309
1.3259	38.666
2.2099	54.617
2.8727	68.41
3.4252	82.199
4.972	97.878
6.1877	105.99
7.0716	113.02
8.1765	120.59
8.066	108.97
8.287	102.21
7.5136	88.146
6.6297	78.952
5.7457	72.734
4.972	65.435
4.4196	56.512
3.7567	45.966
3.0937	32.176
2.5413	21.09
2.2099	12.438
1.8784	0.27039
1.7679	-7.0301
1.5469	-15.682
1.2154	-25.957
0.66297	-36.503
0.33147	-45.423
-0.22099	-54.617
-1.4364	-65.973
-2.5413	-78.952
-3.4252	-90.041
-5.193	-103.83
-6.2982	-112.48
-7.7346	-123.57
-7.6241	-112.48
-7.5136	-102.48
-6.9611	-86.794
-5.9667	-73.815
-5.635	-62.459
-4.8616	-52.455
-4.1986	-42.721
-3.4252	-32.176
-2.5413	-15.953
-1.2154	-1.3519
0	7.8414
0	24.065
0.77346	36.232
1.8784	48.399
2.5413	60.297
2.9832	69.758
4.3091	78.681
5.8562	98.15
6.6297	104.91
7.2926	111.94
8.066	118.7
9.3919	128.44
10.497	137.9
11.823	146.01
13.37	154.39
15.469	162.23
17.9	166.56
20.22	166.83
20.773	163.31
21.215	157.91
20.552	139.79
19.999	130.87
18.894	120.87
18.121	111.4
16.353	95.988
14.253	80.847
13.149	70.301
11.049	57.05
9.0604	42.18
7.1821	28.12
5.414	16.223
3.9776	2.7039
2.7622	-6.7596
1.9889	-17.845
1.1049	-26.769
0.66297	-36.503
0	-50.832
-0.99444	-61.649
-2.0994	-72.195
-2.9832	-84.089
-4.6406	-98.964
-8.3975	-129.79
-10.386	-141.68
-12.154	-150.88
-14.253	-159.53
-16.684	-164.94
-18.342	-167.1
-19.889	-166.83
-20.11	-160.61
-20.552	-149.52
-19.889	-138.71
-19.557	-129.79
-18.894	-119.78
-16.684	-97.069
-15.248	-82.737
-14.143	-70.572
-12.265	-57.593
-9.7234	-39.476
-7.7346	-25.687
-5.635	-11.356
-1.3259	14.871
1.4364	37.854
4.5301	63.54
7.1821	87.336
10.939	112.75
15.137	135.19
19.336	152.23
20.883	157.37
20.552	140.33
19.557	127.62
18.342	114.91
17.016	101.93
15.69	88.417
13.701	73.815
12.486	63.54
10.386	50.294
8.287	35.691
