Tanaka 90 Specimen 3	
622	
0	0
-0.2	4.6321
-0.2	8.2888
-0.2	10.971
-0.2	13.896
-0.3	18.528
-0.2	22.429
-0.2	26.086
-0.2	27.548
0	37.788
-0.1	41.932
0	47.296
0.2	52.66
0.3	59.728
0.5	63.629
0.7	68.263
1.1	74.602
1.4	82.888
1.8	87.034
2.2	90.446
2.5	95.08
3.1001	99.955
3.7	106.05
4.3	111.41
5.3	116.53
5.4999	118
5.8001	113.12
6	108.73
6.1001	104.34
6.1001	98.737
6	94.347
5.8001	89.961
5.5999	83.378
5.5999	79.477
5.1999	67.045
4.8999	63.144
4.3	55.827
3.8001	49.244
3.4999	42.907
2.8001	33.887
2.3	27.792
2	23.16
1.8	18.772
1.5	13.896
1.1	8.7763
1	5.6071
0.7	3.1693
0.4	0.24379
0.3	-7.8013
0.3	-11.702
0.1	-22.429
0	-27.061
-0.4	-33.156
-0.7	-38.275
-1	-45.103
-1.3	-49.244
-2	-59.483
-2.2	-64.603
-2.5	-68.504
-2.7	-72.894
-3	-76.305
-3.8999	-90.69
-4.5999	-96.299
-5.4	-102.15
-6	-108.24
-6.4999	-112.88
-6.8999	-116.78
-6.8001	-108.49
-6.7	-103.37
-6.7	-98.003
-6.8001	-92.883
-6.8001	-87.523
-5.8001	-84.841
-5.4	-79.232
-5.3	-73.868
-5.1001	-69.722
-4.7	-64.847
-4.5999	-61.191
-3.8999	-49.733
-3.4999	-43.883
-3.1999	-37.3
-2.5999	-29.742
-2.2	-23.648
-1.2	-9.0201
-0.7	0
-0.7	7.3138
0	17.309
-0.2	25.598
-0.2	32.668
0.1	47.296
0.2	55.587
0.5	65.092
0.9	73.868
1.7	87.523
2.7	96.784
3.4	103.37
4.4999	112.14
5.8999	119.7
7.3	127.99
8.8999	139.2
9.8999	146.76
10.5	152.13
11.6	157.73
12.7	162.61
14.1	167.48
15.8	171.88
16.4	172.6
17.3	171.14
17.3	167.24
17.3	162.85
17.5	157.49
16.6	143.59
16	133.36
15.2	123.6
14.5	113.85
13.8	105.08
12.6	94.836
12.1	88.742
11.4	79.962
10.1	69.967
8.4	58.264
7.8999	51.196
7.1999	44.126
6.1999	37.3
5.3	28.767
4.7	22.673
3.8001	12.921
2.3	0.48759
0.9	-11.214
-0.4	-31.205
-1	-43.395
-1.6	-54.608
-2.2	-67.285
-2.8001	-77.284
-4.4	-95.321
-4.8999	-102.15
-7.3	-120.19
-8.8001	-132.62
-10.2	-142.38
-11.3	-148.71
-12.6	-156.52
-14.2	-163.34
-15	-165.78
-16.1	-167.73
-17.5	-169.43
-18	-169.43
-18.2	-167.48
-18.7	-163.83
-19.2	-158.22
-19	-153.1
-18.7	-146.52
-18.6	-141.89
-18.2	-135.55
-17.9	-129.7
-17	-118
-16.8	-109.95
-16	-103.12
-15.4	-96.539
-14.5	-89.227
-13.6	-76.061
-12.4	-67.045
-11	-57.046
-9.1001	-43.151
-7.3	-29.986
-6	-18.772
-4.3	-6.3384
-3.1999	5.3634
-1.9	15.115
-0.5	24.623
0.2	35.106
1.3	45.832
2.1	53.389
3.8999	64.603
5.7	78.743
7.4	94.102
9.3	108.98
10.9	120.92
12.2	129.21
13.5	137.01
14.8	145.06
17.1	157.73
19.2	166.02
21.3	173.09
23.7	175.29
24.7	175.04
26.8	174.8
28.301	173.58
30	171.63
32.4	169.43
34.3	167.24
36.101	163.83
36.299	159.19
36.299	154.56
36.5	148.47
35.999	135.79
35.9	130.67
34.999	123.36
33.401	113.36
31.199	95.81
30	87.279
28.999	79.722
27.399	69.238
25.999	60.462
