"Tanaka 90, Specimen 8"	
509	
0	0
0	63.709
0	81.407
0.7872	106.18
1.0824	133.08
1.476	158.57
1.6728	186.17
2.0664	220.86
2.5583	253.42
3.0503	279.61
3.444	300.14
4.1328	330.58
4.6248	352.52
5.2151	378.01
5.8054	397.83
6.4943	418.36
7.6751	448.09
8.2654	463.66
8.9543	479.94
9.9383	496.93
10.725	511.79
12.103	532.34
13.185	547.9
14.465	535.85
14.465	526.64
14.366	512.5
13.874	483.5
13.087	462.95
12.89	443.13
12.005	415.52
11.217	382.25
10.725	360.31
9.2494	316.42
8.2654	277.49
7.38	249.17
6.888	221.56
6.1006	195.37
5.2151	162.1
4.6248	117.51
3.8374	84.236
2.8534	32.562
1.7712	-11.326
0.5904	-71.497
-0.098397	-160.69
-2.0664	-236.43
-2.8534	-281.03
-3.7391	-308.63
-4.3294	-344.03
-5.3134	-375.88
-6.1991	-400.66
-7.4783	-431.81
-8.5606	-458.72
-10.037	-488.43
-11.119	-511.79
-11.808	-522.42
-12.693	-532.34
-13.185	-533.05
-13.481	-531.62
-13.677	-525.93
-13.677	-518.15
-13.874	-504
-13.874	-492.7
-13.579	-475
-13.284	-462.24
-12.989	-450.23
-11.808	-404.91
-11.217	-375.18
-9.5446	-331.99
-8.0686	-286.69
-6.888	-246.34
-6.1006	-214.49
-4.5263	-169.18
-3.2471	-112.55
-2.2632	-75.033
-1.5744	-41.057
-0.7872	-1.4158
-0.098397	33.27
0.1968	65.835
0.5904	102.64
1.0824	143.7
2.1648	177.68
3.3454	215.19
4.5263	262.62
5.5103	289.52
6.2974	319.96
6.9863	341.9
8.4623	390.04
8.9543	411.28
10.529	440.3
11.808	469.31
13.284	496.93
14.858	526.64
16.236	562.76
16.629	578.33
18.401	593.19
19.385	599.59
20.565	608.09
22.238	613.02
23.812	618.67
24.796	617.25
25.977	607.37
26.764	591.81
27.452	579.04
27.945	557.11
28.24	537.99
28.24	512.5
26.962	466.51
25.288	419.77
23.714	384.38
22.73	361.02
21.353	328.45
20.073	297.31
18.499	268.99
16.925	235.72
14.563	188.3
12.89	157.15
11.021	123.17
8.6591	71.497
7.2814	38.933
6.0023	3.5394
4.5263	-31.147
3.444	-58.754
1.8696	-94.146
0.492	-123.17
-0.1968	-158.57
-0.8856	-179.09
-1.8696	-221.56
-2.6568	-250.59
-3.6408	-286.69
-4.3294	-311.47
-5.412	-345.45
-7.1831	-380.84
-8.4623	-411.98
-9.8397	-448.8
-11.119	-476.38
-12.497	-508.27
-14.858	-540.83
-17.22	-574.1
-19.483	-600.97
-20.565	-609.46
-22.14	-613.02
-24.009	-613.02
-25.486	-611.6
-26.863	-609.46
-28.438	-598.88
-29.126	-573.39
-29.126	-554.27
-28.732	-532.34
-27.945	-505.43
-26.863	-479.23
-24.304	-420.48
-22.632	-374.47
-20.073	-326.33
-17.121	-268.29
-12.595	-174.85
-11.021	-141.58
-8.364	-86.362
-6.1006	-38.933
-3.7391	10.618
-2.46	42.473
-1.0824	77.867
0.1968	106.89
1.1808	146.53
3.0503	193.25
4.5263	225.81
6.396	264.74
8.364	300.14
9.9383	331.29
11.513	367.39
13.973	404.2
16.826	451.61
18.302	475.71
20.369	501.16
22.73	525.93
24.206	540.12
25.583	550.04
27.158	556.4
27.945	557.11
28.141	542.26
28.24	532.34
28.141	537.27
26.962	504
26.568	485.59
25.583	454.45
24.895	429.68
24.009	404.91
23.222	382.25
22.14	356.77
20.565	315.01
18.499	268.29
16.433	225.81
14.268	181.92
12.398	149.36
10.725	116.09
8.5606	68.664
7.4783	38.933
5.904	0
4.6248	-33.27
3.3454	-61.587
1.6728	-92.025
0.1968	-119.63
-0.98397	-155.73
-2.6568	-198.91
-4.1328	-225.1
-5.412	-255.54
-7.5766	-296.6
-9.2494	-329.17
-11.021	-363.85
-13.185	-398.54
-15.055	-421.9
-17.613	-455.16
-19.483	-482.79
-21.353	-507.56
-24.009	-537.99
-25.288	-550.71
-26.665	-561.34
-27.945	-562.05
-28.534	-554.27
-28.339	-513.92
-27.749	-487.72
-26.175	-453.74
-24.698	-419.77
-22.73	-382.25
-20.861	-341.9
-17.22	-273.95
-15.941	-240.68
-14.268	-201.04
-11.906	-159.27
-9.8397	-114.68
-7.7734	-72.912
-6.1006	-36.102
-3.936	4.2473
-1.7712	60.168
0	97.687
1.2792	145.82
2.5583	178.39
3.936	215.19
5.904	249.88
7.38	278.9
9.0526	317.84
10.922	358.9
13.382	393.58
16.334	428.97
19.089	458.72
23.321	504.71
26.37	533.76
29.322	547.9
31.095	552.84
33.553	557.82
35.817	557.82
38.867	555.69
41.425	554.27
42.311	547.19
42.507	535.85
42.705	518.86
42.606	496.22
39.85	424.73
36.899	363.85
33.652	299.43
30.013	240.68
26.665	191.83
20.861	112.55
17.712	68.664
12.201	1.4158
8.6591	-46.01
4.5263	-104.06
-3.1488	-237.85
-8.4623	-334.83
-10.529	-369.51
-13.087	-402.78
-16.334	-438.88
-19.581	-479.94
-22.927	-504
-25.977	-528.07
-30.797	-554.27
-33.652	-563.47
-36.111	-565.61
-38.572	-567.7
-41.623	-567.03
-42.212	-559.91
-42.507	-536.56
-42.311	-498.35
-41.524	-460.1
-39.85	-423.31
-38.278	-392.87
-36.111	-352.52
-33.16	-293.77
-30.208	-247.76
-25.19	-180.51
-17.81	-81.407
