"""Thompson and Wallace, 1994, A1""  "	
866	
0.53848	2.620002169
0.48006	3.48873973
0.49784	3.515873878
0.4699	2.918477798
0.40132	2.022606089
0.43434	1.425210008
0.40132	1.507057275
0.37846	1.289539268
0.38608	1.561325571
0.35814	2.076874385
0.38608	1.642728015
0.42418	2.049740237
0.43688	2.158276829
0.50546	3.461605582
0.52324	2.592868021
0.51816	2.782807058
0.54864	3.407337286
0.57658	3.651544619
0.56896	4.466013884
0.61976	4.792068483
0.64008	5.063409964
0.60452	4.303208995
0.60198	3.787660182
0.59182	3.760081211
0.53848	3.190264101
0.5461	2.782807058
0.51054	2.131142681
0.47244	2.484331429
0.50038	2.294392392
0.49784	1.886935348
0.45466	1.316673416
0.43434	2.239679274
0.40894	1.425210008
0.32512	0.420801707
0.3683	1.153868527
0.38608	1.588459719
0.3556	1.615593867
0.42672	1.289539268
0.4699	2.049740237
0.42672	2.647136317
0.51816	2.674270465
0.52578	3.434471434
0.55118	2.999880242
0.57912	3.434471434
0.56134	3.651544619
0.61976	4.248940699
0.62484	3.678678767
0.62992	3.190264101
0.61214	3.461605582
0.57912	2.674270465
0.52324	2.430063132
0.5334	3.271666546
0.508	2.076874385
0.44958	2.674270465
0.4953	2.837075354
0.4953	1.561325571
0.43688	1.561325571
0.50546	1.72413046
0.50038	1.914069496
0.42672	1.072466083
0.4445	1.534191423
0.37084	1.153868527
0.32766	0.529338299
0.25908	-0.66500904
0.23114	-0.095191929
0.2159	-0.556472447
0.2794	0.257996818
0.29972	1.045331935
0.33528	1.072466083
0.39116	1.39807586
0.4064	2.239679274
0.4572	2.538599725
0.5207	2.782807058
0.53848	3.81479433
0.57404	4.493148032
0.635	4.140404107
0.6731	4.574995299
0.6731	5.171946557
0.66802	3.896196774
0.635	4.004733366
0.52578	2.565733873
0.55118	2.75567291
0.49784	1.588459719
0.41148	1.534191423
0.48006	2.185410977
0.48006	1.072466083
0.42418	1.534191423
0.48006	2.049740237
0.4445	1.669862163
0.35814	0.36653341
0.35306	0.936795343
0.28956	-0.013789485
0.23368	-1.479478305
0.22606	-0.637874891
0.21336	-1.832667052
0.24384	-1.235270972
0.29464	1.045331935
0.33528	-0.149460226
0.3429	0.36653341
0.40132	1.8598012
0.43434	2.022606089
0.46482	1.886935348
0.51054	3.163129953
0.56388	3.380203138
0.61722	4.221806551
0.64008	4.84633678
0.68072	4.84633678
0.64008	3.380203138
0.61722	2.864209502
0.5842	2.239679274
0.52578	2.565733873
0.43942	1.479478305
0.44196	0.882527046
0.41402	1.099600231
0.3937	0.583606595
0.43688	1.208136824
0.42926	0.556472447
0.28448	0.719277336
0.25146	-0.583606595
0.16256	-1.615593867
0.48514	0.556472447
0.4064	0.502204151
0.23876	-1.370941712
0.21336	-2.158276829
0.11684	-2.32152654
-0.0508	-4.330343144
-0.10922	-4.167538255
-0.09398	-3.624410471
-0.00762	-2.375794836
0.07366	-1.778398756
0.21082	-0.095191929
0.3302	0.312265114
0.3937	0.855392898
0.56388	2.484331429
0.68326	2.782807058
0.76708	3.705812915
0.9144	5.715074341
1.02616	5.823610933
1.12776	7.941408951
1.15316	7.642933322
1.0668	6.01354997
0.95758	4.086135811
0.81788	2.837075354
0.73406	3.108861657
0.61976	1.289539268
0.50546	0.882527046
0.508	1.072466083
0.5207	1.507057275
0.41148	-0.339399262
0.29718	-0.502204151
0.22352	-1.886935348
0.11176	-2.538599725
-0.04064	-3.027459213
-0.10668	-3.923330922
-0.09398	-3.869062626
0	-2.022606089
0.11684	-0.991063639
0.22606	-0.882527046
0.33782	0.176594374
0.42164	1.181002676
0.57658	2.131142681
0.68834	2.620002169
0.762	4.031867514
0.91694	5.253349001
1.02362	6.258202125
1.11252	7.126939686
1.18872	7.289744575
1.09982	5.552269452
0.98806	4.792068483
0.81534	3.217398249
0.77216	3.054593361
0.64008	1.452344157
0.5207	0.447935855
0.52832	1.235270972
0.53848	1.126734379
0.38354	-0.637874891
0.2032	-1.886935348
0.09652	-2.647136317
-0.08128	-4.004733366
-0.28194	-6.665214346
-0.42164	-6.719482643
-0.36068	-5.633671897
-0.21082	-3.461605582
