"""Thompson and Wallace, 1994, A3"""							
823							
1.0795	30.20468036						
1.0795	28.71141627						
1.01092	28.19542391						
1.02616	27.43522482						
0.97282	26.70215981						
1.01854	27.4623589						
0.98552	26.91923246						
1.02362	27.70656563						
1.00838	29.33550013						
1.06934	28.90135483						
1.0668	29.14556156						
1.10998	31.10054986						
1.08204	31.07341578						
1.14808	31.31762251						
1.12268	31.37189067						
1.17602	31.96928527						
1.13284	31.31762251						
1.16332	29.44448127						
1.10998	28.43963064						
1.13792	28.81995259						
1.08966	28.84708667						
1.12776	28.46676472						
1.08458	28.16828983						
1.09728	27.84268085						
1.07188	27.38095666						
1.0668	26.24043561						
0.99568	26.18616745						
1.01092	25.5073706						
1.01092	27.16388401						
1.04648	27.86981493						
1.04648	28.16828983						
1.0795	28.84708667						
1.09474	28.38536247						
1.12522	29.87862657						
1.14554	30.74736198						
1.14554	30.06856514						
1.17348	30.1504122						
1.16078	29.41734719						
1.17602	29.66155392						
1.13792	29.49874944						
1.09982	28.43963064						
1.10744	28.11402166						
1.12014	27.54376114						
1.12268	28.43963064						
1.08204	26.48508716						
1.03886	24.31302622						
0.94234	23.79703386						
0.92456	21.13655946						
0.83058	19.50718013						
0.84328	21.2179617						
0.87376	21.89675855						
0.9525	25.07322531						
0.9906	25.77915623						
1.04648	26.62075757						
1.09982	28.57530104						
1.11252	30.66595974						
1.21666	32.86515476						
1.25222	32.72948436						
1.36398	34.41268702						
1.37668	34.22274846						
1.30556	33.05509333						
1.2573	30.1504122						
1.15316	29.44448127						
1.15062	28.0597535						
1.07696	26.70215981						
1.09728	25.42596836						
1.02616	23.82416794						
0.98298	23.41715672						
0.9271	21.43503435						
0.82804	19.5890272						
0.8255	17.71544115						
0.8382	20.26737922						
0.9144	22.52084241						
0.9525	23.52569305						
1.01854	25.01895715						
1.07696	27.16388401						
1.0922	28.0597535						
1.18364	29.47161536						
1.20142	31.53469515						
1.28778	32.8108866						
1.34366	34.98294755						
1.28778	33.08222741						
1.2573	30.5845575						
1.1684	28.79281851						
1.13284	28.0597535						
1.0668	26.05049704						
1.05664	25.45310244						
0.95758	22.41230609						
0.76708	17.30842993						
0.61976	13.04571029						
0.48006	8.212730123						
0.32004	4.520715823						
0.36068	6.583795621						
0.48006	11.47104395						
0.6731	15.38057572						
0.80264	19.94177025						
0.98298	24.66576927						
1.13538	29.60728576						
1.31064	32.51241171						
1.47828	36.17773675						
1.65608	38.6211385						
1.83642	41.20021066						
1.87198	39.78834881						
1.65354	34.35841886						
1.51384	30.99201353						
1.32334	25.61635175						
1.15062	22.95543253						
1.0668	19.88750209						
0.9906	18.55704248						
0.87884	14.21292059						
0.6985	9.760262382						
0.52832	5.606523884						
0.41148	1.805528439						
0.35306	2.131137411						
0.47752	5.579389803						
0.6477	10.62944262						
0.75946	15.78758693						
0.96774	19.96890433						
1.12014	23.22677334						
1.28778	28.35822839						
1.4478	30.96487945						
1.6002	35.17288611						
1.78308	39.24566719						
1.89484	41.03740618						
1.70688	36.01448744						
1.57226	31.94215119						
1.38938	27.05490286						
1.2446	22.92829845						
1.11252	19.5890272						
1.00838	17.4983685						
0.75184	9.869243527						
0.43688	2.131137411						
0.1651	-3.298792536						
-0.12954	-8.403113511						
-0.43688	-12.52971793						
-0.13208	-3.217390293						
0.13716	4.411734678						
0.4191	13.42558742						
0.74422	21.73350924						
1.06934	29.22696381						
1.37668	34.84727714						
1.75768	40.30434117						
2.09296	45.38152806						
2.50444	48.9111827						
2.89814	51.21891405						
2.54508	43.01952855						
2.25806	35.01008163						
1.8796	28.63001402						
1.51892	20.2945133						
1.20396	13.42558742						
1.01092	10.1948525						
0.6858	5.76932837						
0.4191	0.312264342						
0.1143	-3.597267427						
-0.17018	-9.543189734						
-0.31496	-10.08631618						
-0.0381	-0.502202909						
0.26162	7.0726539						
0.53086	13.96871386						
0.83058	22.14096528						
1.17602	28.63001402						
1.51384	34.41268702						
1.89484	39.02814972						
2.28854	43.77972764						
2.61366	47.47218676						
2.9083	48.5851289						
2.5527	40.46714565						
2.159	33.19120856						
1.82372	26.94636654						
1.46812	19.48004605						
1.13284	13.9144457						
1.17348	13.86017754						
0.72898	5.362317155						
0.2794	-1.669858034						
-0.19304	-8.810124726						
-0.71628	-17.93251379						
-1.25222	-24.72003743						
-0.9652	-14.5118403						
-0.46228	-2.701397933						
-0.03048	8.049925637						
0.47244	16.73816941						
0.94234	25.20889571						
1.4986	33.00082517						
2.05486	39.70694657						
2.60604	46.44020204						
3.20548	53.74371804						
3.81762	57.73465205						
3.63982	50.70292169						
3.1115	40.65752904						
2.50444	29.06415932						
1.93294	20.53916485						
1.45034	15.21777123						
1.22174	11.55244619						
1.18872	12.44831569						
1.00076	7.316860629						
0.53594	1.153865674						
0.01778	-6.068248082						
-0.48768	-13.56170265						
-1.01346	-21.76064332						
-1.22682	-20.53916485						
