"""Thompson and Wallace, 1994, B1"""								
622								
0.51562	-0.095191929							
0.51562	-0.149460226							
0.50292	0.122326078							
0.4953	-0.149460226							
0.48514	-0.257996818							
0.4445	-0.393667559							
0.45466	-0.122326078							
0.4953	0.122326078							
0.50038	0.176594374							
0.508	0.583606595							
0.50292	0.149460226							
0.51816	0.285130966							
0.51816	0.420801707							
0.51562	0.36653341							
0.50292	0.285130966							
0.4953	0.447935855							
0.47498	0.257996818							
0.52324	0.285130966							
0.51308	0.285130966							
0.52324	0.068057781							
0.51054	0.257996818							
0.51308	0.122326078							
0.51308	0.068057781							
0.51054	0.068057781							
0.50038	-0.068057781							
0.50038	0.149460226							
0.48768	-0.176594374							
0.47244	-0.583606595							
0.46482	-0.36653341							
0.44196	-0.36653341							
0.47498	0.122326078							
0.49276	0.068057781							
0.50292	0.068057781							
0.50038	0.475070003							
0.51308	0.36653341							
0.51054	0.475070003							
0.51308	0.36653341							
0.51308	0.610740743							
0.52324	0.447935855							
0.51054	0.36653341							
0.50292	-0.013789485							
0.48768	0.23086267							
0.48768	-0.013789485							
0.45466	0.149460226							
0.47498	0.095191929							
0.4953	0.122326078							
0.49784	-0.013789485							
0.46482	-0.637874891							
0.42672	-0.909661195							
0.3556	-1.26240512							
0.40132	-1.235270972							
0.42926	-0.529338299							
0.45974	-0.285130966							
0.4826	-0.095191929							
0.47498	0.040923633							
0.48514	0.122326078							
0.48514	0.285130966							
0.48768	0.583606595							
0.4699	0.746411484							
0.48514	0.909661195							
0.53086	0.991063639							
0.51816	0.637874891							
0.52578	0.312265114							
0.51816	0.420801707							
0.51054	0.23086267							
0.508	-0.040923633							
0.50038	0.285130966							
0.49784	0.013789485							
0.50038	-0.013789485							
0.49276	-0.36653341							
0.4445	-0.719277336							
0.4191	-1.126734379							
0.381	-1.507057275							
0.381	-1.099600231							
0.43688	-0.637874891							
0.42926	-0.312265114							
0.42672	0.095191929							
0.43688	-0.013789485							
0.4826	0.176594374							
0.50292	0.285130966							
0.50292	0.095191929							
0.51562	0.719277336							
0.51562	0.882527046							
0.54356	1.153868527							
0.52578	0.447935855							
0.52324	0.339399262							
0.51054	0.176594374							
0.51562	0.176594374							
0.50038	-0.122326078							
0.49784	-0.040923633							
0.48768	-0.068057781							
0.48768	-0.122326078							
0.41402	-1.370941712							
0.2794	-2.809941206							
0.14732	-4.140404107							
0.00762	-5.742208489							
0.14986	-6.692348495							
0.2794	-4.574995299							
0.40386	-2.837075354							
0.49276	-2.076874385							
0.54356	-1.534191423							
0.58166	-1.018197787							
0.60706	-0.393667559							
0.69342	0.719277336							
0.83058	2.049740237							
0.97536	3.651544619							
1.07188	4.113269959							
0.90678	1.669862163							
0.75438	-0.095191929							
0.67818	-0.855392898							
0.66294	-1.072466083							
0.62992	-1.39807586							
0.65532	-1.289539268							
