"""Thompson and Wallace, 1994, B3"""	
787	
-0.32258	-11.22642016
-0.381	-12.50261476
-0.4318	-14.0230167
-0.47752	-15.81520494
-0.5588	-17.47127762
-0.60198	-18.8012957
-0.60198	-17.98682644
-0.57404	-16.08654642
-0.51054	-13.88734596
-0.45212	-11.71527965
-0.40894	-10.27628015
-0.33528	-8.294597699
-0.27178	-6.801329909
-0.22352	-4.54786115
-0.1524	-2.049740237
-0.08128	-0.339399262
-0.0762	-0.013789485
-0.10922	-1.886935348
-0.14478	-3.515873878
-0.20828	-5.742208489
-0.31242	-7.452549463
-0.31242	-9.16333526
-0.32004	-9.380408445
-0.37592	-9.896402081
-0.33782	-9.543213333
-0.4064	-11.38966987
-0.49276	-14.10441915
-0.508	-15.32634546
-0.56388	-17.7426191
-0.635	-18.66562496
-0.59436	-16.49355865
-0.51054	-14.51187619
-0.46228	-12.93720596
-0.41148	-10.92794453
-0.35306	-8.783012365
-0.29718	-7.289744575
-0.25654	-5.335196267
-0.18288	-2.864209502
-0.11684	-1.045331935
-0.07112	0.095191929
-0.1143	-0.529338299
-0.127	-2.294392392
-0.1778	-4.438879736
-0.25146	-6.231067977
-0.29464	-7.887140655
-0.31496	-9.326140149
-0.40386	-11.90521868
-0.60706	-17.28089376
-0.70866	-21.27228247
-0.87122	-25.75208584
-1.04902	-29.0099629
-1.12776	-29.87870046
-0.95504	-23.87849515
-0.82042	-19.72474638
-0.6858	-14.70181523
-0.51054	-9.842133785
-0.3429	-5.117678261
-0.18034	-0.013789485
-0.08636	3.543008027
0.09906	7.995677248
0.24384	11.36253572
0.35052	14.24008989
0.19558	9.326140149
0.08128	4.303208995
-0.04318	-0.013789485
-0.19558	-3.841928478
-0.30988	-7.724335767
-0.33528	-8.918683105
-0.46736	-12.80153522
-0.64262	-17.8511557
-0.78232	-21.65216054
-0.9271	-26.32190295
-1.07696	-30.04150535
-1.10998	-28.5753717
-0.93726	-23.58001952
-0.77724	-18.63849081
-0.62992	-14.21295574
-0.51054	-9.570347482
-0.31496	-4.221806551
-0.15494	0.257996818
-0.02032	3.869062626
0.0889	7.860006507
0.25146	12.14987084
0.33782	12.20413914
0.17272	7.452549463
0.00762	3.081727509
-0.08636	-0.502204151
-0.21082	-4.656397743
-0.32512	-8.321731847
-0.36576	-8.674475772
-0.52324	-14.10441915
-0.84074	-23.28109907
-1.15062	-32.21357166
-1.50622	-38.24091111
-1.88722	-42.23229982
-2.08534	-43.99690909
-2.04724	-41.68917203
-1.98374	-39.92456276
-1.94056	-37.48071015
-1.74498	-32.91950433
-1.55448	-27.76090244
-1.26746	-20.75628883
-0.9525	-12.28554158
-0.59436	-3.217398249
-0.27686	3.923330922
0.0127	11.14501772
0.33782	17.49841177
0.60198	23.47148293
0.85344	26.94643317
1.0414	29.82443216
1.1811	31.6708887
1.13538	29.03709704
1.02108	26.15909806
0.95504	23.00975759
0.81788	18.82887467
0.67056	13.83307767
0.53086	11.03648112
0.28956	4.248940699
0.05334	-2.647136317
-0.25146	-11.60674306
-0.37592	-14.21295574
-0.47498	-16.14081472
-0.76454	-23.44434878
-1.12268	-29.77016386
-1.43002	-35.14583894
-1.80086	-40.00596521
-2.07772	-42.74784863
-1.73228	-33.62543701
-1.39192	-25.64354924
-1.07696	-17.90542399
-0.7747	-9.109066964
-0.42164	-0.637874891
-0.15494	6.095397236
0.1651	12.99147425
0.49022	19.073082
0.8128	24.74723271
1.13538	31.6708887
0.93218	23.09116003
0.60706	13.53415721
0.27686	4.248940699
0.0127	-2.511465577
-0.29718	-11.33540157
-0.37084	-13.86021181
-0.37592	-13.42562062
-0.60706	-19.64334394
-1.11252	-29.33557267
-1.61544	-37.29077111
-2.05232	-43.15530568
-2.53492	-47.5537066
-2.83718	-50.02424854
-3.06832	-51.11005929
-2.8956	-46.30464614
-2.64668	-41.52636715
-2.43586	-37.04656378
-2.20726	-32.59389456
-1.71958	-21.81496543
-1.23952	-11.11788357
-0.70612	-0.692143188
-0.2667	7.50681776
0.16764	14.29480301
0.5588	22.19528832
0.9525	29.39028579
1.33096	35.0644365
1.66116	39.21863009
1.93294	41.71630618
2.09042	41.41783055
1.87198	35.74323502
1.6891	31.07349262
1.54178	27.6252317
1.3843	23.47148293
1.21158	19.42582593
0.9017	12.23127328
0.62992	5.009141668
0.40132	-0.475070003
-0.04826	-11.55247476
-0.33528	-17.06382058
-0.65532	-22.8469527
-1.15316	-29.9601029
-1.6764	-37.18223452
-2.21996	-42.88396419
-2.77368	-49.10124269
-2.81432	-45.59871347
-2.29616	-34.68455843
-1.79832	-24.28595219
-1.26238	-13.12714499
-0.75692	-2.782807058
-0.31242	5.389464564
0.1524	14.15868744
0.6477	22.65701366
1.1049	30.15048676
1.46558	34.87449746
1.78562	38.91970964
2.10566	42.69358034
1.83896	35.14583894
1.49352	27.29962192
1.12268	18.09580785
0.67564	7.045537242
0.28448	-3.570142175
-0.20828	-14.24008989
-0.35306	-16.60254006
-0.63246	-22.24955662
-1.31572	-31.99649848
-2.06756	-40.71189788
-2.83972	-49.34545002
-3.62966	-55.72597822
-4.01828	-54.31411288
-3.73634	-48.36817587
-3.5941	-45.24596955
-3.4163	-42.25943397
-3.2512	-40.0602335
-3.10642	-36.88375889
-2.82448	-31.64375455
-2.54762	-26.43088436
-2.24282	-21.5707581
-1.82118	-13.77880937
-1.05664	-3.081727509
-0.40386	7.181207982
0.27686	18.36714933
0.96774	29.22703608
1.71704	39.24576424
2.34442	46.11470711
2.8829	49.5625232
3.12674	50.75731536
3.25374	51.0015227
3.12928	47.6079749
2.97688	44.62143932
2.83972	41.14604425
2.7051	38.05097208
2.42824	32.24070581
1.86436	21.54362395
1.17094	6.801329909
0.57658	-3.380203138
-0.08636	-15.16354057
-0.73406	-24.69296442
-1.47574	-33.70683945
-2.25044	-41.55350129
-3.06324	-48.58524905
-3.86842	-54.85679584
-4.17576	-55.45419192
-3.87858	-49.15551098
-3.57124	-43.7798359
-3.27914	-38.59409986
-2.97942	-33.40836382
-2.6924	-27.9512863
-2.42824	-23.00975759
-2.12344	-17.98682644
-1.81356	-13.64313863
-1.50622	-9.217603556
-0.78994	0.095191929
-0.16002	9.869267933
0.5207	21.10947758
1.2446	31.50763899
2.03454	40.49437987
2.68224	46.98344467
3.15468	51.11005929
2.91592	43.5080496
2.46634	34.57557701
1.88722	23.79709271
1.17602	9.190469408
0.60198	-2.918477798
-0.06858	-14.4033396
-0.2921	-17.28089376
-0.29464	-17.30847273
-0.30734	-17.33560688
-1.21412	-30.82884046
-2.37998	-42.53077545
-3.6068	-52.90224753
-4.7371	-60.99311671
-5.98932	-65.22826792
-5.72262	-53.85238754
-5.53466	-50.45883974
-5.45084	-48.66665149
-5.32384	-47.30905445
