"""Thompson and Wallace, 1994, C2"""	
800	
0.41148	6.231067977
0.41656	6.421007014
0.39624	6.203933829
0.42418	6.828464057
0.08636	-0.339399262
-0.05588	-2.076874385
-0.06858	-2.592868021
-0.11938	-3.705812915
-0.13462	-3.81479433
-0.12954	-3.48873973
-0.1524	-3.787660182
-0.13716	-3.651544619
-0.14478	-4.276074847
-0.18034	-4.031867514
-0.14732	-3.896196774
-0.16256	-4.54786115
-0.19558	-4.303208995
-0.16256	-4.737800187
-0.2667	-6.991268946
-0.32766	-7.860006507
-0.32258	-7.968543099
-0.34036	-7.968543099
-0.33528	-8.321731847
-0.39116	-9.706018222
-0.4953	-11.7424138
-0.58928	-13.10001085
-0.64516	-14.18582159
-0.72644	-15.00029086
-0.67056	-12.93720596
-0.60706	-11.36253572
-0.57404	-9.326140149
-0.49784	-7.751469915
-0.42164	-6.556677754
-0.37338	-5.036275816
-0.2794	-2.809941206
-0.20066	-0.82825875
-0.14478	0.502204151
-0.09144	1.941203644
-0.08128	1.099600231
-0.14732	-0.991063639
-0.25654	-2.538599725
-0.28956	-3.977599218
-0.32004	-5.498001156
-0.36322	-5.932147526
-0.3683	-6.285336273
-0.41148	-7.642933322
-0.48514	-9.109066964
-0.60198	-11.22642016
-0.65278	-13.42562062
-0.70612	-14.45760789
-0.68072	-13.12714499
-0.61468	-11.00934698
-0.54102	-9.706018222
-0.49784	-8.077079692
-0.45974	-6.421007014
-0.34544	-4.602129447
-0.24892	-2.511465577
-0.22098	-0.882527046
-0.13716	0.610740743
-0.06096	2.267258244
-0.09652	0.773990454
-0.18796	-0.773990454
-0.20574	-2.185410977
-0.27178	-4.438879736
-0.3429	-5.226214853
-0.34798	-5.606537748
-0.33528	-5.498001156
-0.44196	-8.158482136
-0.69342	-13.69740693
-0.8509	-17.25375961
-1.03632	-20.86482542
-1.21666	-21.65216054
-1.28778	-20.37641076
-1.08712	-15.57055279
-0.93726	-11.90521868
-0.74422	-8.23988458
-0.5969	-4.357477292
-0.3302	0.719277336
-0.16256	3.81479433
-0.01016	6.583811902
0.13462	9.570347482
0.34544	12.17700499
0.44196	12.50261476
0.27432	8.131347988
0.09398	4.276074847
-0.0254	0.882527046
-0.19304	-2.999880242
-0.31496	-5.687940193
-0.3683	-6.01354997
-0.37338	-6.801329909
-0.58928	-10.60233475
-0.8001	-15.05500397
-0.99568	-17.44414347
-1.14554	-19.91468542
-1.2954	-21.70642884
-1.16078	-17.76975325
-1.03124	-13.69740693
-0.82042	-9.896402081
-0.65024	-6.366738717
-0.42164	-1.886935348
-0.26416	2.32152654
-0.0635	5.498001156
0.1016	7.588665026
0.254	10.33054845
0.41656	13.12714499
0.35814	10.14060941
0.1905	6.04112894
0.02032	2.375794836
-0.16256	-1.316673416
-0.28956	-4.792068483
-0.34544	-5.850745081
-0.37592	-5.986415822
-0.58166	-10.6837372
-0.99568	-17.36274103
-1.35636	-22.68414781
-1.73482	-26.43088436
-2.12598	-29.17276778
-2.29362	-29.39028579
-2.09296	-24.80150101
-1.8669	-19.75188053
-1.49352	-13.37135233
-1.1303	-7.425415315
-0.72136	-1.778398756
-0.35814	2.267258244
-0.0127	7.995677248
0.3302	12.42121232
0.67564	15.78762597
1.0287	20.56634979
1.3716	23.03689174
1.2827	20.1860269
1.10998	16.60254006
0.91694	12.6925538
0.61976	7.07267139
0.28194	0.82825875
-0.0762	-4.248940699
-0.33528	-8.022811396
-0.54102	-10.6837372
-0.95504	-15.70622353
-1.32842	-19.48009423
-1.62052	-22.57561122
-1.84658	-25.2903605
-2.04724	-28.46683511
-2.27076	-29.44455409
-2.25044	-28.00555459
-2.06248	-23.74282441
-1.8796	-20.1860269
-1.6764	-16.16794887
-1.31826	-10.03207282
-0.94488	-4.737800187
-0.5334	0.068057781
-0.20574	4.683531891
0.15748	9.271871852
0.5207	13.47988892
0.88138	17.49841177
1.1938	21.27228247
1.36398	22.14102003
1.18872	18.20434444
1.0287	14.75608352
0.82296	11.49820646
0.68326	8.511670884
0.4445	2.945611946
0.20066	-0.203728522
-0.09652	-4.194672403
-0.3429	-7.50681776
-0.40132	-7.778604063
-0.79502	-13.42562062
-1.41732	-19.64334394
-1.94818	-25.75208584
-2.5146	-31.6708887
-3.02514	-35.41762525
-3.3401	-37.07369792
-3.28676	-35.0101682
-3.1242	-31.96936433
-2.91084	-27.897018
-2.5654	-21.65216054
-2.03708	-13.58887033
-1.47066	-7.615799174
-0.89408	-1.968337793
-0.34798	4.710666039
0.17526	10.65660305
0.78994	16.90101569
1.28016	21.89681269
1.70434	25.31749464
2.0193	27.27248777
2.25552	28.65721897
2.43332	28.52110341
2.27838	25.53456783
2.08026	21.89681269
1.84658	18.36714933
1.55194	13.58887033
1.08712	7.126939686
0.5969	2.076874385
0.07874	-3.244532397
-0.37846	-8.348865995
-0.4445	-8.56593918
-0.43434	-8.430268439
-0.83312	-12.7468221
-1.4097	-18.47568592
-1.9431	-23.93276345
-2.5273	-29.39028579
-3.03784	-33.6797053
-3.3528	-36.47630184
-3.12928	-31.45337069
