"""Thompson and Wallace, 1994, D1"""	
840	
-0.0508	0.149460226
-0.1651	-2.104008533
-0.18034	-4.792068483
-0.25654	-6.746616791
-0.38608	-8.674475772
-0.41656	-11.47107231
-0.51054	-12.91007181
-0.41402	-9.73315237
-0.35814	-7.045537242
-0.2413	-3.732947063
-0.12954	-0.583606595
-0.0508	1.72413046
0.01016	3.977599218
0.10668	6.583811902
0.1905	8.945817253
0.25908	11.30826743
0.36322	13.26281573
0.28956	10.16774356
0.17272	7.154073834
0.13208	4.84633678
0.04572	2.131142681
-0.0762	-0.013789485
-0.0508	0.122326078
-0.1016	-2.049740237
-0.24638	-4.84633678
-0.25654	-6.339604569
-0.33782	-9.136201112
-0.508	-12.33980988
-0.4826	-12.09560254
-0.38862	-9.977804525
-0.37592	-6.828464057
-0.2159	-4.059001663
-0.12954	-1.018197787
-0.0889	1.208136824
0.04572	4.330343144
0.11684	5.986415822
0.18796	8.945817253
0.29718	11.57960891
0.36322	12.88293766
0.25146	9.543213333
0.19558	6.855598205
0.10922	4.38461144
0.01016	1.832667052
-0.04572	-0.176594374
-0.04826	-0.936795343
-0.15748	-3.81479433
-0.37338	-8.728744068
-0.5588	-15.84233909
-0.75184	-20.59348394
-0.98552	-24.28595219
-1.07442	-26.70222584
-0.98552	-23.19969663
-0.8636	-18.25861274
-0.66294	-12.80153522
-0.46482	-7.398281167
-0.24892	-0.963929491
-0.1143	4.303208995
0.1397	9.950670377
0.33528	14.78321767
0.52324	19.1816186
0.7239	23.03689174
0.93726	25.69781754
0.74676	19.1816186
0.51308	13.53415721
0.3302	8.10421384
0.1524	2.89134365
-0.02032	-1.941203644
-0.09906	-2.701404613
-0.10922	-3.896196774
-0.3048	-9.488945037
-0.55372	-15.95087568
-0.78232	-20.53921565
-0.94742	-24.74723271
-1.07696	-26.48515266
-0.89154	-20.15889275
-0.6985	-14.29480301
-0.51054	-9.000085549
-0.28448	-2.809941206
-0.12192	2.674270465
0.11176	7.941408951
0.3048	12.7468221
0.4953	17.60694836
0.71374	22.27669077
0.92964	26.40375021
0.79248	20.34927661
0.57912	14.56614449
0.32004	9.190469408
0.18542	4.031867514
0.01016	-0.963929491
-0.0508	-2.402928984
-0.1524	-3.705812915
-0.45974	-13.61600448
-0.83058	-22.87408685
-1.2192	-30.2861575
-1.6764	-34.84736331
-1.94818	-37.56211259
-2.02438	-36.55770429
-1.79578	-30.2861575
-1.57988	-24.93761657
-1.24206	-17.52554592
-0.92964	-9.842133785
-0.60198	-1.507057275
-0.34036	5.036275816
-0.06604	11.44393817
0.28702	17.19949132
0.61468	21.70642884
0.93218	27.24535363
1.22936	31.6166204
1.60782	35.36335695
1.9304	37.53497844
1.63322	29.03709704
1.2827	21.19088002
0.94996	14.32193715
0.66548	7.126939686
0.37592	-0.013789485
0.0762	-6.692348495
-0.05842	-8.158482136
-0.3683	-14.94602256
-0.67564	-19.91468542
-0.9906	-25.12755561
-1.35382	-29.39028579
-1.66116	-33.24555893
-1.99644	-37.671094
-1.93294	-33.16415649
-1.63576	-25.88775658
-1.29794	-18.50282007
-0.9144	-10.14060941
-0.51308	-0.475070003
-0.19812	7.208342131
0.18796	13.56173618
0.57404	19.83328297
0.94742	25.1818239
1.35636	30.58463313
1.72212	35.49902769
1.88976	35.52616184
1.6383	28.79288971
1.35636	22.35809321
1.0287	15.65195523
0.72898	8.647341624
0.44196	1.669862163
0.13716	-5.090544112
-0.03556	-8.049945544
-0.00508	-7.53439673
-0.01016	-7.53439673
-0.23622	-12.36694402
-0.7493	-20.32214246
-1.17348	-26.78362829
-1.66624	-32.94663848
-2.1463	-38.89257549
-2.68478	-43.04676908
-3.0988	-45.35450614
-2.8702	-39.81558135
-2.6035	-34.35850383
-2.26822	-27.6252317
-1.76022	-17.7968874
-1.19888	-6.93700065
-0.5969	1.778398756
-0.1016	10.81940794
0.50038	19.48009423
1.09982	27.54382925
1.71196	35.0101682
2.18694	39.65277646
2.59334	42.80211693
2.9718	44.94704909
2.78638	39.70704476
2.53238	34.08716235
2.0574	26.07769561
1.48844	15.00029086
0.93218	4.194672403
0.37338	-3.597276323
-0.01778	-8.403134291
-0.31242	-14.15868744
-0.88138	-22.62987952
-1.47066	-29.39028579
-2.0955	-36.0145765
-2.69494	-41.71630618
-3.06832	-43.61658619
-2.82702	-38.45842912
-2.50952	-32.05076677
-2.14122	-25.01901901
-1.69164	-17.03668643
-1.2446	-8.864414809
-0.76454	-1.126734379
-0.3556	5.850745081
0.23622	14.51187619
0.82296	22.4666298
1.44272	29.36315164
2.04216	35.68896673
2.70002	42.01478181
2.82956	40.76616618
2.56286	33.87008916
2.15646	27.21821948
1.68402	18.77416155
1.12776	8.376000143
0.57912	-0.583606595
0.0762	-8.049945544
-0.02286	-8.403134291
-0.46736	-16.7924791
-1.18364	-26.21336635
-1.85928	-33.38122967
-2.5527	-39.95169691
-3.25374	-45.78865251
-3.92938	-49.9428461
-3.95478	-45.2188354
-3.30962	-33.92435746
-2.66192	-23.00975759
-1.88722	-12.12273669
-1.04902	-2.565733873
-0.31496	7.561530878
0.44704	18.50282007
1.27	28.11409119
2.13106	36.23209451
2.84734	42.82925108
3.39852	46.76637148
3.84048	49.20977928
4.03098	47.93358467
3.73888	41.71630618
3.44424	36.42203355
2.921	28.38543267
2.27076	17.8511557
1.49606	8.620207476
0.74676	-1.045331935
0.11176	-9.16333526
0.02286	-9.326140149
-0.0254	-11.33540157
-0.84836	-22.35809321
-1.67894	-30.80170631
-2.54	-38.21377697
-3.34772	-44.29538472
-4.03606	-49.12837683
-4.0767	-46.03330466
-3.71602	-39.40856913
-3.36042	-33.43549797
-2.79908	-25.2360922
