"Umehara and Jirsa, 1982, Spec. 2CUS"	
500	
0	0
0.061026	22.32
0.061026	31.575
0.091542	39.74
0.15257	52.26
0.18308	63.148
0.28989	77.849
0.50348	105.61
0.6713	126.3
0.91542	151.89
1.2205	181.28
1.4189	202.51
1.6477	221.57
1.4799	192.17
1.3731	178.01
1.2511	157.33
1.1443	134.46
0.88489	97.447
0.76284	83.836
0.68656	70.772
0.62553	56.071
0.51872	40.285
0.39667	21.231
0.27462	8.7101
0.13731	-8.1656
0.015257	-25.042
-0.16783	-48.995
-0.47295	-90.37
-0.62553	-108.88
-0.86965	-137.73
-1.2663	-179.1
-1.5257	-201.42
-1.8308	-229.19
-2.1207	-254.23
-2.5784	-286.35
-2.8072	-304.86
-3.0208	-318.47
-3.1582	-328.27
-3.2497	-332.62
-3.0818	-301.05
-3.0208	-285.26
-2.8834	-267.29
-2.7462	-249.88
-2.6088	-229.73
-2.4106	-208.5
-2.1512	-174.75
-1.8461	-142.09
-1.6172	-118.13
-1.3731	-89.28
-1.1595	-68.05
-0.93066	-44.64
-0.73233	-23.409
-0.36617	13.61
-0.1068	44.096
0.1068	68.05
0.3509	95.267
0.50348	113.78
0.6713	133.92
0.79334	148.07
1.0832	176.93
1.4036	208.5
1.4341	198.16
1.2358	170.39
1.1748	155.15
1.068	141.54
0.94592	125.21
0.86965	113.78
0.7781	98.537
0.6713	84.379
0.56449	65.328
0.4272	46.273
0.24411	27.22
-0.1068	-9.7989
-0.24411	-24.497
-0.4272	-46.273
-0.64079	-75.127
-1.0222	-113.78
-1.2358	-133.92
-1.4494	-158.96
-1.7088	-180.74
-2.0292	-213.4
-2.2885	-235.17
-2.6853	-271.65
-2.9599	-294.52
-3.1735	-317.38
-2.9141	-276.55
-2.7615	-253.69
-2.6241	-233.54
-2.4411	-215.03
-2.2122	-187.27
-1.9223	-160.05
-1.7088	-133.37
-1.5409	-114.32
-1.3731	-95.267
-0.7781	-34.841
-0.51872	-4.3551
-0.2136	26.131
0	52.26
0.15257	69.135
0.53398	112.69
0.7781	146.44
0.96119	165.49
1.129	181.83
1.2663	195.44
1.5104	218.85
1.663	230.82
1.5562	205.78
1.4341	184
1.2968	164.41
1.1748	143.17
1.0527	127.93
0.79334	92.545
0.64079	71.857
0.015257	9.7989
-0.18308	-11.432
-0.39667	-40.285
-0.56449	-64.238
-0.83911	-94.725
-1.2358	-133.92
-1.4799	-160.6
-1.7545	-184.55
-2.0749	-219.93
-2.258	-238.44
-2.5174	-262.4
-2.8682	-277.09
-3.1887	-307.04
-2.5326	-226.47
-2.258	-194.35
-1.8156	-148.07
-1.4646	-110.51
-1.1443	-77.302
-0.94592	-50.627
-0.7018	-23.953
-0.24411	26.675
0	59.883
0.22885	84.926
0.45771	112.69
0.6713	136.1
0.85438	157.33
1.0985	183.46
1.4952	217.21
1.7698	253.14
1.9986	278.73
2.2732	295.06
2.5784	319.01
2.8834	340.25
3.1582	358.21
3.2954	369.1
3.86	389.24
4.1803	409.38
4.5618	399.04
4.7142	387.06
4.6076	370.73
4.272	330.99
3.9515	297.78
3.6159	263.49
3.3259	231.37
2.8529	189.45
2.4258	147.53
2.0292	113.78
1.5714	72.947
1.2053	40.829
0.62553	-12.521
0.3204	-42.462
0	-68.05
-0.30513	-90.913
-0.61026	-114.87
-0.97643	-143.17
-1.2816	-169.85
-1.5562	-192.17
-1.8003	-212.85
-1.8613	-218.3
-2.2885	-238.99
-2.6393	-260.76
-2.9141	-277.64
-3.1735	-293.43
-3.4785	-306.49
-3.7988	-321.19
-3.982	-328.81
-4.4854	-334.8
