"Umehara and Jirsa, 1982, Spec. CUS"	
795	
0	0
0.045903	19.687
0.045903	26.25
0.061204	34.453
0.091806	41.562
0.13771	49.764
0.19891	60.702
0.27541	70.545
0.36721	80.936
0.44371	89.685
0.50493	97.344
0.55082	104.45
0.62733	112.65
0.71915	124.69
0.79563	133.98
0.90274	146.01
1.0099	155.31
1.2088	172.81
1.3771	184.29
1.5607	197.42
1.6831	206.17
1.882	218.2
2.0197	226.4
2.1574	232.42
2.2798	240.08
2.2492	229.69
2.0503	208.9
2.0044	202.34
1.8667	188.67
1.6984	171.17
1.5301	153.67
1.3618	136.72
1.0558	106.09
0.85684	86.407
0.71915	72.187
0.55082	53.594
0.39781	36.64
0.19891	16.953
0	-2.1875
-0.091806	-15.312
-0.19891	-29.531
-0.33663	-45.392
-0.52022	-66.173
-0.65794	-82.03
-0.82624	-107.74
-0.93335	-122.5
-1.1016	-140
-1.2241	-153.12
-1.4383	-177.73
-1.5454	-189.22
-1.6678	-199.61
-1.8055	-211.64
-2.0044	-223.67
-2.2645	-239.53
-2.5093	-254.84
-2.6777	-264.69
-2.7389	-267.97
-2.7694	-270.7
-2.6624	-246.09
-2.5552	-228.04
-2.4481	-214.37
-2.3104	-198.51
-2.1574	-181.56
-2.035	-164.06
-1.8667	-143.83
-1.6831	-125.23
-1.5148	-106.64
-1.423	-95.703
-1.0099	-61.796
-0.84155	-48.123
-0.68854	-32.812
-0.56614	-22.422
-0.44371	-10.938
-0.27541	4.375
-0.16831	16.953
-0.015301	32.265
0.076505	43.75
0.21421	57.966
0.33663	72.187
0.47432	85.313
0.61204	99.528
0.96396	125.78
1.0711	137.27
1.2394	149.84
1.423	165.7
1.576	178.28
1.8973	202.34
2.0503	216.56
2.2033	225.31
2.2951	231.87
2.1115	214.92
2.0197	203.98
1.8973	190.31
1.8208	178.83
1.6831	164.06
1.5301	149.84
1.4077	136.72
1.2547	122.5
1.0864	105.55
0.91806	88.048
0.74973	71.092
0.64265	57.966
0.48964	41.562
0.33663	28.984
0	-1.0938
-0.13771	-18.594
-0.32131	-37.734
-0.58143	-56.877
-0.79563	-76.016
-1.0099	-95.156
-1.2241	-117.03
-1.4689	-138.36
-1.6678	-158.05
