"Umehara and Jirsa, 1982, Spec. CUW"	
750	
0	0
0.27635	24.163
0.53818	40.971
0.74181	58.829
1.0036	77.742
1.2073	92.447
1.3818	105.58
1.6436	121.87
1.92	137.62
2.0945	149.7
2.1964	156.01
2.08	145.5
1.9345	131.84
1.8182	120.29
1.7018	109.26
1.5418	93.501
1.3673	78.267
1.0909	52.526
0.91636	36.769
0.77092	22.587
0.6109	4.7273
0.42182	-12.081
0.24727	-27.84
-0.014545	-50.952
-0.24727	-68.286
-0.48001	-87.194
-0.74181	-107.16
-0.85819	-116.61
-1.0327	-126.07
-1.3382	-140.25
-1.6146	-153.38
-1.8182	-163.36
-1.9782	-173.34
-1.7454	-152.33
-1.4109	-126.07
-1.1636	-106.11
-0.91636	-87.194
-0.6109	-62.508
-0.29091	-37.295
-0.087272	-22.062
0.13091	-3.1517
0.37818	17.334
0.64	39.921
0.95999	63.557
1.1636	81.416
1.4254	100.85
1.6727	118.71
1.8909	132.89
2.0218	144.98
2.2254	158.63
2.0363	141.3
1.8763	122.92
1.7164	106.63
1.44	82.995
1.1636	59.354
0.98908	43.073
0.75636	26.789
0.43637	-6.8286
0.21818	-22.587
0.043637	-33.618
-0.16	-49.377
-0.40726	-66.711
-0.56726	-80.366
-0.78544	-94.026
-0.94544	-105.06
-1.1345	-116.61
-1.28	-126.07
-1.4691	-138.15
-1.6436	-151.28
-1.8182	-161.26
-1.92	-169.14
-2.0218	-176.49
-1.6291	-143.4
-1.2218	-109.26
-0.95999	-87.723
-0.78544	-72.489
-0.56726	-57.78
-0.37818	-40.971
-0.16	-24.163
0.014545	-9.4551
0.27635	9.4551
0.53818	30.466
0.81455	51.477
1.1491	75.638
1.3818	92.972
1.6436	113.46
1.9055	129.74
2.08	140.77
2.2109	159.68
1.8618	124.49
1.6582	103.48
1.4836	87.723
1.2364	66.711
1.0909	54.63
0.88727	37.82
0.72728	24.163
0.37818	-15.233
0	-35.193
-0.26182	-55.155
-0.64	-82.995
-0.9018	-102.43
-1.2073	-120.81
-1.4545	-136.57
-1.6582	-151.28
-1.8909	-165.99
-2.0073	-174.39
-1.4109	-122.92
-0.91636	-77.742
-0.30546	-34.668
0.21818	6.8286
0.69817	42.547
1.0473	76.692
1.6146	117.66
1.9345	141.3
2.1382	158.63
2.5018	174.92
2.9383	192.25
3.2436	205.38
3.811	222.72
4.1745	234.27
4.3782	240.05
4.1455	216.41
3.8837	198.03
3.6363	178.07
3.491	164.41
3.3162	152.33
3.0546	136.57
2.6619	115.03
2.3273	95.076
1.8327	68.811
1.0327	27.314
0.75636	6.3033
0.3491	-22.587
-0.029091	-48.852
-0.69817	-94.551
-1.12	-119.76
-1.4836	-141.82
-1.7309	-157.58
-1.9636	-174.39
-2.6764	-189.1
-3.2581	-202.23
-3.6363	-212.21
-4.0437	-226.92
-3.7526	-207.49
-3.2728	-175.97
-2.8946	-150.23
-2.5453	-126.59
-2.08	-98.225
-1.6436	-75.113
-1.1927	-53.051
-0.9018	-37.82
-0.52365	-21.011
0.49454	29.416
0.94544	58.304
1.2073	73.014
1.5564	98.225
1.8036	117.14
2.1527	137.62
2.5745	157.06
2.9817	174.39
3.4762	191.73
3.8255	205.91
4.2182	221.67
3.8981	193.3
3.6073	173.87
3.3454	155.48
3.1128	139.2
2.9091	126.07
2.4873	105.06
2.1818	88.773
1.8182	68.286
1.44	48.852
1.0618	30.466
0.68364	14.182
0.3491	-9.4551
-0.058181	-33.092
-0.50909	-59.354
-1.0182	-86.669
-1.5418	-107.68
-2.08	-127.64
-2.6182	-146.55
-3.1999	-170.19
-3.6944	-192.78
-4	-211.68
-3.2873	-172.29
-2.7201	-133.95
-2.0655	-97.175
-1.5273	-68.811
-1.0036	-43.073
-0.48001	-15.233
0.18909	19.435
0.87272	52.526
1.3818	82.47
1.76	100.85
2.3273	125.54
2.8072	146.03
3.4762	173.87
3.84	191.73
4.2327	211.16
3.8981	189.1
3.5055	170.19
3.1272	152.33
2.7054	129.22
2.1091	96.651
1.6436	69.86
1.2509	47.273
0.9018	24.688
0.56726	5.778
0.24727	-13.132
-0.17454	-38.871
-0.46545	-58.304
-1.2509	-92.972
-1.8618	-116.61
-2.4873	-141.82
-2.9817	-161.26
-3.3891	-178.07
-3.7526	-193.3
-4.0289	-204.33
-4.189	-213.79
-4.2037	-208.01
-3.8255	-191.2
-2.8072	-141.3
-2.3127	-112.93
-1.8182	-87.723
-1.3673	-65.137
-0.78544	-36.769
-0.33454	-15.233
0.14545	8.9298
0.43637	26.264
0.87272	55.68
1.4836	89.823
1.8909	112.41
2.6327	143.4
3.4618	175.44
4.0437	199.08
4.8001	223.77
5.571	243.73
6.2545	263.17
5.7455	232.7
5.2509	202.76
4.7272	169.66
4.3056	141.82
3.9126	130.27
3.3599	108.73
2.7783	86.669
2.2691	65.661
1.8473	47.273
1.4982	30.466
1.1927	14.708
0.98908	3.6769
0.36363	-19.96
-0.17454	-38.345
-0.77092	-65.137
-1.1927	-87.194
-1.3236	-92.972
