"Watson and Park 89, Specimen 8"	
413	
0	0
0.060051	14.798
0.1201	23.502
0.48039	35.398
0.78064	44.68
1.0809	60.64
1.3812	73.405
1.5013	82.982
1.6214	90.815
1.6814	98.359
1.8616	107.94
1.9216	115.19
2.1017	123.02
2.2819	130.86
2.4621	134.34
2.9426	129.69
2.9426	120.41
2.9426	108.51
2.8224	100.68
2.7023	94.008
2.5221	87.043
2.342	78.921
2.1618	71.666
1.9817	64.411
1.8616	57.45
1.6814	51.935
1.5613	45.263
1.4412	38.589
1.3211	32.206
1.2611	26.113
1.141	19.44
1.0209	10.155
0.90076	-0.29014
0.54046	-11.896
0.3603	-24.952
0.30025	-33.367
0.2402	-44.974
0.060051	-52.518
-0.1201	-60.64
-0.30025	-67.312
-0.60051	-75.438
-0.78064	-79.788
-0.96081	-87.332
-1.0809	-91.398
-1.2611	-98.07
-1.4412	-103
-1.7414	-109.39
-2.1017	-115.77
-2.4621	-122.44
-2.7023	-127.37
-2.8224	-131.43
-2.8824	-120.41
-3.0025	-112.57
-3.0025	-103
-3.0625	-92.848
-3.0625	-83.56
-2.9426	-72.244
-2.7023	-53.096
-2.5221	-40.62
-2.2819	-29.014
-1.9817	-19.44
-1.7414	-8.7043
-1.5013	0.87043
-1.141	11.606
-0.90076	23.792
-0.78064	31.626
-0.60051	41.2
-0.18015	55.129
-0.060051	62.672
1.0209	87.332
1.141	95.748
1.3812	105.61
1.6814	132.59
1.7414	145.94
1.9817	157.84
2.2819	169.74
2.7023	183.08
3.2428	195.85
3.9634	212.97
4.5639	228.34
5.2845	242.27
6.065	255.91
6.6055	267.22
7.206	277.96
7.5062	282.89
7.9868	262
8.0467	251.56
8.1669	239.37
8.1669	227.18
7.9266	205.71
7.206	173.8
6.2454	134.04
5.8849	117.8
5.4046	103.87
4.8039	88.787
4.4437	76.016
4.0833	62.383
3.6632	47.296
3.2428	34.527
2.8824	18.86
2.402	4.6424
1.8015	-12.476
1.5013	-22.341
1.0809	-37.719
0.54046	-50.774
0.18015	-62.672
0.1201	-70.794
0.1201	-79.788
0.18015	-89.076
0.060051	-99.809
-0.30025	-110.55
-0.84071	-120.99
-2.2219	-141.88
-2.5822	-152.9
-2.9426	-163.93
-3.3028	-174.09
-3.603	-183.66
-4.0234	-194.98
-4.3838	-203.1
-4.8039	-212.09
-5.5248	-219.64
-6.2454	-226.31
-6.966	-230.95
-7.6263	-234.15
-8.2268	-221.96
-8.6472	-209.19
-8.7673	-196.72
-8.8875	-180.76
-8.9474	-165.38
-8.8275	-150
-8.5872	-136.95
-8.4671	-128.53
-7.2662	-91.104
-6.7856	-77.177
-6.5456	-69.344
-5.6446	-43.231
-5.1643	-27.854
-4.744	-14.217
-4.1435	-0.29014
-3.7831	10.155
-3.3028	22.631
-2.8824	32.206
-2.5221	41.2
