"Wehbe et al. 1998,Specimen A2"	
3816	
0	9.06389
0	9.30886
0	9.06389
-0.1397	10.04377
-0.1397	10.04377
0	10.04377
-0.1397	10.04377
0	17.1479
0	17.1479
0	17.1479
0	17.1479
0	17.1479
-0.4191	7.3491
-0.4191	7.3491
-0.4191	7.3491
-0.4191	7.3491
-0.6985	7.59407
-0.5588	7.59407
-0.5588	7.59407
-0.6985	7.59407
-0.8382	6.85916
-0.6985	7.10413
-0.6985	6.85916
-0.6985	7.10413
-0.8382	7.10413
-0.8382	6.61419
-0.8382	6.61419
-0.8382	6.61419
-0.8382	6.61419
-0.8382	6.61419
0.4191	34.78574
0.4191	34.78574
0.4191	35.03071
0.4191	34.78574
1.816100076	72.02118
1.816100076	72.26615
1.816100076	72.02118
1.816100076	72.02118
1.816100076	69.81645
1.816100076	69.81645
1.9558	69.81645
1.9558	70.79633
2.095499898	78.14543
2.2352	78.88034
2.2352	81.57501
2.374900076	83.04483
2.514599975	85.7395
2.6543	88.43417
2.794	91.12884
2.794	93.57854
2.9337	94.06848
3.0734	99.45782
3.0734	100.68267
3.0734	100.19273
3.0734	100.19273
3.3528	100.92764
3.3528	100.68267
3.3528	100.68267
3.2131	100.68267
3.3528	103.86728
3.4925	105.3371
3.4925	108.76668
3.7719	111.70632
3.632200254	111.21638
3.9116	113.91105
3.9116	114.15602
4.0513	113.42111
4.0513	113.42111
4.0513	113.42111
3.9116	110.97141
3.4925	101.17261
3.0734	87.69926
2.374900076	72.51112
2.095499898	61.73244
1.5367	50.21885
0.9779	36.50053
0.4191	22.78221
0.1397	14.45323
0	11.26862
-0.2794	6.36922
-0.6985	-3.18461
-0.9779	-8.81892
-1.2573	-15.92305
-1.6764	-23.76209
-1.816100076	-26.9467
-1.816100076	-26.9467
-1.816100076	-27.92658
-2.095499898	-34.05083
-2.2352	-36.01059
-2.374900076	-39.68514
-2.6543	-45.07448
-2.794	-48.01412
-2.9337	-50.95376
-3.0734	-52.17861
-3.2131	-54.62831
-3.2131	-56.3431
-3.3528	-57.32298
-3.3528	-58.05789
0.2794	36.7455
0.2794	36.7455
0.2794	36.50053
0.2794	36.50053
4.0513	117.5856
4.0513	118.32051
4.0513	118.07554
4.0513	117.83057
4.0513	115.38087
4.0513	115.38087
4.0513	115.38087
4.0513	115.38087
4.190999746	117.09566
4.3307	119.79033
4.4704	125.17967
4.749800254	130.81398
4.8895	134.24356
5.0292	134.7335
5.1689	135.95835
5.1689	137.1832
5.308599746	137.67314
5.308599746	139.38793
5.588	141.10272
5.588	141.34769
5.588	141.34769
5.588	141.34769
5.588	141.10272
5.7277	144.5323
5.867400254	146.982
6.007099746	150.16661
6.1468	151.8814
6.2865	153.35122
6.2865	153.59619
6.2865	153.35122
6.2865	153.59619
6.7056	159.72044
6.7056	159.2305
6.7056	159.72044
6.7056	159.72044
6.7056	159.47547
6.845299746	162.17014
6.845299746	161.92517
6.985000254	163.39499
6.985000254	163.88493
6.985000254	163.39499
7.124699746	161.19026
7.124699746	161.19026
7.264400254	161.43523
7.264400254	161.19026
7.124699746	161.43523
7.264400254	163.88493
7.4041	167.55948
7.543799746	168.04942
7.4041	168.04942
7.543799746	167.80445
7.683500254	170.98906
7.8232	172.21391
7.683500254	171.72397
7.8232	172.21391
7.8232	173.68373
7.962899746	175.15355
7.962899746	175.64349
8.102600254	176.62337
8.102600254	177.84822
8.381999492	180.29792
8.381999492	180.78786
8.381999492	181.52277
8.661399746	184.70738
8.661399746	184.95235
8.9408	188.6269
9.080499746	190.58666
9.359899746	193.03636
9.6393	198.18073
9.918700254	199.65055
9.918700254	200.63043
10.19809975	203.81504
10.61719949	208.2245
10.89659975	210.91917
11.03630025	213.85881
11.176	213.85881
11.31569975	214.34875
11.31569975	215.5736
11.45540025	217.28839
11.59509975	220.22803
11.73480025	220.473
11.8745	220.473
11.8745	220.96294
12.01419975	223.41264
12.15390025	225.3724
12.2936	225.12743
12.2936	226.35228
12.43329975	227.8221
12.573	229.78186
12.71270051	229.53689
12.71270051	230.76174
12.85239949	232.96647
12.9921	232.7215
13.13180051	233.45641
13.55090051	229.53689
13.55090051	229.53689
13.55090051	229.53689
13.55090051	229.53689
13.27149949	222.67773
12.85239949	216.30851
12.43329975	207.97953
12.01419975	199.40558
11.45540025	189.11684
10.7569	177.60325
10.61719949	174.90858
10.47749975	169.76421
10.0584	164.1299
9.778999746	158.25062
9.359899746	151.8814
8.661399746	141.83763
8.242299746	134.7335
7.8232	129.34416
7.4041	122.97494
7.124699746	118.07554
6.845299746	113.66608
6.426199746	106.31698
6.007099746	100.19273
5.867400254	97.49806
5.1689	87.20932
4.6101	76.43064
4.0513	66.1419
3.4925	56.58807
3.0734	48.74903
2.6543	41.15496
2.2352	34.54077
1.9558	28.17155
1.6764	24.497
1.1176	13.47335
0.5588	2.4497
0.1397	-3.18461
0	-5.63431
0	-5.87928
-0.1397	-10.53371
-0.4191	-15.18814
-0.6985	-19.35263
-0.9779	-24.497
-1.1176	-27.19167
-1.5367	-36.25556
-1.816100076	-40.66502
-1.9558	-44.0946
-2.2352	-48.74903
-2.374900076	-52.66855
-2.6543	-56.3431
-2.794	-60.26262
-2.9337	-63.44723
-3.2131	-66.63184
-3.4925	-73.73597
-3.7719	-78.88034
-4.0513	-83.2898
-4.3307	-87.20932
-4.4704	-90.39393
-4.6101	-91.61878
-4.749800254	-96.02824
-5.0292	-99.21285
-5.1689	-101.41758
-5.4483	-107.7868
-5.7277	-112.93117
-6.1468	-117.34063
-6.426199746	-122.72997
-6.845299746	-128.11931
-7.264400254	-132.52877
-7.543799746	-137.91811
-7.683500254	-139.38793
-8.102600254	-145.51218
-8.801100254	-156.29086
-9.220200254	-158.49559
-9.499600254	-163.15002
-10.0584	-170.98906
-10.47749975	-175.64349
-10.89659975	-180.29792
-11.31569975	-183.7275
-11.59509975	-187.89199
-12.2936	-196.46594
-13.13180051	-204.54995
-13.4112	-207.48959
-13.97000025	-213.85881
-14.24939975	-215.5736
-14.8082	-222.67773
-15.08759949	-224.88246
-15.36700051	-226.35228
-15.50669949	-229.04695
-15.92579924	-231.25168
-15.92579924	-231.49665
-16.20520025	-233.94635
-16.34489924	-235.41617
-16.34489924	-234.68126
-16.62430025	-226.84222
-16.62430025	-227.08719
-16.62430025	-226.84222
-16.62430025	-226.59725
-16.48459975	-223.41264
-16.34489924	-221.45288
-15.92579924	-214.83869
-15.6464	-208.95941
-15.36700051	-203.57007
-14.94790051	-196.46594
-13.97000025	-182.99259
-13.55090051	-174.90858
-12.71270051	-162.41511
-12.01419975	-150.90152
-10.89659975	-134.24356
-10.0584	-120.77021
-9.359899746	-109.50159
-8.242299746	-91.61878
-7.264400254	-78.3904
-6.985000254	-72.02118
-6.2865	-61.97741
-5.0292	-40.90999
-4.190999746	-25.72185
-3.4925	-13.96329
-2.9337	-2.4497
-2.514599975	4.16449
-1.816100076	14.94317
-1.397	20.82245
-1.2573	23.51712
-0.6985	33.80586
-0.2794	41.6449
0	45.07448
0.2794	44.0946
0.2794	44.0946
0.1397	44.0946
0.2794	44.0946
0.2794	44.0946
0.6985	54.13837
0.9779	59.52771
1.1176	63.6922
1.5367	68.34663
1.6764	73.00106
2.2352	80.8401
2.6543	87.45429
2.9337	93.57854
3.632200254	102.8874
4.190999746	111.21638
5.0292	123.46488
5.588	131.05895
6.007099746	137.42817
6.845299746	147.96188
7.4041	156.7808
7.962899746	164.37487
8.381999492	169.76421
8.801100254	174.90858
9.220200254	181.52277
9.778999746	187.64702
9.918700254	191.0766
10.33780025	196.46594
10.61719949	199.16061
10.89659975	202.34522
11.31569975	209.69432
11.73480025	214.10378
12.15390025	220.71797
12.43329975	224.14755
12.573	224.14755
12.573	225.86234
12.71270051	227.57713
12.9921	231.25168
13.13180051	233.70138
13.55090051	238.11084
13.97000025	242.76527
14.24939975	245.70491
14.52880076	249.37946
14.8082	252.80904
14.94790051	253.05401
15.08759949	252.3191
17.60220051	275.83622
17.74189949	275.34628
17.60220051	275.10131
17.60220051	274.85634
17.60220051	270.44688
17.74189949	270.20191
17.60220051	270.20191
17.60220051	270.20191
17.8816	272.89658
18.02130025	278.04095
18.30069975	280.98059
18.44040025	282.20544
18.85950025	286.12496
18.99920076	288.81963
19.2786	292.00424
19.55799949	294.45394
19.83740051	296.65867
19.97709949	295.92376
19.97709949	295.92376
20.1168	297.88352
20.25650025	298.61843
20.25650025	299.10837
20.39619924	300.33322
20.39619924	300.57819
20.53589975	300.57819
20.67560025	295.67879
20.81529924	295.43382
20.67560025	295.43382
20.67560025	295.43382
20.67560025	294.69891
20.39619924	289.79951
20.25650025	285.63502
19.83740051	278.53089
19.13889949	268.97706
18.58009924	259.17826
18.02130025	248.88952
17.4625	241.54042
16.76399924	230.76174
16.06549975	220.22803
15.08759949	207.73456
14.10969924	195.48606
13.4112	186.1772
12.71270051	176.62337
12.01419975	167.06954
11.31569975	158.00565
10.61719949	148.69679
9.778999746	137.1832
9.080499746	127.62937
8.661399746	121.50512
8.102600254	115.38087
7.683500254	108.52171
7.264400254	102.64243
6.845299746	95.5383
6.1468	87.45429
5.7277	80.8401
5.4483	77.16555
5.0292	70.06142
4.3307	61.73244
3.7719	51.93364
3.4925	46.29933
2.9337	40.42005
2.6543	36.25556
2.374900076	32.33604
2.095499898	27.19167
1.6764	20.57748
1.5367	17.63784
1.2573	13.47335
0.8382	8.32898
0.6985	5.63431
0.4191	1.22485
0.1397	-0.24497
0	0
0.1397	-0.24497
0.1397	-0.24497
0.1397	-1.46982
-0.2794	-7.10413
-0.5588	-13.71832
-1.1176	-22.0473
-1.5367	-28.90646
-1.816100076	-34.54077
-2.095499898	-39.68514
-2.374900076	-44.82951
-2.794	-49.48394
-3.0734	-54.13837
-3.4925	-62.22238
-4.0513	-69.08154
-4.4704	-76.67561
-4.749800254	-80.35016
-5.0292	-83.2898
-5.308599746	-86.22944
-5.4483	-86.71938
-5.7277	-93.33357
-6.1468	-98.23297
-6.426199746	-101.17261
-6.845299746	-108.27674
-7.4041	-116.11578
-7.8232	-121.50512
-8.242299746	-126.40452
-8.5217	-129.34416
-8.9408	-135.95835
-9.220200254	-139.87787
-9.6393	-145.75715
-10.19809975	-152.61631
-10.61719949	-158.49559
-11.03630025	-163.88493
-11.31569975	-168.04942
-11.59509975	-171.96894
-12.01419975	-176.13343
-12.43329975	-182.01271
-12.85239949	-186.91211
-13.27149949	-192.05648
-13.27149949	-192.79139
-13.4112	-195.73103
-14.24939975	-206.50971
-14.94790051	-215.32863
-15.36700051	-219.24815
-15.6464	-221.45288
-15.78610051	-224.63749
-16.06549975	-227.57713
-16.34489924	-231.25168
-16.62430025	-233.45641
-16.62430025	-233.70138
-16.76399924	-234.43629
-16.76399924	-234.43629
-16.76399924	-228.80198
-16.90369975	-228.80198
-16.76399924	-228.55701
-16.90369975	-231.00671
-17.32279949	-236.64102
-17.4625	-240.31557
-18.02130025	-245.21497
-18.44040025	-251.82916
-18.85950025	-255.74868
-18.99920076	-257.2185
-19.13889949	-258.44335
-19.41830051	-261.62796
-19.6977	-264.32263
-19.6977	-263.83269
-19.83740051	-264.81257
-19.83740051	-264.81257
-19.97709949	-265.30251
-19.97709949	-266.03742
-19.97709949	-265.79245
-20.1168	-260.40311
-20.1168	-260.40311
-20.1168	-260.40311
-20.1168	-260.40311
-20.1168	-259.91317
-19.6977	-251.58419
-19.13889949	-243.74515
-18.58009924	-233.45641
-17.8816	-224.88246
-17.32279949	-214.34875
-16.76399924	-208.46947
-16.48459975	-202.59019
-15.78610051	-193.77127
-15.2273	-184.95235
-14.38910025	-173.68373
-13.55090051	-161.92517
-12.85239949	-151.8814
-12.2936	-143.06248
-11.45540025	-132.77374
-11.176	-128.60925
-10.47749975	-118.32051
-9.6393	-106.56195
-8.661399746	-93.82351
-7.683500254	-79.86022
-6.985000254	-68.83657
-6.1468	-55.11825
-5.308599746	-43.11472
-4.4704	-30.13131
-3.632200254	-16.41299
-2.794	-4.40946
-2.374900076	2.4497
-2.095499898	7.10413
-1.9558	10.04377
-1.6764	13.96329
-1.397	19.10766
-0.8382	28.66149
-0.2794	35.76562
-0.1397	37.97035
0	39.1952
0.2794	40.66502
0.2794	40.66502
0.2794	40.42005
0.4191	40.42005
1.1176	56.83304
2.2352	74.47088
3.3528	90.14896
4.0513	99.94776
5.308599746	116.85069
6.1468	129.34416
7.124699746	141.34769
7.683500254	147.22697
8.242299746	154.82104
9.080499746	163.15002
9.778999746	172.45888
10.7569	183.97247
11.59509975	195.48606
12.2936	203.3251
12.9921	211.65408
13.55090051	217.77833
14.38910025	228.06707
15.36700051	240.56054
16.34489924	250.35934
16.90369975	256.97353
17.18310051	260.15814
17.60220051	265.30251
18.30069975	274.12143
18.71979975	277.30604
18.85950025	279.51077
19.13889949	282.94035
19.6977	288.81963
20.1168	293.47406
20.25650025	293.964
20.53589975	296.4137
20.81529924	289.55454
20.81529924	289.55454
20.67560025	289.55454
20.81529924	289.55454
20.53589975	285.14508
19.97709949	276.08119
19.13889949	262.60784
18.02130025	244.97
17.60220051	237.37593
16.76399924	226.10731
16.20520025	217.28839
15.36700051	208.2245
14.52880076	197.20085
13.69059924	185.68726
12.9921	177.84822
12.573	170.74409
11.59509975	159.2305
10.89659975	149.18673
9.918700254	137.67314
8.801100254	123.46488
7.8232	111.46135
7.4041	104.84716
7.124699746	101.17261
6.426199746	92.10872
5.7277	81.81998
4.8895	70.30639
3.9116	56.58807
3.0734	43.11472
2.2352	30.37628
1.1176	14.20826
0.6985	7.3491
0	-2.4497
-0.6985	-14.45323
-1.397	-24.00706
-2.374900076	-38.46029
-3.2131	-51.68867
-3.9116	-60.75256
-4.4704	-70.30639
-5.308599746	-79.37028
-5.867400254	-87.94423
-6.426199746	-95.78327
-6.985000254	-104.84716
-7.8232	-113.66608
-8.381999492	-120.77021
-8.661399746	-125.91458
-9.499600254	-134.24356
-10.33780025	-145.26721
-11.176	-155.06601
-11.73480025	-163.88493
-12.2936	-169.76421
-12.85239949	-176.13343
-13.4112	-183.48253
