"Wehbe et al. 1998,Specimen B2"	
3988	
0	0
0	0
0	0
0	0
1.397	-2.4497
1.397	-2.4497
1.397	-2.4497
1.5367	-2.20473
1.6764	-2.20473
1.6764	-2.20473
1.816100076	-2.20473
1.6764	-2.20473
1.5367	-6.12425
1.5367	-6.12425
1.5367	-5.87928
1.5367	-6.12425
1.6764	-3.18461
1.816100076	0.73491
1.816100076	2.4497
1.816100076	4.16449
2.095499898	9.30886
2.374900076	16.65796
2.514599975	18.61772
3.2131	32.58101
3.3528	38.46029
3.632200254	44.33957
4.190999746	55.36322
4.6101	62.71232
4.8895	69.32651
5.308599746	75.69573
5.308599746	76.18567
5.7277	83.04483
5.7277	83.2898
5.7277	80.8401
5.867400254	80.8401
5.7277	80.8401
5.867400254	80.8401
5.867400254	80.8401
6.007099746	85.24956
6.007099746	86.96435
6.2865	93.57854
6.7056	98.72291
6.7056	100.68267
6.7056	100.68267
6.7056	103.37734
7.124699746	108.27674
7.264400254	108.03177
7.124699746	108.03177
7.264400254	108.03177
7.264400254	108.27674
7.4041	113.17614
7.683500254	119.54536
7.8232	121.01518
7.8232	121.26015
7.962899746	123.21991
7.962899746	126.15955
8.242299746	127.3844
8.242299746	125.66961
8.242299746	125.66961
8.381999492	125.91458
8.381999492	125.66961
8.242299746	125.66961
8.381999492	128.36428
8.9408	139.38793
9.080499746	141.34769
9.359899746	146.00212
9.499600254	146.49206
9.499600254	147.96188
9.499600254	147.96188
9.6393	148.94176
9.6393	149.18673
9.778999746	150.90152
9.778999746	150.90152
9.778999746	150.65655
9.778999746	150.41158
9.778999746	150.90152
9.918700254	154.3311
10.19809975	157.51571
10.33780025	158.49559
10.33780025	159.2305
10.61719949	161.19026
10.7569	166.08966
11.176	169.76421
11.31569975	172.21391
11.31569975	172.94882
11.73480025	169.76421
11.59509975	169.76421
11.59509975	169.51924
11.73480025	169.76421
11.45540025	166.82457
11.176	160.45535
10.7569	150.90152
10.19809975	136.20332
9.220200254	116.85069
8.381999492	100.68267
7.8232	89.41405
6.985000254	72.26615
6.426199746	61.2425
6.007099746	56.09813
5.867400254	52.42358
4.8895	32.33604
4.3307	20.82245
3.632200254	8.32898
3.3528	0.97988
3.0734	-4.16449
2.794	-10.77868
2.514599975	-16.65796
1.9558	-27.19167
1.397	-39.1952
0.9779	-45.56442
0.6985	-49.97388
0.5588	-53.64843
0.4191	-55.85316
0.2794	-60.99753
-0.2794	-68.5916
-0.5588	-73.98094
-1.1176	-83.53477
-1.397	-87.20932
-1.6764	-94.31345
-2.095499898	-100.19273
-2.514599975	-106.31698
-2.9337	-113.42111
-3.0734	-116.85069
-3.3528	-121.99506
-3.7719	-126.64949
-3.7719	-127.13943
-3.7719	-126.89446
-3.7719	-126.40452
-3.7719	-122.485
-3.7719	-122.485
-3.7719	-122.485
-3.632200254	-121.01518
-3.3528	-115.62584
-3.0734	-105.82704
-2.2352	-88.92411
-1.5367	-73.24603
-0.8382	-60.99753
-0.4191	-52.17861
0	-44.82951
0.2794	-39.1952
0.5588	-30.62125
0.6985	-29.15143
0.8382	-25.47688
0.9779	-20.57748
1.2573	-16.41299
1.397	-13.22838
1.397	-11.02365
1.5367	-9.55383
1.6764	-7.59407
1.6764	-7.10413
1.816100076	-5.38934
1.816100076	-5.38934
1.9558	-5.38934
1.816100076	-5.38934
1.816100076	-9.7988
1.5367	-14.45323
1.2573	-23.51712
0.6985	-35.52065
0.5588	-40.42005
0.4191	-43.35969
0	-49.48394
-0.1397	-55.11825
-0.6985	-65.89693
-0.9779	-72.26615
-1.397	-78.88034
-1.6764	-84.26968
-2.2352	-95.78327
-2.374900076	-97.49806
-2.514599975	-100.68267
-2.6543	-102.8874
-2.794	-105.3371
-3.0734	-113.17614
-3.3528	-116.85069
-3.4925	-119.54536
-3.7719	-124.44476
-3.9116	-128.36428
-4.3307	-133.99859
-4.6101	-137.67314
-4.8895	-142.57254
-5.1689	-148.45182
-5.308599746	-151.39146
-5.867400254	-157.02577
-6.1468	-162.66008
-6.7056	-168.29439
-6.985000254	-174.17367
-7.4041	-178.8281
-7.543799746	-179.31804
-7.683500254	-180.78786
-7.8232	-181.03283
-7.683500254	-180.78786
-8.102600254	-178.8281
-8.242299746	-178.8281
-8.102600254	-178.8281
-8.102600254	-178.58313
-7.8232	-172.21391
-7.124699746	-157.51571
-6.1468	-142.57254
-5.308599746	-123.95482
-4.0513	-102.64243
-2.6543	-76.67561
-1.2573	-52.66855
0	-28.66149
0.6985	-15.92305
1.5367	0.73491
1.9558	12.49347
2.794	28.41652
3.4925	41.15496
4.3307	56.3431
4.8895	66.63184
5.4483	77.41052
6.565900254	95.04836
6.985000254	104.35722
7.4041	109.25662
7.543799746	111.70632
7.962899746	118.07554
8.242299746	122.485
8.661399746	130.56901
9.220200254	140.85775
9.778999746	148.45182
10.19809975	155.06601
10.61719949	163.63996
11.176	173.43876
11.8745	181.2778
12.43329975	188.6269
12.85239949	193.5263
13.27149949	200.38546
13.83029975	206.26474
14.38910025	211.89905
14.66849975	215.81857
15.08759949	219.98306
15.50669949	223.65761
15.78610051	225.86234
16.20520025	231.00671
16.48459975	233.21144
16.62430025	234.43629
16.90369975	237.6209
17.0434	239.09072
17.18310051	240.0706
17.32279949	239.82563
17.32279949	239.58066
17.4625	232.7215
17.4625	232.7215
17.60220051	232.7215
17.4625	232.7215
17.4625	230.51677
17.18310051	225.12743
16.48459975	214.34875
15.78610051	200.63043
14.8082	184.21744
13.83029975	167.31451
13.27149949	155.80092
12.2936	144.04236
11.45540025	131.05895
10.61719949	117.5856
9.778999746	104.11225
8.661399746	86.71938
7.962899746	74.71585
6.845299746	58.54783
6.1468	44.82951
5.1689	27.19167
4.3307	15.67808
4.0513	8.57395
3.4925	-1.46982
3.0734	-9.30886
2.374900076	-19.5976
1.9558	-26.45676
1.5367	-35.76562
1.2573	-39.93011
0.6985	-49.97388
0	-61.97741
-0.8382	-74.96082
-1.816100076	-92.35369
-2.374900076	-101.41758
-3.2131	-113.42111
-4.0513	-125.91458
-4.8895	-139.38793
-5.867400254	-153.59619
-6.565900254	-162.66008
-6.985000254	-170.25415
-8.381999492	-189.85175
-9.220200254	-200.14049
-10.0584	-209.93929
-10.61719949	-216.55348
-11.03630025	-220.473
-11.31569975	-222.18779
-11.73480025	-227.57713
-12.01419975	-230.2718
-12.15390025	-231.74162
-12.85239949	-237.86587
-12.9921	-240.31557
-13.27149949	-241.29545
-13.55090051	-244.72503
-13.69059924	-245.70491
-13.69059924	-245.70491
-13.97000025	-247.66467
-14.38910025	-242.27533
-14.38910025	-242.5203
-14.38910025	-242.5203
-14.38910025	-242.27533
-14.24939975	-241.78539
-14.10969924	-238.84575
-13.55090051	-227.33216
-12.01419975	-205.03989
-11.03630025	-188.38193
-9.220200254	-160.70032
-7.683500254	-138.40805
-6.7056	-122.72997
-5.1689	-101.66255
-3.632200254	-78.63537
-2.794	-66.87681
-2.095499898	-55.36322
-1.397	-43.84963
-0.5588	-29.3964
-0.2794	-25.47688
0	-18.61772
0.2794	-14.6982
0.4191	-12.98341
0.5588	-9.55383
0.6985	-9.55383
0.6985	-8.08401
0.9779	-9.06389
0.9779	-9.06389
0.9779	-9.06389
0.9779	-8.57395
1.397	2.93964
2.095499898	17.39287
3.0734	34.2958
4.0513	51.68867
5.1689	70.06142
6.1468	85.00459
6.7056	92.84363
7.683500254	108.52171
8.801100254	124.19979
9.6393	136.20332
11.03630025	156.29086
12.2936	171.96894
12.71270051	178.09319
13.4112	186.91211
13.97000025	194.26121
14.66849975	203.81504
15.50669949	215.32863
16.48459975	228.55701
17.18310051	236.15108
17.60220051	240.56054
18.16099924	249.13449
18.71979975	254.27886
18.99920076	257.70844
19.6977	264.07766
20.53589975	271.67173
20.81529924	275.10131
21.23439924	278.53089
21.5138	280.49065
21.65350051	282.20544
21.9329	284.1652
22.21229949	286.85987
22.352	288.57466
22.63139924	289.79951
22.77109975	289.79951
22.91080025	280.49065
22.91080025	280.49065
22.91080025	280.49065
22.91080025	279.02083
22.49170025	271.42676
21.79319949	261.62796
20.53589975	241.78539
18.58009924	210.18426
17.0434	190.34169
15.92579924	174.41864
14.8082	159.72044
13.83029975	145.02224
12.573	130.07907
10.7569	104.60219
8.801100254	76.18567
7.264400254	52.17861
5.867400254	31.35616
4.8895	15.18814
4.0513	0.73491
3.3528	-10.28874
2.2352	-27.68161
1.2573	-44.33957
-0.1397	-64.67208
-0.8382	-74.96082
-1.9558	-91.12884
-2.6543	-101.66255
-3.3528	-110.97141
-4.0513	-120.52524
-4.8895	-130.81398
-5.308599746	-137.1832
-6.2865	-149.18673
-7.4041	-165.59972
-8.5217	-179.80798
-9.359899746	-188.38193
-9.918700254	-195.976
-10.33780025	-201.36534
-11.03630025	-208.95941
-11.45540025	-214.59372
-12.01419975	-222.43276
-12.43329975	-227.57713
-12.85239949	-232.96647
-13.69059924	-241.78539
-14.10969924	-247.90964
-14.66849975	-253.78892
-15.50669949	-262.36287
-16.48459975	-272.40664
-17.18310051	-278.77586
-17.74189949	-284.41017
-18.16099924	-288.08472
-18.44040025	-290.77939
-18.58009924	-292.49418
-18.85950025	-293.22909
-18.99920076	-294.94388
-19.13889949	-296.16873
-19.41830051	-298.37346
-19.6977	-300.08825
-19.6977	-300.33322
-19.83740051	-300.33322
-19.97709949	-289.30957
-19.97709949	-289.55454
-19.97709949	-289.30957
-19.41830051	-281.96047
-18.71979975	-271.18179
-18.16099924	-261.87293
-17.74189949	-256.72856
-17.18310051	-249.37946
-16.48459975	-238.84575
-15.50669949	-225.3724
-14.8082	-214.83869
-13.4112	-197.20085
-12.2936	-181.2778
-11.176	-167.55948
-10.19809975	-156.53583
-9.778999746	-149.4317
-9.220200254	-142.0826
-8.102600254	-127.87434
-6.985000254	-113.42111
-6.2865	-101.66255
-5.308599746	-89.90399
-4.8895	-82.79986
-3.9116	-69.08154
-2.9337	-56.09813
-1.816100076	-38.70526
-0.4191	-17.63784
0.5588	-0.73491
1.5367	14.45323
2.514599975	28.41652
3.2131	39.44017
4.190999746	55.11825
5.4483	74.96082
7.124699746	97.988
8.661399746	118.56548
9.778999746	133.75362
10.7569	146.982
12.15390025	161.92517
12.9921	173.68373
13.83029975	182.50265
14.94790051	196.46594
15.92579924	208.46947
16.76399924	218.26827
17.4625	225.3724
18.16099924	234.19132
18.71979975	241.54042
19.41830051	248.88952
19.97709949	254.7688
20.53589975	261.62796
20.81529924	265.30251
21.23439924	269.22203
21.65350051	273.63149
21.9329	276.8161
22.21229949	278.77586
22.49170025	282.20544
22.63139924	283.92023
22.63139924	284.41017
22.77109975	284.65514
22.77109975	278.77586
22.77109975	278.77586
22.91080025	278.77586
22.77109975	278.28592
22.352	269.71197
21.5138	257.2185
20.81529924	246.43982
19.97709949	231.98659
18.58009924	209.69432
16.90369975	188.87187
15.36700051	169.51924
14.24939975	154.82104
12.9921	137.42817
11.03630025	111.70632
9.080499746	83.77974
7.124699746	55.11825
4.749800254	20.08754
3.3528	-0.73491
3.2131	-3.67455
3.0734	-3.91952
3.0734	-3.67455
2.794	-10.53371
2.095499898	-20.33251
0.9779	-38.21532
-0.6985	-64.18214
-2.095499898	-84.26968
-3.632200254	-104.60219
-4.8895	-121.99506
-6.7056	-143.30745
-7.683500254	-154.82104
-8.661399746	-166.33463
-9.778999746	-179.07307
-11.176	-194.75115
-12.15390025	-207.24462
-13.13180051	-217.77833
-14.38910025	-232.23156
-15.50669949	-245.94988
-16.48459975	-256.72856
-17.18310051	-264.81257
-18.16099924	-275.83622
-18.71979975	-281.7155
-18.85950025	-283.43029
-19.13889949	-285.39005
-19.41830051	-288.32969
-19.55799949	-290.04448
-19.83740051	-292.49418
-19.97709949	-293.47406
-19.97709949	-286.36993
-19.97709949	-286.12496
-19.97709949	-286.36993
-19.97709949	-286.36993
-19.41830051	-277.55101
-18.71979975	-266.52736
-17.74189949	-253.05401
-16.34489924	-233.70138
-14.94790051	-215.81857
-13.55090051	-196.22097
-11.73480025	-172.70385
-10.19809975	-155.06601
-8.242299746	-128.11931
-6.565900254	-106.80692
-5.1689	-87.20932
-3.632200254	-66.87681
-1.6764	-36.99047
-0.2794	-16.90293
1.5367	12.49347
2.374900076	26.70173
4.190999746	51.93364
6.1468	81.57501
7.543799746	100.92764
8.661399746	115.87081
9.778999746	129.09919
10.7569	142.32757
12.15390025	158.74056
13.55090051	175.39852
14.8082	191.0766
15.92579924	202.59019
17.18310051	218.26827
18.30069975	231.98659
19.2786	243.25521
20.1168	252.56407
