"Wight and Sozen, 1973, spec. WS033AE"	
349	
0	0
0.25255	8.7955
0.36078	15.078
0.57727	21.486
0.75766	28.146
1.4792	41.464
2.2369	49.004
2.8143	54.279
3.5717	59.056
4.8346	66.217
5.9891	73.254
6.9273	79.41
7.8293	83.809
8.7312	87.701
9.3086	90.468
9.7775	91.349
31.605	98.759
31.75	98.256
31.786	97.38
31.821	94.991
31.75	93.733
31.679	92.478
31.57	90.846
31.425	88.079
31.1	83.053
30.704	80.291
30.307	77.4
29.911	74.508
29.406	71.493
28.826	67.098
28.504	64.456
28.034	60.564
27.529	56.921
26.952	52.268
26.591	47.118
25.69	42.344
25.328	40.334
24.751	36.815
23.921	32.292
23.307	28.899
22.586	25.507
22.008	22.491
21.323	19.35
20.457	16.083
19.736	13.696
18.617	8.9209
17.643	5.7797
16.849	3.2669
15.983	0.87955
14.612	-2.2617
13.674	-3.8951
12.844	-5.5284
12.303	-6.785
11.617	-8.4183
11.185	-9.6748
10.824	-11.309
10.283	-12.942
8.8755	-16.711
7.8654	-20.23
6.8189	-23.622
5.4841	-28.271
4.5822	-31.789
3.5357	-35.559
2.4173	-39.705
1.4792	-43.851
0.5051	-48.626
-0.46904	-53.149
-1.2989	-57.673
-2.3091	-62.445
-3.0668	-66.969
-4.1491	-71.871
-5.2677	-77.022
-6.1336	-80.54
-6.9634	-83.307
-7.9014	-86.069
-9.3447	-89.209
-10.643	-91.851
-11.906	-94.364
-13.349	-95.872
-14.576	-97.002
-16.416	-98.132
-17.931	-98.634
-19.736	-99.137
-21.792	-99.391
-23.199	-99.012
-24.859	-98.759
-26.698	-98.385
-27.925	-98.385
-29.296	-98.007
-30.127	-97.251
-30.955	-96.877
-31.316	-96.624
-31.679	-96.499
-31.714	-96.499
-31.534	-93.862
-31.064	-87.199
-30.343	-81.421
-29.406	-73.503
-28.43	-65.212
-27.529	-59.434
-26.698	-54.911
-26.231	-51.263
-25.58	-46.237
-24.714	-40.962
-23.812	-36.187
-22.73	-31.412
-21.828	-27.768
-20.457	-22.617
-19.266	-18.596
-18.076	-14.827
-16.561	-10.429
-15.153	-6.2824
-13.71	-2.513
-12.231	1.0052
-11.293	3.2669
-10.03	6.4082
-8.5509	8.9209
-7.1438	11.685
-6.0251	13.57
-4.51	15.958
-2.7419	18.722
-1.5153	20.606
-0.25255	22.491
1.0824	24.376
2.3812	26.889
3.7884	30.91
5.1232	35.056
6.2779	38.7
7.7211	43.475
9.2362	48.626
10.607	53.527
12.014	58.803
13.313	64.082
14.54	69.233
15.875	73.881
17.174	78.28
18.148	81.799
18.942	84.561
19.88	86.322
21.251	86.571
22.297	86.447
23.993	85.188
25.58	83.68
27.203	81.799
28.07	80.793
29.08	79.41
29.332	78.908
29.187	71.746
28.504	67.347
28.179	62.574
27.78	58.553
27.348	54.154
26.987	49.382
26.556	44.229
26.192	41.213
25.651	36.564
24.931	31.915
24.029	27.643
23.235	22.994
22.55	18.219
21.9	14.324
21.106	10.68
19.844	5.6543
18.653	1.7591
17.895	-0.50258
16.777	-2.2617
14.937	-5.1517
13.097	-7.4135
11.509	-9.1722
10.283	-10.429
9.0198	-11.937
7.649	-13.821
6.6746	-16.083
5.7366	-18.345
4.5461	-20.858
3.4275	-24.376
2.1287	-29.025
1.0463	-31.664
-0.36078	-35.685
-2.0204	-40.71
-3.5357	-46.112
-4.5822	-49.382
-5.8087	-52.144
-8.2982	-57.673
-9.4529	-59.937
-10.535	-62.072
-11.87	-65.212
-14.179	-68.855
-15.731	-70.99
-16.885	-71.995
-17.895	-72.373
-19.194	-72.373
-20.782	-72.124
-21.648	-72.124
-21.72	-72.124
-21.467	-68.103
-21.287	-64.082
-20.998	-60.31
-20.421	-55.16
-20.06	-51.139
-19.483	-45.107
-18.906	-40.334
-18.004	-33.548
-17.462	-29.779
-16.633	-24.627
-16.091	-22.114
-15.081	-17.842
-14.179	-13.947
-12.736	-9.0468
-11.798	-6.5337
-10.824	-4.2721
-9.8135	-2.136
-9.128	-1.1309
-7.9736	0
-6.35	1.2565
-4.7625	2.513
-2.8504	4.0208
-1.4792	5.0258
-0.36078	5.7797
1.7679	7.4135
3.1389	9.1722
5.7727	13.696
7.3241	16.586
8.6952	20.481
10.03	24.502
11.401	28.271
12.736	31.789
13.927	35.559
15.081	39.454
16.308	42.972
17.39	46.112
18.401	49.128
19.663	52.144
20.926	54.532
22.297	56.289
23.849	57.17
25.219	57.424
26.952	57.046
28.214	56.543
28.9	56.04
29.116	55.662
29.187	55.538
29.261	52.647
28.865	45.734
28.179	38.323
27.419	32.795
26.518	28.774
25.4	24.125
24.751	21.486
24.137	18.722
23.019	13.947
22.441	11.56
21.467	7.9161
21.142	6.6595
14.756	-0.75389
12.195	-1.5078
10.788	-1.8848
9.2362	-1.7591
7.7572	-1.7591
6.3139	-1.8848
4.8346	-2.2617
3.3914	-2.7643
2.0565	-3.3925
0.39687	-4.2721
-1.2267	-5.403
-2.9586	-6.9109
-4.2212	-8.1674
-5.6284	-9.6748
-7.5044	-11.937
-8.7673	-13.696
-10.319	-15.832
-11.654	-17.716
-13.061	-19.978
-14.648	-22.617
-15.911	-24.879
-17.174	-27.14
-18.581	-29.779
-19.772	-31.789
-20.926	-33.799
-21.576	-34.931
-21.936	-35.559
-22.369	-36.438
-22.297	-36.061
-21.142	-31.287
-19.808	-25.004
-17.967	-17.591
-16.055	-11.937
-14.684	-8.7955
-13.097	-5.5284
-11.69	-4.5232
-10.968	-3.6438
-10.066	-2.6386
-9.1641	-2.136
-7.9014	-1.5078
-6.6746	-1.1309
-5.3398	-0.75389
-3.1389	0
-1.804	0.2513
-0.57727	0.50258
0.68552	0.75389
1.8761	1.1309
3.175	1.6334
4.6182	3.1412
6.3861	5.1517
8.0818	6.9109
9.4168	8.0415
10.896	9.6748
12.484	11.685
14.107	14.45
15.406	16.837
16.777	19.727
18.292	23.119
20.024	27.14
21.648	31.035
23.163	34.302
24.498	36.313
25.87	37.82
26.698	38.449
27.998	38.951
28.755	39.077
29.261	38.826
29.332	35.936
28.466	31.412
27.744	27.768
27.097	24.879
26.337	22.114
25.651	19.35
24.751	16.334
24.065	14.073
23.127	10.68
22.514	8.6696
21.864	7.0363
21.034	5.0258
20.06	3.1412
19.339	2.2617
18.401	1.1309
17.462	0
16.452	-0.75389
15.334	-1.5078
13.53	-2.0104
12.087	-2.0104
10.499	-2.513
8.587	-3.7695
7.0716	-4.3977
5.8448	-4.7745
3.8605	-5.5284
2.0204	-7.2876
0.90198	-8.6696
0.46904	-9.4235
