"Wight and Sozen, 1973, Spec. WS033AW"	
345	
0	0
0.22345	5.9216
0.40965	10.814
0.70759	17.508
1.0055	22.4
1.4897	28.708
2.0483	38.492
2.7559	46.989
3.2774	51.623
4.0221	58.318
4.6551	64.754
5.4745	70.416
6.2565	75.309
7.411	82.906
8.4165	87.67
9.4592	90.628
10.8	92.945
12.848	95.263
15.008	97.58
16.945	98.741
18.807	99.898
20.334	100.67
21.563	101.18
23.164	101.31
24.654	100.67
25.883	99.898
26.739	98.096
27.559	96.166
28.565	93.719
29.494	91.918
30.203	89.601
30.797	86.638
31.209	85.606
31.283	83.289
31.283	77.626
30.909	71.319
30.686	66.555
30.129	60.377
29.235	54.581
28.377	48.661
27.559	43.255
26.739	38.62
25.585	33.085
24.952	29.609
24.281	26.39
23.239	22.014
22.047	17.894
21.116	14.547
19.775	10.17
18.472	6.3082
17.243	2.0597
16.2	-1.1586
15.195	-4.377
13.928	-8.8827
13.183	-10.814
12.103	-13.259
11.061	-15.834
10.13	-18.538
8.8636	-22.4
7.858	-26.133
6.8524	-30.253
5.8842	-33.857
4.953	-36.818
4.2456	-39.65
3.2774	-43.384
2.4207	-46.473
1.4152	-49.951
0.29794	-53.425
-0.63309	-56.129
-1.7876	-60.248
-2.5324	-63.593
-3.3144	-66.684
-4.2083	-70.287
-5.0648	-73.379
-5.6236	-74.922
-6.2939	-76.599
-7.1877	-78.787
-7.7836	-80.202
-8.8262	-82.648
-8.8636	-82.777
-10.316	-84.837
-11.731	-86.896
-13.035	-88.827
-14.226	-90.37
-15.716	-91.531
-16.945	-92.047
-18.099	-92.171
-19.403	-92.429
-21.153	-92.945
-22.717	-93.203
-24.43	-93.461
-25.771	-93.977
-26.777	-94.364
-27.968	-94.235
-28.862	-94.489
-29.942	-95.263
-30.762	-95.263
-31.059	-95.263
-31.58	-95.263
-31.803	-95.263
-31.915	-91.789
-31.803	-88.311
-31.544	-83.418
-31.321	-79.815
-31.059	-75.18
-30.5	-69.518
-29.98	-65.141
-29.494	-61.022
-28.6	-56
-27.968	-52.78
-27.112	-48.274
-25.956	-42.997
-25.213	-39.135
-24.542	-35.273
-23.872	-31.668
-23.053	-28.064
-22.159	-24.073
-21.153	-20.211
-20.408	-17.765
-19.477	-14.676
-18.658	-11.844
-17.615	-8.4966
-16.423	-5.1494
-15.418	-2.1885
-14.301	0.51494
-12.737	3.862
-11.582	5.7931
-10.465	7.0803
-9.1986	8.8827
-7.9698	10.814
-6.5918	13.646
-5.0277	16.607
-3.5006	19.696
-1.8621	23.301
0.26068	28.45
1.1545	30.639
2.4207	33.857
3.5006	36.947
4.32	40.938
5.3627	45.187
6.3309	49.177
7.2621	53.038
8.4539	56.899
9.3104	59.861
10.502	64.238
11.321	66.555
12.401	69.002
13.667	72.093
14.524	73.895
15.902	75.696
17.205	77.24
18.397	77.884
19.403	78.529
20.11	78.529
21.079	78.658
21.302	78.658
21.861	78.787
21.525	76.083
21.451	73.766
21.302	70.803
21.153	67.458
20.967	63.335
20.669	58.834
20.11	52.264
19.552	47.376
19.068	43.77
18.546	40.423
17.95	35.917
17.392	32.699
16.647	28.064
16.275	25.747
15.641	22.4
15.045	19.439
14.263	15.705
13.667	13.131
12.923	9.6553
12.103	6.5652
11.47	3.9907
10.949	1.931
10.204	-0.12873
9.2359	-2.0597
8.1186	-3.6046
6.8524	-5.278
5.8842	-6.4367
4.9159	-7.5954
3.5753	-9.5263
2.309	-11.586
0.44689	-15.191
-0.78207	-18.409
-1.9738	-22.014
-3.1283	-26.648
-4.0594	-30.253
-4.9903	-34.372
-5.8097	-38.105
-6.8151	-42.353
-7.6345	-46.215
-8.5656	-49.822
-9.6456	-54.452
-10.465	-57.544
-11.21	-60.893
-12.327	-65.399
-13.444	-70.029
-14.226	-72.347
-15.008	-74.153
-16.125	-75.567
-17.764	-77.884
-18.621	-78.529
-19.961	-79.944
