"Wight and Sozen, 1973, Spec. WS033W"	
956	
0	0
0.22478	2.3618
0.22478	4.0346
0.33716	8.4628
0.50574	12.202
0.61813	15.056
0.89911	18.402
1.1239	23.716
1.6296	28.439
2.304	33.261
3.1468	38.083
4.2708	45.463
4.889	49.693
5.4508	53.238
5.8443	55.894
6.4061	59.043
6.968	62.29
7.4737	65.439
8.1481	68.984
8.935	72.525
9.5529	75.282
10.396	78.921
10.958	80.691
10.789	75.478
10.115	68.295
9.8339	65.635
9.4968	62.686
9.2159	59.238
8.8224	55.796
8.3729	52.157
7.811	48.021
7.3053	43.594
6.7996	39.559
6.35	35.426
5.9004	31.588
5.3947	28.046
4.9451	23.913
4.5517	20.764
4.2146	17.91
3.8212	14.662
3.4277	11.415
2.922	7.6755
2.4725	4.0346
1.7982	-0.98408
1.2925	-3.641
0.67432	-7.9708
0.33716	-10.726
-0.11239	-13.974
-0.56195	-16.631
-1.1801	-20.272
-1.8544	-25.586
-2.2478	-28.243
-2.8097	-31.49
-3.4277	-34.836
-4.1021	-38.575
-4.6078	-41.429
-5.0013	-44.578
-5.4508	-47.629
-5.9566	-50.285
-6.5748	-53.732
-7.1366	-56.681
-7.5301	-58.945
-7.8671	-60.915
-8.3729	-64.162
-8.8224	-67.209
-9.3845	-69.771
-10.115	-72.622
-10.621	-73.806
-10.115	-68.984
-9.5529	-63.277
-8.935	-59.439
-8.1481	-54.715
-7.7549	-51.37
-7.3053	-48.416
-6.5748	-42.708
-5.226	-33.36
-4.7765	-29.325
-4.383	-25.782
-3.9337	-19.189
-3.5964	-15.45
-3.1468	-11.317
-2.8097	-7.3806
-2.2478	-2.8538
-1.9106	0.68886
-1.4611	4.9204
-1.0115	9.4471
-0.39337	14.564
0.22478	20.173
0.84292	25.389
1.6858	30.998
2.023	32.966
2.6411	37.198
3.2593	41.724
3.9337	46.446
4.6078	50.583
5.2822	54.123
5.8443	58.158
6.7432	63.175
7.6424	67.801
8.4854	71.346
9.5529	76.559
10.283	79.61
10.846	80.989
10.677	77.346
10.396	72.329
9.7777	65.835
9.3281	61.307
7.7549	49.204
7.2492	44.381
6.7432	39.067
5.9004	33.655
5.2822	29.03
4.7765	25.29
4.3269	21.157
3.765	16.237
3.1468	11.907
2.4164	7.3806
1.5734	2.3618
0.89911	-1.7713
0.056195	-6.5933
-0.50574	-10.825
-0.95529	-15.351
-1.0677	-18.107
-1.1239	-23.027
-1.2925	-25.586
-1.4611	-28.046
-1.6296	-30.604
-1.9106	-33.655
-2.304	-37.198
-2.6411	-39.855
-3.0345	-43.102
-3.3155	-45.761
-3.8212	-49.106
-4.383	-52.744
-4.889	-56.089
-5.3383	-59.238
-6.0691	-62.784
-6.7432	-66.226
-7.2492	-69.473
-7.8671	-72.329
-8.7663	-75.772
-9.4968	-78.823
-10.283	-81.776
-11.07	-84.334
-11.744	-86.3
-11.969	-87.19
-11.632	-84.334
-11.407	-81.381
-11.126	-78.627
-10.677	-75.18
-10.171	-71.444
-9.7216	-68.295
-9.1597	-63.175
-8.6538	-58.945
-8.3167	-55.502
-7.9797	-52.055
-7.5862	-47.727
-7.0244	-43.889
-6.5184	-39.855
-6.0691	-35.426
-5.6756	-32.08
-5.1138	-27.652
-4.6078	-23.126
-4.1021	-17.91
-3.5964	-12.891
-3.0345	-8.2662
-2.585	-4.133
-2.1354	-0.49204
-1.742	3.0506
-1.3487	7.6755
-0.73053	11.907
0.16858	18.107
0.73053	21.945
1.7982	28.833
2.6411	33.36
3.3155	38.182
4.1585	43.397
5.1138	48.906
5.7879	53.14
6.4623	57.962
7.9797	66.72
8.6538	70.852
9.4968	74.691
10.171	77.644
11.126	81.679
11.913	85.615
13.093	92.011
13.599	94.075
14.273	96.241
14.835	98.012
15.453	99.884
16.072	101.16
16.971	102.24
17.926	102.74
20.118	104.02
21.129	104.41
22.253	104.71
22.815	104.9
23.264	104.9
23.433	103.52
23.489	100.47
23.433	97.42
23.321	95.058
23.152	92.896
22.927	89.943
22.759	87.581
22.478	85.024
21.972	81.478
21.354	76.559
20.96	73.214
20.623	69.869
20.286	66.524
19.837	62.881
19.331	59.439
18.713	55.6
17.589	49.991
16.633	44.774
16.015	41.33
15.285	37.099
14.667	33.163
14.105	29.817
13.543	26.865
12.756	23.618
12.138	20.665
11.464	17.516
10.902	14.761
10.115	11.317
9.3845	7.7742
8.5976	4.4283
7.6424	0.88564
7.0805	-1.7713
6.4623	-4.8221
5.8443	-7.1835
4.8326	-10.825
4.046	-13.875
2.9784	-17.713
1.3487	-22.732
0.11239	-27.062
-0.56195	-30.801
-1.1801	-33.261
-1.742	-36.017
-2.585	-39.953
-3.3155	-44.086
-3.7089	-46.544
-4.2708	-49.106
-4.889	-52.353
-5.5631	-55.6
-6.2939	-58.651
-7.3053	-62.686
-8.0919	-66.031
-8.8224	-69.18
-10.396	-75.772
-11.07	-78.627
-11.857	-81.478
-12.756	-85.024
-13.824	-89.254
-14.611	-91.811
-16.184	-93.684
-17.701	-95.552
-19.162	-96.931
-20.736	-98.012
-22.365	-99.097
-23.658	-99.884
-24.164	-100.18
-23.377	-96.437
-22.927	-91.322
-22.534	-86.598
-21.916	-81.478
-20.96	-74.984
-20.005	-69.473
-19.275	-64.554
-18.488	-58.158
-17.757	-52.647
-16.971	-47.531
