"Wight and Sozen, 1973, Spec. WS092E"	
431	
0	0
0.48445	9.1362
0.6921	13.223
1.1073	18.152
1.7302	29.092
2.3531	34.622
3.1143	41.714
3.668	50.129
5.0523	59.505
6.0904	68.161
6.7826	73.45
7.6822	79.464
9.2047	86.313
9.62	90.761
10.866	94.969
11.766	97.976
12.942	102.18
14.119	104.71
15.572	106.03
18.202	107.23
20.97	108.79
22.908	108.91
26.645	110.35
28.999	110.84
32.736	111.8
34.95	111.92
39.449	113.6
43.185	114.44
46.507	114.8
48.445	114.92
50.523	115.53
51.559	115.77
52.113	115.89
51.699	111.08
51.699	106.87
51.631	102.54
50.8	96.891
50.246	92.563
49.484	87.995
48.793	82.946
48.308	79.584
47.615	75.256
46.716	70.087
45.54	64.554
44.501	59.746
43.462	54.577
42.494	50.249
41.455	46.281
40.348	41.835
39.24	37.267
38.273	32.819
37.302	28.251
37.097	27.409
36.195	24.283
35.09	20.797
33.912	17.551
32.598	14.426
31.074	10.939
29.553	7.6937
27.892	4.0873
26.162	0
24.846	-3.0054
23.739	-5.7704
22.424	-8.7755
20.832	-12.262
18.548	-16.59
17.094	-19.355
15.295	-22.841
13.496	-26.207
11.558	-30.294
9.6893	-34.381
8.4435	-36.906
6.9901	-40.632
5.4676	-44.96
3.8064	-49.168
2.0763	-53.616
-0.06921	-58.785
-1.661	-63.713
-2.6993	-67.441
-4.0142	-71.889
-5.8826	-78.138
-7.4054	-83.307
-8.7894	-88.36
-11.212	-94.849
-12.527	-98.216
-14.465	-102.9
-16.264	-106.39
-17.856	-108.19
-20.071	-109.51
-24.015	-112.28
-28.169	-113.84
-32.875	-115.89
-36.543	-117.09
-39.588	-118.05
-41.872	-118.41
-44.364	-119.01
-46.37	-119.25
-49.693	-120.7
-51.699	-121.18
-51.422	-118.77
-51.422	-114.2
-51.422	-108.91
-51.145	-105.31
-50.8	-102.18
-50.452	-98.456
-50.107	-95.69
-49.553	-91.242
-48.654	-86.794
-47.686	-82.226
-46.993	-78.979
-46.025	-73.69
-45.263	-68.762
-44.569	-64.314
-43.947	-60.706
-42.979	-55.177
-41.872	-50.85
-40.002	-42.436
-38.895	-38.348
-37.856	-34.261
-36.749	-29.693
-35.436	-24.764
-33.843	-18.994
-32.875	-15.748
-31.143	-9.8577
-29.83	-5.8905
-27.892	-0.48087
-26.299	3.1256
-24.223	6.8521
-22.355	9.8577
-20.347	13.825
-18.686	15.988
-15.779	20.076
-13.496	23.803
-12.527	25.125
-10.658	27.529
-8.0282	31.857
-6.8516	34.141
-4.4986	38.228
-2.0763	42.676
-0.41526	46.041
0.55367	48.207
2.2147	51.57
4.5677	56.018
6.2288	59.625
7.7513	62.632
9.5509	66.36
11.281	69.963
12.596	73.09
14.465	76.096
16.956	79.464
19.448	83.671
22.631	88.239
25.745	92.687
29.482	97.496
33.983	101.46
36.195	103.26
39.24	105.67
41.25	107.23
45.263	110.23
47.892	111.92
50.937	113.84
51.836	113.84
51.836	108.55
51.077	100.74
50.315	94.249
49.276	86.794
47.963	76.817
47.269	74.411
46.231	67.2
44.641	60.466
43.117	54.457
41.732	47.847
40.348	41.474
38.895	35.944
37.579	30.655
35.85	24.404
34.742	20.316
32.944	14.546
32.39	13.344
31.628	11.661
30.452	8.7755
28.514	4.8087
26.439	0.84152
25.4	-1.3223
23.877	-4.3277
22.078	-7.5736
20.693	-9.9778
18.686	-12.623
16.333	-15.988
14.88	-17.671
13.911	-19.355
12.388	-21.759
9.8969	-26.447
8.1666	-30.535
6.7132	-33.9
4.8445	-37.026
2.8374	-40.993
-0.20763	-48.207
-2.5608	-54.217
-4.0142	-57.704
-5.606	-61.191
-7.8207	-65.639
-10.104	-69.242
-12.804	-73.33
-16.333	-79.343
-19.378	-83.186
-22.147	-87.274
-25.4	-91.482
-28.1	-94.369
-31.351	-97.976
-33.706	-100.62
-35.641	-103.14
-36.957	-104.59
-40.279	-107.83
-43.117	-109.87
-45.471	-112.16
-48.722	-114.68
-50.452	-115.65
-51.422	-116.49
-51.283	-114.08
-50.8	-110.47
-51.077	-104.35
-50.523	-100.14
-49.898	-95.81
-48.999	-90.041
-48.377	-85.353
-47.892	-82.346
-47.201	-79.223
-46.439	-75.856
-45.471	-69.722
-44.917	-65.879
-43.878	-60.586
-42.84	-55.778
-42.149	-52.896
-41.318	-48.808
-40.142	-42.676
-38.895	-37.387
-36.749	-29.092
-35.296	-23.923
-34.051	-19.234
-32.527	-14.065
-30.937	-8.896
-29.621	-5.4097
-26.921	0.84152
-24.708	5.5298
-22.977	8.4152
-20.763	12.022
-18.617	15.387
-16.403	18.754
-14.465	21.519
-12.458	24.524
-9.9659	28.491
-7.8897	32.217
-6.0211	35.463
-5.3983	36.545
-3.4605	40.392
-1.1073	45.321
