"Wight and Soze, 1973, Spec. WS147E"	
693	
0	0
0.6	8.1083
1.4	18.302
2.1333	23.283
3.0665	34.982
4.3332	45.752
4.9334	52.126
6	59.536
7.1999	65.448
8.1333	70.888
9.1999	76.799
10.333	82.012
11.333	87.336
12.333	91.624
13.6	96.49
14.933	100.77
17.6	104.83
19.6	106.57
23.133	108.54
27	110.62
30.066	112.59
33.668	114.44
37.932	115.95
41.199	116.88
45.199	118.15
48.001	119.08
50.333	119.66
51.333	119.77
51.666	116.41
51.199	110.39
50.8	105.99
50.267	98.808
49.2	90.584
48.199	81.892
46.599	75.87
45.466	70.541
44.468	64.75
43.134	58.958
41.867	53.051
40.066	45.752
38.6	38.92
36.934	31.97
35.466	26.642
34.066	20.387
32.799	16.101
32.466	14.943
31.666	12.51
30.8	9.3826
29.868	6.2552
28.4	2.3167
26.266	-3.0117
25.466	-4.8652
24.067	-7.8765
22.933	-10.657
21.667	-13.553
20.2	-17.027
18.133	-20.966
16.6	-23.862
15.067	-26.989
12.733	-31.159
10.867	-34.518
9	-38.109
7.1999	-41.932
5.5334	-44.943
4.2667	-48.416
3.1999	-51.432
1.1333	-56.641
-0.53332	-60.929
-1.8667	-65.795
-2.8666	-69.731
-4.8001	-76.915
-6.5334	-81.661
-8.0668	-85.833
-9.2667	-89.538
-10.533	-92.896
-12.067	-97.184
-13.533	-100.66
-15	-102.63
-16.667	-104.25
-19	-105.87
-21.667	-107.15
-25.133	-108.88
-27.8	-110.16
-31.466	-111.2
-34.933	-111.78
-39.934	-113.75
-43.134	-114.56
-45.535	-114.79
-47.866	-115.49
-50.066	-115.83
-50.333	-112.01
-50.401	-106.91
-50.066	-100.43
-49.266	-90.468
-48.867	-85.833
-48.4	-82.59
-48.133	-80.157
-47.734	-76.684
-46.599	-70.888
-45.867	-66.72
-45.334	-63.13
-44.6	-58.958
-43.599	-54.675
-42.733	-49.809
-41.267	-44.943
-40.201	-41.237
-39.4	-37.762
-38.067	-33.36
-36.934	-28.843
-35.933	-25.367
-35.001	-21.545
-34.133	-17.723
-33.066	-13.437
-31.801	-9.73
-30.401	-6.1391
-29.266	-3.3592
-27.666	0.46335
-26.401	2.78
-25.133	5.2126
-23.333	7.5291
-22.267	8.6874
-20.733	10.773
-19.067	12.973
-16.8	15.985
-14.6	18.881
-12.333	21.893
-10.467	24.441
-8.4666	27.105
-6.4	29.885
-4.4666	33.36
-2.5333	37.067
-0.86667	39.963
0.8	42.974
2.3333	45.872
4.1999	49.23
6	52.589
8.2667	56.294
9.7333	58.611
13.8	67.414
17.267	72.974
20.133	77.377
22.267	81.314
24.133	84.556
25.867	87.688
27.932	90.93
29.334	93.595
30.734	95.792
32.4	97.878
34.133	99.733
36.065	101.82
38.001	104.02
40	106.22
42.067	108.77
43.734	110.39
45.268	111.89
48.067	114.56
49.799	116.64
50.668	118.38
50.401	109.58
49.667	100.31
49.068	90.699
48.133	84.556
47.201	78.996
45.199	68.575
44.201	63.362
43.467	59.652
42.532	55.484
41.666	51.779
40.8	47.954
39.601	42.395
38.534	38.109
37.333	32.549
35.999	27.337
34.801	22.819
33.401	17.607
30.932	9.1509
29.868	6.2552
28.732	2.8958
27.8	0
26.065	-4.17
25	-6.2552
23.533	-8.1083
21.467	-10.077
19.2	-11.815
17.533	-14.132
13.067	-19.923
9.5999	-26.526
7.6667	-30.117
6.3332	-32.317
5	-34.055
3.1333	-37.298
0.66667	-41.584
-3.1999	-49.924
-4.8666	-54.208
-7	-59.421
-11.067	-66.72
-12.467	-68.922
-13.867	-71.355
-15.2	-73.672
-17.333	-76.799
-19.2	-79.579
-21.533	-82.706
-25.667	-88.15
-27.132	-89.77
-29.134	-91.74
-31.666	-94.52
-33.533	-96.375
-35.4	-98.341
-38.534	-101.47
-40.866	-103.67
-42.733	-104.95
-44.734	-106.68
-47	-108.3
-48.4	-109.35
-50.333	-111.43
-50.066	-103.09
-49.601	-93.826
-48.999	-86.874
-48.466	-81.314
-47.932	-78.071
-47	-71.702
-46.266	-67.53
-45.4	-63.246
-44.6	-59.421
-43.668	-55.137
-42.466	-50.04
-41.534	-45.988
-40.8	-42.974
-40	-39.847
-39.134	-35.677
-38.199	-32.317
-37.333	-29.074
-36.401	-25.367
-35.133	-21.197
-34.333	-19.228
-33.668	-16.796
-32.799	-14.016
-31.999	-11.236
-31.199	-8.4556
-30.267	-5.3283
-29.334	-2.8958
-28.268	-0.3475
-27.066	1.8533
-25.933	3.8225
-24.6	5.3283
-22.533	6.8344
-20.867	8.2244
-19.333	9.9617
-17.867	11.815
-16.467	13.9
-14.733	16.68
-12.2	20.387
-9.5334	24.209
-7.5999	26.757
-5.4666	30.117
-3.2667	33.36
-1.0667	36.719
0.8	40.078
2.5999	43.322
3.8666	45.521
5.5999	48.301
6.8666	50.271
8.6667	53.63
10.2	56.41
12.2	59.888
14.867	64.403
16.533	66.604
18.067	68.806
21.6	74.482
24.133	79.348
25.933	82.822
27.932	85.949
30.467	90.468
32.2	93.71
34.066	96.837
35.4	99.039
37.734	101.47
38.933	102.98
40.201	104.48
43.134	107.38
44.867	109.23
46.401	111.2
48.268	113.29
49.667	114.67
50.267	115.14
51.6	116.07
51.001	109.46
50.866	103.55
50.135	96.606
49.134	90.93
47.734	83.631
46.134	74.366
45.133	68.575
44.267	63.94
