"Xiao 98,Specimen nr HC4-8L16-T10-0.1P"	
863	
0	0
-0.003175	-0.26688
-0.028575	-4.47024
0.167894	10.54176
0.120396	-4.98176
0.1520825	-6.58304
0.446786	29.20112
0.731901	58.66912
0.497459	20.26064
0.174244	-15.52352
-0.199644	-48.39424
-0.047498	-17.10256
0.224917	12.36544
0.5988685	50.52928
0.9727565	81.82096
1.1787505	94.9648
1.0329545	63.91776
0.7192645	34.472
0.440436	7.62832
0.126746	-22.37344
-0.199644	-50.52928
-0.519684	-75.52704
-0.779526	-92.0736
-0.519684	-52.35296
-0.114173	-15.25664
0.1964055	14.72288
0.63373	54.19888
1.140714	94.72016
1.5716885	120.49632
2.0121245	141.26848
1.8885535	114.44704
1.5526385	86.55808
1.216787	59.46976
0.8460105	30.78016
0.554482	7.1168
0.231267	-19.74912
-0.126746	-46.83744
-0.459486	-71.56832
-0.877697	-98.92352
-1.375283	-123.12064
-1.676273	-134.68544
-1.540002	-111.02208
-1.207262	-84.97904
-0.785876	-57.6016
-0.405638	-30.78016
-0.104648	-5.7824
0.1616075	16.59104
0.4721225	39.45376
0.817499	63.91776
1.1882755	87.6256
1.5621635	112.0896
1.977263	136.5536
2.54127	162.32976
2.975356	177.60864
2.8359735	153.63392
2.439924	126.01184
1.951863	96.03232
1.454404	63.91776
0.9759315	31.84768
0.5956935	4.47024
0.1584325	-27.3552
-0.31369	-58.936
-0.820674	-87.35872
-1.314958	-115.24768
-1.856867	-143.91504
-2.579243	-168.40128
-2.870835	-177.60864
-2.617343	-145.49408
-1.989963	-110.22144
-1.397381	-77.6176
-0.833374	-45.76992
-0.348488	-12.8992
0.0285115	13.43296
0.557657	47.3712
1.0551795	77.35072
1.660398	109.1984
2.24028	139.71168
2.84226	168.89056
3.472815	196.02336
4.2270045	219.15296
4.4550965	224.42384
4.2618025	201.00512
3.9449375	172.5824
3.415792	143.6704
2.8771215	114.71392
2.2054185	79.44128
1.6730345	48.39424
1.083691	12.63232
0.579882	-20.50528
0.063373	-50.79616
-0.598932	-83.66688
-1.264285	-114.71392
-1.891665	-144.42656
-2.509647	-172.84928
-3.232023	-198.91456
-4.100322	-222.8448
-4.185793	-224.66848
-3.894328	-195.75648
-3.387344	-169.95808
-2.851785	-144.42656
-2.287778	-119.18416
-1.777619	-94.72016
-1.242187	-69.98928
-0.747776	-44.99152
-0.275717	-20.52752
0.0887095	3.42496
0.5291455	30.51328
1.0045065	56.31168
1.5685135	84.97904
2.148332	111.55584
2.788412	139.71168
3.4126805	166.53312
4.093845	196.29024
4.619879	218.10768
4.4646215	191.53088
3.929126	163.10816
3.406267	137.35424
2.794762	106.79648
2.132457	72.63584
1.514602	38.67536
0.9791065	9.20736
0.497459	-21.83968
-0.022225	-49.72864
-0.64008	-78.41824
-1.359408	-108.39776
-2.050161	-137.35424
-2.728214	-165.2432
-3.466592	-193.3768
-4.15417	-218.88608
-4.553458	-224.1792
-4.245991	-196.29024
-3.691509	-168.64592
-3.092577	-141.80224
-2.433574	-113.37952
-1.096391	-57.35696
-0.465836	-29.71264
0.0189865	-2.62432
0.513334	25.26464
1.0266045	53.1536
1.558925	78.92976
2.141982	104.43904
2.791587	131.79424
3.409442	157.59264
3.982974	183.39104
4.515358	205.4976
4.3442255	182.05664
3.681984	148.1184
2.965831	112.868
2.3004145	79.44128
1.6160115	46.0368
1.0393045	13.16608
0.5291455	-16.85792
-0.01905	-46.0368
-0.697103	-75.79392
-1.479804	-106.79648
-2.24663	-136.82048
-2.972181	-166.53312
-3.761232	-196.29024
-4.509008	-223.11168
-4.635754	-224.66848
-4.379087	-197.58016
-3.82778	-172.04864
-3.260598	-145.76096
-2.668016	-119.96256
-1.942465	-89.98304
-1.204087	-62.09408
-0.551434	-33.67136
-0.031623	-5.7824
0.551307	24.464
1.1755755	57.09008
1.8599785	86.82496
2.50952	114.44704
3.165475	141.80224
3.8974395	173.11616
4.521708	200.20448
4.578731	203.36256
4.239641	171.804
3.561588	138.37728
2.921508	106.79648
2.354326	74.7264
1.7934305	42.87872
1.207262	11.83168
0.741426	-16.32416
0.2059305	-43.94624
-0.247269	-71.03456
-1.007618	-99.45728
-1.726946	-126.81248
-2.471547	-152.61088
-3.203575	-181.0336
-3.919601	-206.00912
-4.537456	-224.93536
-4.157345	-196.77952
-3.533013	-167.60064
-2.921508	-139.71168
-2.195957	-109.70992
-1.454404	-80.24192
-0.751078	-52.61984
-0.120396	-23.6856
0.383413	1.57904
0.985393	29.468
1.704721	62.36096
2.5064085	94.45328
3.301746	126.01184
4.068572	157.85952
4.7244635	187.06064
5.291582	210.47936
6.232779	245.21824
6.98373	257.85056
6.524244	227.33728
5.966587	197.58016
5.3454935	167.60064
4.711827	138.1104
3.894328	106.3072
2.984881	69.96704
2.281428	38.92
1.5399385	7.62832
0.8587105	-23.66336
0.117221	-56.0448
-0.624205	-84.20064
-1.508379	-116.80448
-2.332228	-147.85152
-3.099054	-175.20672
-3.894328	-203.09568
-4.8006	-227.82656
-6.384798	-244.4176
-6.65099	-241.5264
-6.144006	-213.90432
-5.450078	-183.39104
-4.772025	-154.70144
-4.087622	-127.07936
-3.301746	-97.856
-2.338451	-71.56832
-1.30556	-35.00576
-0.310515	0
0.773176	32.62608
1.7491075	67.07584
2.797937	103.68288
3.713607	136.5536
4.613529	169.15744
5.469128	200.20448
6.508369	235.21024
6.863334	244.15072
6.34365	212.56992
5.665597	180.49984
5.022342	152.344
4.2776775	122.0976
3.545713	94.20864
2.797937	66.80896
2.084959	35.76192
1.4765655	9.47424
0.8777605	-17.3472
0.269367	-43.41248
-0.427736	-69.96704
-1.188212	-96.03232
-1.942465	-121.29696
-2.804287	-147.85152
-3.663061	-175.4736
-4.692777	-204.1632
-5.827141	-230.98464
-6.774561	-243.61696
-6.229604	-211.28
-5.478653	-179.43232
-4.746752	-148.1184
-3.998849	-120.7632
-2.87401	-86.82496
-1.90119	-53.42048
-0.893572	-21.83968
0.1711325	11.05328
1.397381	52.08608
2.411349	88.64864
3.282696	119.18416
4.10972	148.65216
4.920869	178.12016
5.700395	206.25376
6.4355345	231.78528
6.708013	240.192
6.444996	217.32928
5.877814	190.99712
5.199761	160.48384
4.44246	128.14688
3.6439475	98.92352
2.8200985	68.41024
2.0691475	36.29568
1.4163675	8.13984
0.750951	-22.10656
0.088773	-48.928
-0.668655	-76.2832
-1.505204	-103.68288
-2.325878	-129.97056
-3.247898	-158.39328
-4.198493	-185.74848
-5.149088	-210.74624
-6.432423	-236.81152
-6.777736	-241.5264
-6.235954	-212.30304
-5.583174	-183.39104
-4.752975	-150.2312
-3.945001	-120.22944
-3.146552	-92.34048
-2.164207	-64.7184
-1.137539	-27.88896
0.0031115	6.84992
0.9822815	36.82944
2.0786725	74.45952
2.9911675	104.9728
4.0178355	141.80224
4.822698	172.31552
5.8049795	207.85504
6.774561	238.6352
7.93115	259.40736
9.319006	270.72752
9.1669235	249.39936
8.704326	224.93536
7.997698	193.13216
7.29107	162.84128
6.4228345	131.79424
5.4120415	100.5248
4.5818425	71.03456
3.5932745	42.34496
2.5000585	15.25664
1.4924405	-11.83168
0.6590665	-39.45376
-0.266192	-68.944
-1.166114	-97.36672
-2.059686	-124.45504
-3.048254	-153.38928
-4.005199	-181.27824
-5.190236	-209.67872
-6.587617	-235.744
-7.848727	-247.84256
-9.471152	-254.4256
-9.20496	-228.89408
-8.666226	-205.4976
-8.010398	-177.87552
-7.151624	-144.69344
-6.251829	-113.37952
-5.304409	-88.13712
-4.293489	-57.33472
-3.251073	-31.31392
-1.815719	-4.98176
-0.285242	20.26064
1.2325985	51.57456
2.487422	83.4
3.7041455	119.4288
4.626229	148.38528
5.6212105	178.3648
6.780911	208.65568
8.114919	237.3008
9.363329	254.15872
8.919718	223.11168
8.197342	192.33152
7.474839	163.37504
6.66369	132.59488
5.823966	107.33024
4.9747805	80.77568
4.0241855	52.61984
2.8423235	21.03904
1.479804	-10.7864
0.4277995	-39.72064
-0.538734	-67.87648
-1.676273	-98.38976
-2.779014	-129.97056
-3.85318	-157.85952
-5.256784	-187.30528
-6.790436	-214.70496
-8.574405	-239.92512
-9.436227	-248.37632
-8.90397	-219.68672
-8.159242	-188.3728
-7.411466	-158.66016
-6.603492	-131.79424
-5.665597	-102.34848
-4.620006	-72.63584
-3.628136	-44.48
-2.487422	-16.83568
-1.096391	8.6736
0.7160895	38.67536
2.271903	73.92576
3.491865	107.59712
4.657979	143.6704
5.782818	178.63168
7.177024	212.56992
8.501507	241.5264
9.382379	252.06816
9.4869	251.5344
8.960993	221.02112
8.282813	191.264
7.474839	157.85952
6.6763265	129.16992
5.71627	101.54784
4.76885	73.65888
3.7929185	45.76992
2.6268045	15.7904
1.330833	-13.16608
-0.03175	-51.06304
-1.191387	-83.93376
-2.373376	-116.02608
-3.504565	-145.76096
-4.800473	-176.00736
-6.378575	-204.43008
-8.200517	-231.25152
-9.360154	-242.59392
-8.815197	-215.19424
-8.25754	-191.79776
-7.395591	-157.32576
-6.289802	-121.03008
-5.123815	-87.6256
-3.84048	-53.68736
-2.487422	-19.74912
-0.760476	11.29792
1.121664	44.48
2.379599	77.6176
3.647059	114.71392
4.7814865	145.2272
5.770118	174.71744
6.894957	202.6064
8.146542	230.74
9.8545015	259.40736
10.833608	266.25728
12.050395	271.7728
13.428726	275.46464
13.004038	249.66624
12.5225175	226.53664
11.9014875	199.9376
10.9318425	162.32976
9.7720785	127.34624
8.631428	97.09984
7.478014	69.21088
