"Xiao 1998,Specimen Nr.HC4-8L16-T10-0.2P"	
837	
0	0
0	0
-0.003175	-0.26688
0.076073	-4.2256
0.0918845	-4.47024
0.123571	-4.98176
0.4498975	33.67136
0.830199	71.30144
1.067816	89.1824
0.8809355	64.18464
0.551307	29.44576
0.266192	-3.15808
-0.107823	-44.21312
-0.424561	-75.79392
-0.64008	-95.49856
-0.462661	-69.96704
-0.231394	-43.67936
-0.009525	-19.21536
0.2281555	10.008
0.779526	64.45152
1.3561695	111.28896
1.688846	132.59488
1.2959715	92.60736
0.814324	50.52928
0.386588	8.13984
-0.034925	-36.56256
-0.402463	-74.45952
-0.779526	-108.93152
-1.143889	-136.5536
-1.181862	-139.17792
-0.754126	-97.61136
-0.399288	-62.62784
-0.120396	-32.11456
0.1457325	0.53376
0.440436	29.97952
0.776351	61.02656
1.159764	93.408
1.628648	128.41376
2.141982	160.75072
2.531745	179.16544
2.3162895	155.2352
1.90754	122.85376
1.4481175	88.38176
0.9981565	53.932
0.611505	20.26064
0.323215	-7.1168
-0.114046	-48.928
-0.506984	-85.75744
-0.896747	-119.96256
-1.349883	-153.38928
-1.717421	-175.74048
-1.726946	-175.20672
-1.378331	-143.40352
-1.017143	-114.9808
-0.64008	-83.13312
-0.32639	-52.35296
-0.0508	-22.10656
0.2186305	5.7824
0.557657	37.3632
0.8650605	64.45152
1.384681	101.81472
1.974088	141.26848
2.6109295	181.0336
3.238373	209.1672
3.9798625	238.90208
4.1572815	244.95136
4.4107735	249.15472
3.998849	218.35232
3.336544	177.87552
2.655316	136.5536
1.942338	92.34048
1.1787505	41.32192
0.513334	-8.94048
-0.158496	-66.80896
-0.849249	-120.22944
-1.476629	-163.64192
-2.012188	-195.4896
-2.674366	-223.91232
-3.438017	-250.46688
-3.542665	-253.0912
-3.171825	-223.91232
-2.655316	-194.42208
-2.123059	-165.48784
-1.644523	-136.82048
-1.181862	-107.59712
-0.804926	-77.88448
-0.443611	-47.90496
-0.114046	-18.6816
0.2154555	9.20736
0.589407	38.67536
0.9918065	67.87648
1.4195425	94.69792
2.0437475	129.97056
2.6299795	161.0176
3.1939865	189.17344
3.846703	220.75424
4.4646215	249.15472
5.313807	276.53216
6.039485	290.18752
5.522976	253.0912
5.0381535	225.736
4.559681	199.69296
3.951351	167.60064
3.377819	137.59888
2.810637	108.93152
2.135632	73.65888
1.387856	33.40448
0.8523605	0
0.3517265	-35.76192
-0.218694	-76.03856
-0.760476	-112.0896
-1.324483	-144.42656
-2.018411	-180.23296
-2.680716	-212.8368
-3.352419	-243.35008
-4.12877	-272.30656
-4.971669	-293.07872
-4.591431	-263.89984
-4.002024	-235.21024
-3.403219	-206.25376
-2.734564	-174.96208
-2.075561	-143.40352
-1.444879	-109.70992
-0.95377	-76.2832
-0.462661	-41.32192
0	-6.04928
0.392938	22.64032
0.9791065	61.02656
1.5335885	92.87424
2.2275165	128.41376
2.981706	163.10816
3.7073205	194.68896
4.540631	230.22848
5.361305	263.36608
6.289802	290.98816
6.359525	289.16448
6.020435	264.92288
5.443728	232.8528
4.857496	201.53888
4.230116	171.0256
3.539363	136.82048
2.7599005	99.72416
1.90754	58.40224
1.140714	17.10256
0.6020435	-16.32416
0.0189865	-54.17664
-0.544957	-89.44928
-1.074166	-120.22944
-1.758569	-154.43456
-2.424049	-184.1472
-3.219323	-217.59616
-3.973576	-248.6432
-4.654804	-276.53216
-5.500878	-301.77456
-5.757418	-304.93264
-5.269484	-275.9984
-4.743577	-251.00064
-4.188968	-226.80352
-3.48234	-196.268
-2.585593	-158.1264
-1.815719	-123.92128
-1.194562	-89.44928
-0.62738	-52.61984
-0.120396	-15.52352
0.367538	17.88096
0.8998585	53.1536
1.5621635	88.91552
2.271903	122.85376
3.159125	163.10816
4.002024	198.64768
4.825873	231.78528
5.627497	262.29856
5.576824	238.6352
5.329682	226.53664
4.337939	175.4736
3.336544	127.88
2.3701375	82.59936
1.4449425	36.56256
0.716153	-6.31616
0.120396	-43.67936
-0.491109	-82.0656
-1.093216	-115.78144
-1.904365	-154.16768
-2.728214	-187.57216
-3.51409	-219.41984
-4.233291	-246.77504
-5.130038	-284.40512
-5.67817	-302.04144
-5.053965	-266.79104
-4.322064	-233.38656
-3.596386	-202.07264
-2.86766	-171.29248
-2.008886	-134.4408
-1.425956	-103.92752
-0.93472	-72.36896
-0.424688	-36.0288
0.1711325	5.7824
0.877697	52.61984
1.5589885	89.44928
2.2529165	123.6544
3.15595	163.64192
3.7611685	187.30528
4.7276385	224.1792
5.5292625	254.4256
6.3246	280.71328
6.422898	283.1152
5.7732295	243.35008
5.152263	211.28
4.591431	183.39104
3.81508	145.76096
3.0735905	110.7552
2.2940645	75.79392
1.302258	26.04304
0.6654165	-11.5648
0.0918845	-47.3712
-0.488061	-82.59936
-1.121791	-116.5376
-1.93929	-154.43456
-2.702941	-185.4816
-3.339719	-210.47936
-3.935476	-235.47712
-4.949444	-274.39712
-6.033135	-309.40288
-6.178931	-310.98192
-5.294884	-266.25728
-4.280916	-222.57792
-2.832862	-163.37504
-2.237105	-139.17792
-1.473454	-102.0816
-0.770001	-57.33472
-0.304165	-25.7984
0.231267	11.03104
0.868172	52.08608
1.5335885	87.6256
2.230755	121.29696
3.114802	161.0176
3.7041455	183.65792
4.366387	209.1672
5.1585495	238.36832
6.1345445	273.8856
7.3132315	302.55296
8.4856955	314.40688
8.5933915	299.92864
8.2036285	274.13024
7.8329155	251.00064
6.9298185	207.58816
5.9823985	164.97632
4.9938305	124.45504
3.979799	86.2912
2.962656	48.1496
1.977263	12.63232
1.0615295	-24.19712
0.5291455	-49.72864
-0.063373	-79.70816
-0.741553	-113.11264
-1.394333	-142.86976
-2.167382	-173.38304
-2.864485	-200.22672
-3.536188	-225.20224
-4.226941	-250.46688
-5.190236	-283.09296
-6.444996	-314.40688
-7.674483	-317.0312
-9.046464	-318.61024
-9.208135	-317.8096
-8.732901	-278.8896
-7.788656	-240.99264
-6.866509	-206.52064
-5.906389	-174.18368
-4.936744	-143.91504
-3.80238	-109.70992
-2.671191	-76.2832
-1.609725	-46.0368
-0.703453	-14.21136
0.060198	17.10256
0.8080375	50.79616
1.669923	88.38176
2.585593	125.25568
3.5076765	159.6832
4.3632755	188.90656
5.183886	212.8368
6.147181	239.43584
7.1960105	263.89984
8.5965665	291.25504
8.979916	294.41312
8.1972785	249.39936
7.3259315	209.9456
6.5052575	174.45056
5.6877585	139.97856
4.7878365	108.66464
3.678809	72.63584
2.8105735	42.34496
2.069084	17.10256
1.403731	-7.38368
0.7889875	-32.87072
0.0380365	-66.56432
-0.750951	-99.99104
-1.543177	-129.97056
-2.500122	-161.81824
-3.545713	-193.64368
-4.489958	-220.22048
-5.503926	-245.99664
-6.635242	-271.50592
-8.292338	-300.4624
-9.160637	-308.86912
-8.602853	-273.61872
-7.836154	-242.83856
-7.037578	-213.63744
-6.080633	-180.76672
-5.104765	-151.81024
-4.15417	-123.12064
-3.216275	-96.03232
-2.211832	-65.51904
-1.276985	-36.56256
-0.459486	-5.7824
0.240792	23.17408
0.9918065	55.77792
1.707896	85.75744
