"Xiao 1998,Specimen nr.HC4-8L16-T6-0.2P"	
693	
0	0
0.041148	1.82368
0.053848	3.69184
0.0126365	4.47024
-0.044323	5.51552
-0.069723	5.51552
-0.088773	4.98176
-0.117221	5.24864
-0.123571	4.98176
-0.129921	4.98176
-0.133096	4.98176
-0.133096	4.98176
-0.129921	4.47024
-0.133096	4.47024
0.1743075	44.48
0.30734	59.20288
-0.003175	20.77216
-0.180721	-4.47024
-0.415036	-36.0288
-0.535559	-47.10432
-0.354838	-20.016
-0.174371	3.42496
0.0189865	30.78016
0.32639	64.18464
0.64643	94.20864
0.434086	67.87648
0.196469	42.61184
-0.063373	11.29792
-0.310515	-24.19712
-0.586232	-58.40224
-0.861822	-85.22368
-0.896747	-89.98304
-0.709803	-62.09408
-0.469011	-34.20512
-0.278892	-7.62832
-0.022225	25.7984
0.2883535	57.33472
0.64643	92.34048
0.994918	119.96256
1.210437	137.08736
0.798449	91.80672
0.453136	60.4928
0.129921	27.3552
-0.098171	0
-0.364363	-29.97952
-0.573532	-58.13536
-0.890397	-91.2952
-1.216787	-120.49632
-1.460754	-138.64416
-1.172464	-109.95456
-0.903097	-83.93376
-0.64643	-53.932
-0.399288	-21.5728
-0.171196	6.58304
0.145796	42.10032
0.522859	77.08384
0.9252585	113.37952
1.381506	147.31776
1.8029555	173.11616
2.0025995	182.5904
1.768094	157.85952
1.473454	132.06112
1.074166	100.25792
0.63373	65.51904
0.193294	23.17408
-0.104521	-8.13984
-0.475361	-48.39424
-0.861822	-88.13712
-1.248537	-123.38752
-1.638173	-153.9008
-1.993138	-177.87552
-2.024761	-179.6992
-1.787144	-155.2352
-1.406906	-126.27872
-1.080516	-94.69792
-0.811149	-66.56432
-0.538607	-35.27264
-0.278892	-6.04928
-0.082423	16.59104
0.2186305	47.63808
0.5450205	75.26016
0.887222	103.14912
1.2991465	133.6624
1.717421	161.55136
2.1198205	187.57216
2.614168	212.30304
2.8961715	223.64544
2.620518	196.77952
2.2465665	169.42432
1.6793845	129.4368
1.166114	92.34048
0.649605	52.88672
0.2154555	15.25664
-0.104648	-19.21536
-0.443611	-53.1536
-0.868299	-91.53984
-1.270635	-125.74496
-1.676273	-157.05888
-2.142109	-189.44032
-2.705989	-217.59616
-2.84226	-221.5104
-2.58572	-198.3808
-2.21488	-171.55936
-1.701546	-139.17792
-1.289685	-105.23968
-0.909447	-71.03456
-0.570357	-35.76192
-0.282067	-2.8912
0.0539115	29.20112
0.427736	62.36096
0.823849	93.14112
1.334008	126.01184
1.831467	157.32576
2.424049	193.13216
3.038729	226.80352
3.7579935	256.51616
4.055872	266.25728
3.7897435	241.79328
3.3429575	213.63744
2.661666	171.29248
1.948688	127.88
1.2927965	84.97904
0.817499	51.06304
0.310515	8.40672
-0.152146	-31.5808
-0.573532	-71.56832
-1.048893	-106.79648
-1.489329	-137.84352
-2.024888	-172.04864
-2.531745	-202.6064
-3.219323	-236.27776
-4.036822	-263.63296
-4.268216	-270.216
-4.290441	-269.68224
-3.967099	-246.24128
-3.517138	-222.57792
-2.943733	-190.21872
-2.224405	-151.54336
-1.676273	-117.07136
-1.226312	-82.33248
-0.833374	-45.76992
-0.418338	-9.47424
-0.053848	27.08832
0.430911	63.91776
1.0963275	107.33024
1.7870805	146.29472
2.4525605	181.27824
3.102102	214.1712
3.7231955	244.68448
4.312539	271.50592
4.882896	285.20576
4.4298235	254.15872
4.049522	230.98464
3.612261	206.00912
3.159125	180.49984
2.652141	152.61088
2.132457	123.38752
1.628648	94.20864
1.1122025	63.1616
0.678053	32.3592
0.316865	4.47024
-0.057023	-23.66336
-0.354965	-51.8192
-0.754126	-82.33248
-1.147064	-109.46528
-1.603375	-136.82048
-2.088134	-163.64192
-2.645918	-190.21872
-3.238373	-218.10768
-3.865753	-247.3088
-4.543806	-274.39712
-5.225161	-291.52192
-4.844923	-267.56944
-4.382262	-243.61696
-3.656584	-208.65568
-2.820162	-170.22496
-2.066036	-130.7712
-1.413256	-89.98304
-0.884047	-47.90496
-0.411988	-6.04928
0.183769	41.32192
0.804799	83.66688
1.4924405	122.34224
2.161032	157.32576
3.0165675	198.11392
3.8404165	235.744
4.629404	270.97216
5.497576	295.21376
5.507101	294.14624
4.9970055	259.94112
4.5311695	233.65344
4.0621585	209.41184
3.6344225	185.74848
2.8137485	143.6704
2.024761	103.92752
1.3086715	62.89472
0.62738	21.5728
0.060198	-19.74912
-0.424561	-57.33472
-0.944245	-92.0736
-1.609725	-131.03808
-2.344801	-168.37904
-3.175	-203.89632
-3.948176	-236.27776
-4.626229	-264.41136
-5.307584	-288.8976
-5.510276	-293.61248
-5.944489	-303.08672
-5.576824	-277.04368
-4.920996	-247.04192
-4.173093	-214.43808
-3.431667	-182.32352
-2.702814	-151.0096
-2.078609	-119.69568
-1.540002	-87.6256
-1.093216	-53.932
-0.64643	-20.26064
-0.266192	11.29792
0.2408555	47.88272
0.807974	84.20064
1.584325	126.5456
2.417699	167.06688
3.2319595	202.6064
4.049522	236.81152
4.876546	269.94912
5.560949	292.05568
4.996942	256.51616
4.2143045	214.70496
3.4633535	175.74048
2.712339	138.64416
1.8663285	96.03232
1.194562	58.66912
0.570357	20.77216
0.063373	-15.52352
-0.408813	-49.72864
-1.023493	-90.5168
-1.641348	-125.25568
-2.271903	-155.76896
