"Xiao 98,Specimen nr. HC4-8L19-T10-0.2P"	
965	
0	0
0	0
0.0950595	-2.8912
0.1109345	-1.31216
0.1109345	-1.31216
0.1141095	-0.80064
0.1141095	-0.80064
0.117221	-0.53376
0.126746	-0.26688
0.129921	-0.26688
0.139446	0.26688
0.145796	0.26688
0.142621	0
0.139446	0.26688
1.4892655	151.81024
1.1724005	99.1904
0.2851785	-7.87296
0.491109	35.51728
0.7192645	60.4928
0.510159	26.82144
-0.101473	-58.66912
-0.503809	-105.77344
-0.386588	-79.1744
0.057023	-17.10256
0.377063	27.08832
0.519684	35.00576
0.31369	6.31616
-0.028575	-41.32192
-0.253492	-67.6096
0.0412115	-20.016
0.2851785	12.63232
0.6463665	59.46976
1.013968	99.45728
1.137539	109.46528
0.9791065	83.4
0.6781165	48.1496
0.4087495	18.6816
0.2122805	-11.83168
-0.079248	-50.2624
-0.415163	-92.34048
-0.760476	-128.41376
-0.754126	-127.07936
-0.377063	-74.45952
0.0539115	-15.25664
0.424561	33.93824
0.8650605	83.4
1.4258925	133.39552
1.9138265	173.64992
2.043811	183.12416
1.698371	141.53536
1.1090275	91.53984
0.6179185	38.67536
0.2249805	-10.51952
-0.164846	-61.8272
-0.605282	-111.28896
-1.042543	-154.96832
-1.416431	-185.21472
-1.482979	-188.90656
-1.055243	-143.13664
-0.497459	-84.97904
-0.066548	-24.464
0.3042285	22.9072
0.636905	59.73664
0.263017	5.7824
-0.234569	-59.98128
-0.462661	-87.87024
0.0602615	-10.008
0.617855	57.6016
1.1249025	107.33024
0.4150995	24.19712
-0.053848	-40.2544
-0.440436	-86.02432
-0.117221	-35.76192
4.179443	292.30032
3.0229175	201.53888
1.774444	113.91328
0.373888	-17.36944
-1.178814	-165.22096
-2.807462	-263.36608
-4.233418	-322.56896
-4.258691	-318.87712
-2.940558	-232.05216
-1.692148	-151.54336
-0.747776	-69.7224
-0.01905	5.7824
0.9568815	91.56208
2.2560915	175.74048
3.7611685	262.83232
4.7212885	312.0272
4.813173	313.3616
3.963924	249.39936
3.032379	190.99712
2.1515705	134.19616
1.330833	77.88448
0.693928	20.26064
0.358013	-12.09856
0.5988685	32.60384
1.010793	75.79392
1.470279	113.37952
1.9201765	144.15968
2.53492	181.0336
3.1844615	218.6192
3.8150165	255.71552
4.496308	294.41312
5.142738	328.08448
5.811266	348.85664
5.405755	309.93664
4.6801405	265.72352
4.055872	227.33728
3.47599	193.3768
2.8771215	158.92704
2.414524	131.03808
1.967738	102.0816
1.5558135	73.12512
1.0963275	37.89696
0.7256145	4.71488
0.3960495	-26.04304
0.0507365	-56.84544
-0.32004	-88.38176
-0.621157	-103.416
-0.177546	-62.09408
-0.240792	-68.41024
0.0791845	-31.04704
-0.494411	-98.92352
-1.28651	-155.50208
-2.056511	-199.69296
-2.747264	-239.16896
-3.387344	-274.13024
-3.957701	-303.08672
-4.569206	-327.28384
-5.209286	-347.29984
-4.699127	-311.2488
-4.125595	-278.35584
-3.580638	-246.24128
-3.003931	-215.19424
-2.436749	-184.1472
-1.837817	-147.31776
-1.27381	-109.70992
-0.868172	-79.70816
-0.545084	-48.66112
-0.190119	-18.14784
0.177419	17.3472
0.5513705	48.1496
1.0361295	84.46752
1.5937865	118.93952
2.1641435	150.2312
2.7915235	184.1472
3.3143825	210.47936
4.226941	258.62896
4.708652	282.58144
5.2282725	309.40288
5.69722	331.24256
5.1617245	289.43136
4.290314	237.83456
3.292221	180.76672
2.6109295	141.26848
1.9455765	102.61536
1.4670405	71.03456
0.893572	28.42272
0.510159	-4.71488
-0.01905	-50.52928
-0.65278	-99.45728
-1.131316	-132.328
-1.761871	-167.86752
-2.424049	-204.69696
-3.140202	-241.25952
-3.80873	-275.73152
-4.385437	-304.688
-4.978019	-332.31008
-5.190236	-339.91616
-4.613529	-299.92864
-3.729482	-251.26752
-2.661666	-193.13216
-2.056511	-160.21696
-1.549527	-128.90304
-1.055243	-96.03232
-0.66548	-62.09408
-0.171196	-17.61408
0.3453765	27.62208
1.0361295	80.5088
1.8885535	131.03808
2.6172795	169.42432
3.2003365	200.47136
3.872103	234.14272
4.356862	258.8736
5.110988	298.10496
5.656072	320.7008
5.443728	306.2448
4.920869	271.7728
4.223766	231.25152
3.539363	192.5984
2.8739465	155.76896
2.2370415	119.69568
1.657223	84.20064
1.1153775	46.83744
0.697103	11.83168
0.2788285	-20.016
-0.076073	-52.08608
-0.481711	-82.33248
-0.944245	-116.02608
-1.673098	-159.6832
-2.420874	-199.44832
-3.054604	-230.74
-3.644011	-260.74176
-4.157218	-286.76256
-4.74345	-315.98592
-5.209286	-335.46816
-4.537583	-292.81184
-3.881628	-256.24928
-3.244723	-221.02112
-2.424049	-177.60864
-1.682623	-135.75296
-1.188339	-103.92752
-0.741553	-69.47776
-0.34544	-32.60384
0.015875	0.26688
0.557657	43.94624
1.0583545	80.24192
0.8112125	49.19488
-0.297815	-52.35296
0.0127	-10.27488
0.636905	45.23616
1.4733905	106.3072
2.3099395	152.61088
2.9277945	184.1472
3.602736	217.0624
4.188968	248.6432
4.806823	281.24704
5.4754145	314.65152
6.1534675	344.67552
6.9456935	364.64704
7.6839445	375.45568
7.3956545	344.92016
6.917182	316.78656
6.470396	290.98816
6.02996	264.41136
5.40258	228.36032
4.7498	193.62144
4.10337	158.92704
3.536188	128.90304
2.946781	98.38976
2.354326	66.80896
1.7554575	33.93824
1.1755755	4.2256
0.573532	-31.04704
-0.01905	-68.41024
-0.624332	-103.68288
-1.159764	-136.01984
-1.777619	-166.26624
-2.430399	-200.73824
-3.133852	-234.67648
-3.80873	-266.79104
-4.569206	-303.08672
-5.345557	-337.02496
-6.521069	-362.02272
-7.525512	-364.64704
-6.99008	-325.46016
-7.376668	-349.65728
-6.552819	-286.0064
-5.038217	-214.43808
-3.564763	-149.18592
-2.275078	-91.2952
-1.058418	-36.0288
-0.193294	6.84992
0.3453765	36.0288
0.9189085	67.6096
1.584325	101.28096
2.2751415	134.19616
2.965831	165.73248
3.6312475	196.02336
4.303014	223.91232
5.028692	255.47088
5.893689	290.98816
6.8727955	329.41888
7.5698985	348.58976
7.0629145	313.3616
6.334125	273.1072
5.456428	225.20224
4.559681	179.96608
3.6819205	137.59888
2.83591	96.2992
2.037461	55.24416
1.270635	15.7904
0.538607	-23.41872
-0.057023	-58.13536
-0.858647	-101.01408
-1.6256	-139.17792
-2.385949	-174.45056
-3.352419	-213.63744
-4.296664	-251.00064
-5.212461	-284.672
-6.235954	-319.41088
-7.633335	-358.064
-8.555355	-369.13952
-8.010398	-280.98016
-6.803136	-226.53664
-5.659247	-180.23296
-4.074922	-118.13888
-2.598293	-63.40624
-1.346708	-19.74912
-0.602107	6.31616
0.2154555	41.83344
1.0488295	82.0656
1.6762095	111.02208
2.6077545	152.87776
3.428492	188.10592
4.230116	221.77728
5.323332	264.41136
6.3689865	304.93264
7.1231125	330.17504
7.7568425	349.65728
7.28472	317.27584
6.7967225	288.8976
6.2358905	258.11744
5.6750585	228.89408
5.133213	199.9376
4.4836715	168.9128
3.8404165	138.91104
3.1274385	106.3072
2.53492	78.41824
1.761744	40.2544
0.998093	2.62432
0.231267	-38.16384
-0.668655	-83.4
-1.590675	-123.12064
-2.52222	-159.41632
-3.621786	-199.18144
-4.477385	-227.82656
-5.481828	-259.40736
-6.454521	-287.02944
-7.607935	-316.2528
-8.640953	-336.75808
-7.481189	-278.62272
-6.524244	-233.65344
-5.570474	-194.1552
-4.765675	-161.55136
-4.008374	-132.86176
-3.137027	-99.45728
-2.376551	-68.944
-1.609725	-40.2544
-0.96647	-13.6776
-0.301117	13.94448
0.263017	40.78816
0.830199	68.14336
1.3720445	95.23168
1.9360515	122.0976
