"Zahn et al. 86, Specimen 7"	
491	
0	0
0	12.805
0.11507	23.415
0.4603	35.488
1.0357	49.391
1.611	60.733
2.1864	74.637
3.1069	87.439
4.1427	99.15
5.4084	117.08
6.444	126.59
7.825	138.3
7.3647	127.68
6.559	116.71
6.0988	107.2
5.5235	96.953
4.9482	87.808
4.1427	76.83
3.1069	54.146
2.7617	44.269
2.3015	35.123
1.7261	24.879
1.2658	13.537
1.0357	3.6586
1.0357	-6.9513
0.92057	-16.098
0.4603	-22.683
0.11507	-30.733
-0.23015	-39.147
-0.57536	-47.927
-0.80551	-56.343
-1.0357	-63.66
-1.496	-72.44
-2.8768	-92.563
-4.3729	-111.59
-5.1783	-121.1
-5.9837	-128.42
-6.3289	-130.98
-6.6741	-124.39
-6.3289	-117.81
-6.2139	-110.86
-6.2139	-101.71
-5.0632	-84.881
-4.9482	-75.732
-4.7181	-62.196
-4.3729	-50.854
-4.0277	-42.44
-3.4521	-29.635
-2.7617	-18.293
-2.1864	-9.1464
-1.611	0.73174
-0.80551	13.171
-0.11507	23.415
0.57536	37.684
1.496	57.806
1.8412	69.878
2.8768	84.147
3.5672	94.76
4.7181	107.93
6.0988	122.2
6.9045	132.81
8.0551	144.15
9.7813	158.05
11.047	169.39
12.658	180.74
14.039	190.61
15.535	197.93
17.376	203.42
18.642	206.71
20.368	208.54
21.634	208.54
22.324	206.35
22.324	199.76
21.404	182.2
20.598	171.96
19.792	161.35
18.987	149.64
18.067	137.93
15.765	110.86
14.269	97.318
12.888	81.954
11.277	67.32
9.8963	53.416
8.2852	40.976
7.0195	31.83
3.4521	3.2928
1.611	-13.171
0	-36.586
-0.69045	-46.464
-1.2658	-60.368
-2.1864	-73.174
-3.1069	-87.074
-7.7099	-133.54
-8.9756	-143.78
-10.472	-154.03
-12.083	-163.17
-14.154	-172.32
-15.88	-178.17
-17.376	-182.2
-19.102	-184.03
-20.483	-185.86
-21.634	-185.49
-21.634	-175.25
-20.483	-148.54
-19.562	-133.54
-18.642	-117.44
-16.34	-96.588
-14.845	-80.122
-13.003	-65.123
-11.507	-51.219
-9.7813	-38.05
-7.94	-24.147
-6.0988	-8.4147
-4.8331	4.0245
-2.1864	28.537
-0.57536	45
1.0357	62.561
2.8768	81.22
4.7181	95.49
6.559	108.66
8.7455	123.66
11.162	139.03
13.348	153.3
14.96	162.81
17.376	176.35
19.908	187.69
21.749	192.81
21.058	177.07
20.253	165.74
19.447	153.66
18.527	138.66
17.146	123.29
15.88	111.22
14.614	100.61
13.003	84.147
11.277	69.878
7.7099	37.684
5.6385	20.854
4.0277	9.5125
2.7617	-1.4634
1.1507	-14.269
0	-27.074
-1.0357	-39.513
-2.1864	-51.588
-3.5672	-64.394
-4.8331	-75.367
-6.7894	-88.902
-9.4361	-106.47
-12.888	-128.42
-14.845	-137.56
-16.686	-147.81
-18.527	-156.22
-20.138	-163.9
-22.094	-171.59
-21.864	-157.69
-20.943	-145.24
-19.677	-131.71
-18.642	-114.88
-17.606	-100.61
-16.455	-89.271
-12.083	-50.125
-7.2497	-12.074
-5.4084	4.0245
-3.5672	19.025
-2.0713	34.025
-0.11507	54.146
1.2658	69.149
5.4084	93.662
8.2852	112.32
11.392	131.71
14.384	150.73
16.686	164.64
18.872	178.54
21.289	190.61
23.935	199.39
26.698	206.71
29.804	211.84
33.371	213.3
36.594	212.93
40.965	212.93
44.762	212.2
44.994	201.59
44.879	190.98
44.534	180.01
43.843	170.13
43.038	157.32
42.116	145.61
38.318	110.49
36.017	98.416
33.602	84.147
31.069	70.612
28.654	57.441
25.662	45
22.9	32.562
19.447	17.561
13.694	-4.0245
9.4361	-20.854
9.4361	-20.854
7.1346	-29.635
4.7181	-40.611
2.8768	-49.026
0.69045	-59.27
-0.92057	-69.149
-2.7617	-79.028
-4.3729	-87.439
-6.3289	-98.416
-7.94	-107.93
-9.4361	-115.25
-12.083	-126.59
-18.642	-156.22
-20.713	-165
-23.475	-172.32
-26.698	-178.91
-30.841	-184.4
-36.594	-188.79
-40.16	-191.71
-44.303	-192.81
-48.905	-194.27
-52.014	-193.18
-52.243	-183.66
-51.783	-165.37
-51.092	-153.66
-50.056	-137.56
-48.791	-121.83
-46.721	-105.37
-44.303	-91.464
-41.77	-76.83
