"Zhou et al. 1987, Specimen 10408"	
935	
0	0
0.0095236	2.9952
0.0095236	5.024
0.014285	7.7297
0.014285	9.952
0.028571	12.657
0.038095	14.493
0.066666	16.522
0.047619	17.102
0.066666	18.261
0.090475	19.614
0.10476	21.063
0.11905	22.319
0.14761	24.445
0.15714	25.217
0.17142	27.054
0.19047	28.986
0.2	30.048
0.21429	32.657
0.20952	33.913
0.22381	35.846
0.24285	37.199
0.28095	39.227
0.3	40.193
0.32856	41.546
0.35714	42.513
0.39047	43.769
0.43809	45.316
0.45714	46.379
0.49522	47.634
0.53332	48.795
0.56666	50.147
0.57619	50.436
0.61904	51.886
0.6619	53.238
0.69046	50.823
0.69522	49.564
0.69522	48.501
0.69522	47.923
0.69999	46.379
0.70951	45.121
0.70951	44.058
0.70951	42.996
0.70475	41.933
0.69522	40.677
0.69046	39.517
0.6857	37.778
0.67617	36.522
0.6619	35.362
0.64761	33.43
0.63809	31.401
0.61904	28.986
0.60475	27.44
0.58095	25.894
0.56666	24.541
0.53809	22.802
0.51427	20.677
0.50475	19.227
0.49047	18.261
0.47142	16.715
0.44761	14.976
0.4238	13.14
0.40951	12.174
0.4	11.401
0.37619	9.855
0.35714	8.6958
0.33809	7.1497
0.30952	5.314
0.3	4.6379
0.27619	3.2851
0.25714	2.3189
0.23332	0.96619
0.20952	-0.28986
0.19047	-1.4493
0.18095	-2.1256
0.17142	-3.1884
0.1619	-4.058
0.15237	-4.9275
0.12381	-7.0532
0.10476	-8.0193
0.095236	-8.7924
0.071427	-10.338
0.038095	-12.367
0.019047	-13.623
0.0095236	-15.072
-0.0047619	-16.908
-0.019047	-18.068
-0.038095	-19.517
-0.061904	-20.87
-0.095236	-22.319
-0.099999	-23.092
-0.10952	-24.348
-0.11905	-25.894
-0.13334	-27.923
-0.14761	-30.048
-0.1619	-32.271
-0.16666	-34.203
-0.16666	-34.976
-0.18571	-37.295
-0.2	-38.551
-0.21905	-40.193
-0.23332	-41.546
-0.24285	-42.513
-0.25714	-43.479
-0.27619	-44.64
-0.28571	-45.316
-0.29524	-46.281
-0.30952	-47.247
-0.32856	-48.795
-0.34285	-49.662
-0.3619	-51.303
-0.38095	-52.753
-0.39047	-53.816
-0.4	-54.688
-0.40951	-55.942
-0.41904	-56.814
-0.43332	-57.971
-0.44761	-58.745
-0.4619	-59.23
-0.48571	-60.386
-0.50951	-60.675
-0.54761	-60.293
-0.5619	-59.421
-0.56666	-58.745
-0.57142	-57.971
-0.57142	-55.845
-0.57142	-54.782
-0.57619	-53.914
-0.57619	-52.366
-0.58095	-51.788
-0.5857	-50.049
-0.5857	-48.599
-0.58095	-47.345
-0.57142	-46.473
-0.55237	-45.316
-0.52856	-43.382
-0.50951	-42.706
-0.49522	-42.03
-0.47142	-41.643
-0.41427	-38.938
-0.39047	-37.682
-0.34761	-35.943
-0.32856	-35.362
-0.29524	-33.14
-0.28095	-30.338
-0.27619	-28.116
-0.26666	-26.764
-0.2619	-24.155
-0.26666	-22.706
-0.27619	-21.45
-0.27142	-19.324
-0.24761	-17.681
-0.22381	-15.169
-0.19524	-13.43
-0.19047	-12.754
-0.17619	-11.208
-0.1619	-9.3719
-0.15237	-7.8263
-0.14761	-6.9567
-0.13809	-5.121
-0.12381	-3.3817
-0.11905	-2.4155
-0.10952	-1.2561
-0.10476	-0.86958
-0.099999	0.28986
-0.090475	0.96619
-0.07619	2.5121
-0.057142	4.058
-0.019047	6.1836
0.0047619	7.7297
0.028571	8.4058
0.061904	9.5654
0.11428	12.174
0.12381	12.85
0.14285	14.01
0.15714	15.072
0.16666	15.749
0.21905	20.193
0.21905	21.16
0.21905	22.899
0.21905	24.445
0.22381	25.411
0.24285	26.957
0.25237	27.826
0.3	29.855
0.30952	31.401
0.31429	32.368
0.3238	34.01
0.33332	35.362
0.34285	35.943
0.37142	37.295
0.39524	38.261
0.44285	41.546
0.44285	42.609
0.4619	43.575
0.48095	44.64
0.49522	45.992
0.50951	47.055
0.53332	48.118
0.55237	48.986
0.57142	49.564
0.61904	51.979
0.63809	53.527
0.6619	55.845
0.68094	56.908
0.69046	58.166
0.70475	59.034
0.7238	60.582
0.72856	61.258
0.73809	62.032
0.75237	62.997
0.7619	63.962
0.76665	64.638
0.77617	64.927
0.80475	64.251
0.81427	63.188
0.8238	62.125
0.8238	60.773
0.82856	58.069
0.82856	57.295
0.82856	55.364
0.80951	53.527
0.80475	51.979
0.80475	50.627
0.79046	49.373
0.76665	48.021
0.75237	46.86
0.74761	45.894
0.74285	45.218
0.7238	43.479
0.71904	42.802
0.70475	41.257
0.69522	38.841
0.69522	37.295
0.67142	35.169
0.65714	33.913
0.65237	32.947
0.63809	31.788
0.62856	30.822
0.6238	29.082
0.60475	26.57
0.60475	25.508
0.59999	24.251
0.59046	22.995
0.57619	21.256
0.55237	19.517
0.53332	18.164
0.51427	15.942
0.49047	14.106
0.45714	11.884
0.4238	9.3719
0.39047	8.0193
0.3619	6.8602
0.33809	5.7006
0.30476	3.6715
0.28095	2.4155
0.25237	0.67632
0.22381	-1.3527
0.19524	-2.9952
0.16666	-5.2175
0.15237	-6.3767
0.13334	-7.7297
0.11428	-9.1789
0.099999	-10.242
0.085712	-11.498
0.071427	-12.85
0.05238	-14.589
0.038095	-15.942
0.023809	-16.715
0.019047	-18.841
0.0047619	-21.256
0	-21.933
-0.019047	-23.382
-0.038095	-24.831
-0.071427	-26.474
-0.095236	-27.537
-0.11905	-28.696
-0.13334	-29.662
-0.13809	-29.952
