"Zhou et al. 1985, specimen 806"	
565	
0	0
0.018443	0.43042
0.012295	0.70714
0.012295	0.98381
0.0061475	1.3528
0.0061475	1.7832
0.012295	2.2444
0.030738	2.5826
0.061475	3.2282
0.09221	3.6893
0.12295	4.212
0.165975	4.8884
0.172135	5.3496
0.196725	6.1182
0.22131	6.7329
0.23975	7.2556
0.23975	7.6248
0.252045	7.9935
0.25819	8.3627
0.26434	8.7007
0.28278	9.0695
0.28278	9.3773
0.28894	9.6232
0.30738	9.6846
0.331965	9.7767
0.3627	9.7767
0.399595	9.8692
0.42418	9.8999
0.46721	9.992
0.4795	9.6846
0.4795	9.162
0.4795	8.7007
0.491795	8.332
0.5041	7.7782
0.52255	6.9482
0.5287	6.4256
0.4795	5.5031
0.44262	4.919
0.418035	4.3965
0.387285	3.7508
0.331965	2.9515
0.270485	1.7217
0.15983	-0.52264
0.05533	-2.1521
-0.0245895	-3.2897
-0.153685	-5.657
-0.25819	-6.9789
-0.356555	-8.1167
-0.430325	-8.8853
-0.48565	-9.4387
-0.51025	-9.6539
-0.5287	-9.4693
-0.5287	-8.9467
-0.53485	-8.332
-0.541	-7.7168
-0.54715	-7.3481
-0.54715	-7.0403
-0.54715	-6.7329
-0.53485	-6.3642
-0.5041	-5.9336
-0.473355	-5.5649
-0.436475	-4.9804
-0.374995	-4.2735
-0.331965	-3.5971
-0.295085	-2.7363
-0.270485	-2.2751
-0.209015	-1.5372
-0.165975	-1.0453
-0.09221	-0.18447
-0.061475	0.30745
-0.012295	0.86087
0.012295	1.4758
0.0430325	2.5826
0.09836	3.6586
0.14139	4.581
0.172135	5.2882
0.196725	6.487
0.25819	7.7168
0.30738	8.7621
0.3627	9.6846
0.399595	10.545
0.436475	11.56
0.473355	12.267
0.5164	12.882
0.541	13.312
0.5963	13.927
0.6209	14.204
0.6332	14.358
0.6578	14.542
0.66395	14.573
0.68235	13.558
0.6762	12.574
0.68235	11.683
0.68235	10.945
0.63935	10.084
0.6086	9.3773
0.56555	8.7007
0.53485	8.086
0.5287	7.4709
0.49794	6.5488
0.454915	5.411
0.411885	4.2735
0.356555	3.2282
0.27663	1.7832
0.20287	0.12298
0.147535	-0.98381
0.06762	-1.9984
-0.012295	-3.1359
-0.09221	-4.5503
-0.15983	-5.8416
-0.245895	-6.7022
-0.31967	-7.6861
-0.411885	-8.6393
-0.6209	-10.822
-0.7131	-11.714
-0.79305	-12.452
-0.83605	-13.036
-0.8791	-13.374
-0.9221	-13.743
-0.9467	-13.896
-1.0205	-14.388
-1.0389	-14.542
-1.0635	-14.634
-1.0758	-14.573
-1.0758	-14.081
-1.0758	-13.528
-1.0635	-12.759
-1.0205	-11.898
-0.9467	-10.699
-0.9037	-10.023
-0.8668	-9.3773
-0.8176	-8.7007
-0.7746	-8.0549
-0.73155	-7.4709
-0.6762	-6.7948
