specimen,curve_file,relative_url,downloaded
"Gill et al. 1979, No. 1",gill79s1.txt,rectcol/txfiles/gill79s1.txt,yes
"Gill et al. 1979, No. 2",gill79s2.txt,rectcol/txfiles/gill79s2.txt,yes
"Gill et al. 1979, No. 3",gill79s3.txt,rectcol/txfiles/gill79s3.txt,yes
"Gill et al. 1979, No. 4",gill79s4.txt,rectcol/txfiles/gill79s4.txt,yes
"Ang et al. 1981, No. 3",ang81u3.txt,rectcol/txfiles/ang81u3.txt,yes
"Ang et al. 1981, No. 4",ang81u4.txt,rectcol/txfiles/ang81u4.txt,yes
"Soesianawati et al. 1986, No. 1",soes86u1.txt,rectcol/txfiles/soes86u1.txt,yes
"Soesianawati et al. 1986, No. 2",soes86u2.txt,rectcol/txfiles/soes86u2.txt,yes
"Soesianawati et al. 1986, No. 3",soes86u3.txt,rectcol/txfiles/soes86u3.txt,yes
"Soesianawati et al. 1986, No. 4",soes86u4.txt,rectcol/txfiles/soes86u4.txt,yes
"Zahn et al. 1986, No. 7",zahn86u7.txt,rectcol/txfiles/zahn86u7.txt,yes
"Zahn et al. 1986, No. 8",zahn86u8.txt,rectcol/txfiles/zahn86u8.txt,yes
"Watson and Park 1989, No. 5",wat89u5.txt,rectcol/txfiles/wat89u5.txt,yes
"Watson and Park 1989, No. 6",wat89u6.txt,rectcol/txfiles/wat89u6.txt,yes
"Watson and Park 1989, No. 7",wat89u7.txt,rectcol/txfiles/wat89u7.txt,yes
"Watson and Park 1989, No. 8",wat89u8.txt,rectcol/txfiles/wat89u8.txt,yes
"Watson and Park 1989, No. 9",wat89u9.txt,rectcol/txfiles/wat89u9.txt,yes
"Tanaka and Park 1990, No. 1",tana90u1.txt,rectcol/txfiles/tana90u1.txt,yes
"Tanaka and Park 1990, No. 2",tana90u2.txt,rectcol/txfiles/tana90u2.txt,yes
"Tanaka and Park 1990, No. 3",tana90u3.txt,rectcol/txfiles/tana90u3.txt,yes
"Tanaka and Park 1990, No. 4",tana90u4.txt,rectcol/txfiles/tana90u4.txt,yes
"Tanaka and Park 1990, No. 5",tana90u5.txt,rectcol/txfiles/tana90u5.txt,yes
"Tanaka and Park 1990, No. 6",tana90u6.txt,rectcol/txfiles/tana90u6.txt,yes
"Tanaka and Park 1990, No. 7",tana90u7.txt,rectcol/txfiles/tana90u7.txt,yes
"Tanaka and Park 1990, No. 8",tana90u8.txt,rectcol/txfiles/tana90u8.txt,yes
"Park and Paulay 1990, No. 9",tana90u9.txt,rectcol/txfiles/tana90u9.txt,yes
"Arakawa et al. 1982, No. 102",ara82102.txt,rectcol/txfiles/ara82102.txt,yes
"Nagasaka 1982, HPRC10-63",nag1063.txt,rectcol/txfiles/nag1063.txt,yes
"Nagasaka 1982, HPRC19-32",nag1932.txt,rectcol/txfiles/nag1932.txt,yes
"Ohno and Nishioka 1984, L1",ohno84l1.txt,rectcol/txfiles/ohno84l1.txt,yes
"Ohno and Nishioka 1984, L2",ohno84l2.txt,rectcol/txfiles/ohno84l2.txt,yes
"Ohno and Nishioka 1984, L3",ohno84l3.txt,rectcol/txfiles/ohno84l3.txt,yes
"Ohue et al. 1985, 2D16RS",oh2d16rs.txt,rectcol/txfiles/oh2d16rs.txt,yes
"Ohue et al. 1985, 4D13RS",oh4d13rs.txt,rectcol/txfiles/oh4d13rs.txt,yes
"Zhou et al. 1985, No. 806",zho806.txt,rectcol/txfiles/zho806.txt,yes
"Zhou et al. 1985, No. 1007",zho1007.txt,rectcol/txfiles/zho1007.txt,yes
"Zhou et al. 1985, No. 1309",zho1309.txt,rectcol/txfiles/zho1309.txt,yes
"Imai and Yamamoto 1986, No. 1",imai86.txt,rectcol/txfiles/imai86.txt,yes
"Zhou et al. 1987, No. 104-08",zho10408.txt,rectcol/txfiles/zho10408.txt,yes
"Zhou et al. 1987, No. 114-08",zho11408.txt,rectcol/txfiles/zho11408.txt,yes
"Zhou et al. 1987, No. 124-08",zho12408.txt,rectcol/txfiles/zho12408.txt,yes
"Zhou et al. 1987, No. 204-08",zho20408.txt,rectcol/txfiles/zho20408.txt,yes
"Zhou et al. 1987, No. 214-08",zho21408.txt,rectcol/txfiles/zho21408.txt,yes
"Zhou et al. 1987, No. 223-09",zho22309.txt,rectcol/txfiles/zho22309.txt,yes
"Zhou et al. 1987, No. 302-07",zho30207.txt,rectcol/txfiles/zho30207.txt,yes
"Zhou et al. 1987, No. 312-07",zho31207.txt,rectcol/txfiles/zho31207.txt,yes
"Zhou et al. 1987, No. 322-07",zho32207.txt,rectcol/txfiles/zho32207.txt,yes
"Kanda et al. 1988, 85STC-1",kanstc1.txt,rectcol/txfiles/kanstc1.txt,yes
"Kanda et al. 1988, 85STC-2",kanstc2.txt,rectcol/txfiles/kanstc2.txt,yes
"Kanda et al. 1988, 85STC-3",kanstc3.txt,rectcol/txfiles/kanstc3.txt,yes
"Kanda et al. 1988, 85PDC-1",kanpdc1.txt,rectcol/txfiles/kanpdc1.txt,yes
"Kanda et al. 1988, 85PDC-2",kanpdc2.txt,rectcol/txfiles/kanpdc2.txt,yes
"Kanda et al. 1988, 85PDC-3",kanpdc3.txt,rectcol/txfiles/kanpdc3.txt,yes
"Arakawa et al. 1989, OA2",ara89oa2.txt,rectcol/txfiles/ara89oa2.txt,yes
"Arakawa et al. 1989, OA5",ara89oa5.txt,rectcol/txfiles/ara89oa5.txt,yes
"Muguruma et al. 1989, AL-1",mug89al1.txt,rectcol/txfiles/mug89al1.txt,yes
"Muguruma et al. 1989, AH-1",mug89ah1.txt,rectcol/txfiles/mug89ah1.txt,yes
"Muguruma et al. 1989, AL-2",mug89al2.txt,rectcol/txfiles/mug89al2.txt,yes
"Muguruma et al. 1989, AH-2",mug89ah2.txt,rectcol/txfiles/mug89ah2.txt,yes
"Muguruma et al. 1989, BL-1",mug89bl1.txt,rectcol/txfiles/mug89bl1.txt,yes
"Muguruma et al. 1989, BH-1",mug89bh1.txt,rectcol/txfiles/mug89bh1.txt,yes
"Muguruma et al. 1989, BL-2",mug89bl2.txt,rectcol/txfiles/mug89bl2.txt,yes
"Muguruma et al. 1989, BH-2",mug89bh2.txt,rectcol/txfiles/mug89bh2.txt,yes
"Ono et al. 1989, CA025C",ono025c.txt,rectcol/txfiles/ono025c.txt,yes
"Ono et al. 1989, CA060C",ono060c.txt,rectcol/txfiles/ono060c.txt,yes
"Sakai et al. 1990, B1",sak90b1.txt,rectcol/txfiles/sak90b1.txt,yes
"Sakai et al. 1990, B2",sak90b2.txt,rectcol/txfiles/sak90b2.txt,yes
"Sakai et al. 1990, B3",sak90b3.txt,rectcol/txfiles/sak90b3.txt,yes
"Sakai et al. 1990, B4",sak90b4.txt,rectcol/txfiles/sak90b4.txt,yes
