No. 	Specimen Name 	Comments 	f'c (MPa) 	Axial Load (kN) 	P-D 	B (mm) 	H (mm) 	L (mm) 	Lsplice (mm) 	Config. 	Diameter Corner (mm) 	Diameter Interm (mm) 	Total # Bars 	Clear Cover Perpendicular to Load (mm) 	# Intermediate Bars 	Clear Cover Parallel to Load (mm) 	# Intermediate Bars 	Reinf Ratio 	fyl corner (MPa) 	fsu long corner (MPa) 	fyl interm (MPa) 	fsu long interm (MPa) 	Steel Grade 	Type of confinement 	Confinement code 	Nv 	Region of close spacing bar dia (mm) 	No. hoop sets 	Spacing (mm) 	Region of wide spacing bar dia (mm) 	No. hoop sets 	Spacing (mm) 	Vol Trans Reinf Ratio 	fyt (MPa) 	fsu Trans 	Steel Grade Trans 	Failure 	Ltop 	Lbottom 	Lbeam 	Lmeasured (mm) 	Nperp 	Npar
1	Gill et al. 1979, No. 1		23.1	1,815	2	550	550	1,200	0	DE	24	24	12	40	2	40	2	0.0179	375	635.6	375	635.6	380	RO: Rectangular and octagonal ties	7	4	10	8	80	10	5	135	0.015	297	416.8	275	1	0	0	0	1,200	4	4
2	Gill et al. 1979, No. 2		41.4	2,680	2	550	550	1,200	0	DE	24	24	12	38	2	38	2	0.0179	375	635.6	375	635.6	380	RO: Rectangular and octagonal ties	7	4	12	8	75	12	3	206	0.023	316	440.6	275	1	0	0	0	1,200	4	4
3	Gill et al. 1979, No. 3		21.4	2,719	2	550	550	1,200	0	DE	24	24	12	40	2	40	2	0.0179	375	635.6	375	635.6	380	RI: Rectangular and interlocking ties	4	4	10	8	75	10	6	103	0.02	297	416.8	275	1	0	0	0	1,200	4	4
4	Gill et al. 1979, No. 4		23.5	4,265	2	550	550	1,200	0	DE	24	24	12	38	2	38	2	0.0179	375	635.6	375	635.6	380	RI: Rectangular and interlocking ties	4	4	12	10	62	12	3	200	0.035	294	412.4	275	1	0	0	0	1,200	4	4
5	Ang et al. 1981, No. 3	bar spacing 120mm-75mm-120mm	23.6	1,435	2	400	400	1,600	0	DE	16	16	12	24.5	2	24.5	2	0.0151	427	670	427	670	380	RI: Rectangular and interlocking ties	4	4	12	5	100	10	6	180	0.028	320	434	275	1	0	0	0	1,600	4	4
6	Ang et al. 1981, No. 4	bar spacing 120mm-75mm-120mm	25	840	2	400	400	1,600	0	DE	16	16	12	22.5	2	22.5	2	0.0151	427	670	427	670	380	RI: Rectangular and interlocking ties	4	4	10	5	90	10	6	180	0.022	280	408	275	1	0	0	0	1,600	4	4
7	Soesianawati et al. 1986, No. 1		46.5	744	2	400	400	1,600	0	DE	16	16	12	13	2	13	2	0.0151	446	702	446	702	380	RO: Rectangular and octagonal ties	7	4	7	5	85	7	6	170	0.009	364	521	275	1	0	0	0	1,600	4	4
8	Soesianawati et al. 1986, No. 2		44	2,112	2	400	400	1,600	0	DE	16	16	12	13	2	13	2	0.0151	446	702	446	702	380	RO: Rectangular and octagonal ties	7	4	8	8	78	8	5	156	0.012	360	492	275	1	0	0	0	1,600	4	4
9	Soesianawati et al. 1986, No. 3		44	2,112	2	400	400	1,600	0	DE	16	16	12	13	2	13	2	0.0151	446	702	446	702	380	RO: Rectangular and octagonal ties	7	4	7	7	91	7	5	182	0.008	364	521	275	1	0	0	0	1,600	4	4
10	Soesianawati et al. 1986, No. 4		40	1,920	2	400	400	1,600	0	DE	16	16	12	13	2	13	2	0.0151	446	702	446	702	380	RO: Rectangular and octagonal ties	7	4	6	7	94	6	5	186	0.006	255	402	275	1	0	0	0	1,600	4	4
11	Zahn et al. 1986, No. 7		28.3	1,010	2	400	400	1,600	0	DE	16	16	12	13	2	13	2	0.0151	440	674	440	674	380	RI: Rectangular and interlocking ties	4	4	10	4	117	0	0	0	0.016	466	688	380	1	0	0	0	1,600	4	4
12	Zahn et al. 1986, No. 8		40.1	2,502	2	400	400	1,600	0	DE	16	16	12	13	2	13	2	0.0151	440	674	440	674	380	RI: Rectangular and interlocking ties	4	4	10	7	92	0	0	0	0.02	466	688	380	1	0	0	0	1,600	4	4
13	Watson and Park 1989, No. 5		41	3,280	2	400	400	1,600	0	DE	16	16	12	13	2	13	2	0.0151	474	633.3	474	633.3	380	RO: Rectangular and octagonal ties	7	4	8	8	81	0	0	0	0.007	372	516	275	1	0	0	0	1,600	4	4
14	Watson and Park 1989, No. 6		40	3,200	2	400	400	1,600	0	DE	16	16	12	13	2	13	2	0.0151	474	633.3	474	633.3	380	RO: Rectangular and octagonal ties	7	4	6	7	96	0	0	0	0.003	388	518	275	1	0	0	0	1,600	4	4
15	Watson and Park 1989, No. 7		42	4,704	2	400	400	1,600	0	DE	16	16	12	13	2	13	2	0.0151	474	633.3	474	633.3	380	RO: Rectangular and octagonal ties	7	4	12	7	96	0	0	0	0.013	308	444	275	1	0	0	0	1,600	4	4
16	Watson and Park 1989, No. 8		39	4,368	2	400	400	1,600	0	DE	16	16	12	13	2	13	2	0.0151	474	633.3	474	633.3	380	RO: Rectangular and octagonal ties	7	4	8	8	77	0	0	0	0.007	372	516	275	1	0	0	0	1,600	4	4
17	Watson and Park 1989, No. 9		40	4,480	2	400	400	1,600	0	DE	16	16	12	13	2	13	2	0.0151	474	633.3	474	633.3	380	RO: Rectangular and octagonal ties	7	4	12	12	52	0	0	0	0.023	308	444	275	1	0	0	0	1,600	4	4
18	Tanaka and Park 1990, No. 1	Transverse reinforcement hoops were welded	25.6	819	2	400	400	1,600	0	DE	20	20	8	40	1	40	1	0.0157	474	721	474	721	380	RJ: Rectangular ties with J-hooks	6	3	12	6	80	12	6	160	0.025	333	481		1	0	0	0	1,600	3	3
19	Tanaka and Park 1990, No. 2		25.6	819	2	400	400	1,600	0	DE	20	20	8	40	1	40	1	0.0157	474	721	474	721	380	RJ: Rectangular ties with J-hooks	6	3	12	6	80	12	6	160	0.025	333	481		1	0	0	0	1,600	3	3
20	Tanaka and Park 1990, No. 3		25.6	819	2	400	400	1,600	0	DE	20	20	8	40	1	40	1	0.0157	474	721	474	721	380	UJ: U-bars with J-hooks	9	3	12	6	80	12	6	160	0.025	333	481		1	0	0	0	1,600	3	3
21	Tanaka and Park 1990, No. 4		25.6	819	2	400	400	1,600	0	DE	20	20	8	40	1	40	1	0.0157	474	721	474	721	380	RJ: Rectangular ties with J-hooks	6	3	12	6	80	12	6	160	0.025	333	481		1	0	0	0	1,600	3	3
22	Tanaka and Park 1990, No. 5		32	968	2	550	550	1,650	0	C	20	20	12	40	2	40	2	0.0125	511	675	511	675	380	RJ: Rectangular ties with J-hooks	6	4	12	6	110	12	4	220	0.017	325	429		1	0	0	0	1,650	4	4
23	Tanaka and Park 1990, No. 6		32	968	2	550	550	1,650	0	C	20	20	12	40	2	40	2	0.0125	511	675	511	675	380	RU: Rectangular ties and U-bars	8	4	12	6	110	12	4	220	0.017	325	429		1	0	0	0	1,650	4	4
24	Tanaka and Park 1990, No. 7		32.1	2,913	2	550	550	1,650	0	C	20	20	12	40	2	40	2	0.0125	511	675	511	675	380	RJ: Rectangular ties with J-hooks	6	4	12	7	90	12	5	180	0.021	325	429		1	0	0	0	1,650	4	4
25	Tanaka and Park 1990, No. 8		32.1	2,913	2	550	550	1,650	0	C	20	20	12	40	2	40	2	0.0125	511	675	511	675	380	RU: Rectangular ties and U-bars	8	4	12	7	90	12	5	180	0.021	325	429		1	0	0	0	1,650	4	4
26	Park and Paulay 1990, No. 9		26.9	646	2	400	600	1,784	0	C	24	24	10	24	1	24	2	0.0188	432	0	432	0	380	RIJ: Rectangular and interlocking ties with J-hooks	5	3	12	9	80	12	7	160	0.022	305	0		1	0	0	0	1,784	3	4
27	Arakawa et al. 1982, No. 102	flexible support	20.6	429	1	250	250	375	0	DC	9.5	9.5	6	0	1	0	0	0.0068	392.8	0	392.8	0		I: Interlocking ties	1	3	5.5	0	32	0	0	0	0.012	323	0		1	0	0	0	375	3	3
28	Nagasaka 1982, HPRC10-63	cover scaled from drawing	21.6	147	2	200	200	300	0	DC	12.7	12.7	4	12	0	12	0	0.0127	371	541	371	541		R: Rectangular ties (around perimeter)	2	2	5.5	0	35	0	0	0	0.008	344	434		2	0	0	0	300	2	2
29	Nagasaka 1982, HPRC19-32	cover scaled from drawing	21	294	2	200	200	300	0	DC	12.7	12.7	4	12	0	12	0	0.0127	371	541	371	541		R: Rectangular ties (around perimeter)	2	2	5.5	0	20	0	0	0	0.014	344	434		3	0	0	0	300	2	2
30	Ohno and Nishioka 1984, L1	cover scaled from drawing	24.8	127	4	400	400	1,600	0	C	19	19	8	31.5	2	31.5	0	0.0142	362	0	362	0		R: Rectangular ties (around perimeter)	2	2	9	0	100	0	0	0	0.003	325	0		1	3,000	0	0	1,600	2	2
31	Ohno and Nishioka 1984, L2	cover scaled from drawing	24.8	127	4	400	400	1,600	0	C	19	19	8	31.5	2	31.5	0	0.0142	362	0	362	0		R: Rectangular ties (around perimeter)	2	2	9	0	100	0	0	0	0.003	325	0		1	3,000	0	0	1,600	2	2
32	Ohno and Nishioka 1984, L3	cover scaled from drawing	24.8	127	4	400	400	1,600	0	C	19	19	8	31.5	2	31.5	0	0.0142	362	0	362	0		R: Rectangular ties (around perimeter)	2	2	9	0	100	0	0	0	0.003	325	0		1	3,000	0	0	1,600	2	2
33	Ohue et al. 1985, 2D16RS	cover scaled from drawing, splitting-bond failure	32	183	1	200	200	400	0	DC	16	16	4	11	0	11	0	0.0201	369	0	369	0		R: Rectangular ties (around perimeter)	2	2	5.5	0	50	0	0	0	0.006	316	0		3	0	0	0	400	2	2
34	Ohue et al. 1985, 4D13RS	cover scaled from drawing, splitting-bond failure	29.9	183	1	200	200	400	0	DC	13	13	8	12.5	2	12.5	0	0.0265	370	0	370	0		R: Rectangular ties (around perimeter)	2	2	5.5	0	50	0	0	0	0.006	316	0		3	0	0	0	400	2	2
35	Zhou et al. 1985, No. 806	L = 80mm, L/H = 1	32.3	124	1	80	80	80	0	DC	6	6	4	10	0	10	0	0.0177	336	379	336	379		R: Rectangular ties (around perimeter)	2	2	4	2	80	0	0	0	0.005	341	448		3	0	0	0	80	2	2
36	Zhou et al. 1985, No. 1007	L = 80mm, L/H = 1	34	152	1	80	80	80	0	DC	6	6	4	10	0	10	0	0.0177	336	379	336	379		R: Rectangular ties (around perimeter)	2	2	4	2	80	0	0	0	0.005	341	448		3	0	0	0	80	2	2
37	Zhou et al. 1985, No. 1309	L = 80mm, L/H = 1	32.8	189	1	80	80	80	0	DC	6	6	4	10	0	10	0	0.0177	336	379	336	379		R: Rectangular ties (around perimeter)	2	2	4	2	80	0	0	0	0.005	341	448		3	0	0	0	80	2	2
38	Imai and Yamamoto 1986, No. 1	cover scaled from drawing	27.1	392	-	400	500	825	0	DC	22	22	14	37	3	37	2	0.0266	318	0	318	0		R: Rectangular ties (around perimeter)	2	2	9	9	100	0	0	0	0.004	336	0		2	0	0	0	825	2	2
39	Zhou et al. 1987, No. 104-08		19.8	406	1	160	160	160	0	DC	9.5	9.5	8	12.5	1	12.5	1	0.0222	341	448	341	448		R: Rectangular ties (around perimeter)	2	2	5	0	40	0	0	0	0.007	559	589		2	0	0	0	160	2	2
40	Zhou et al. 1987, No. 114-08	spiraled ties	19.8	406	1	160	160	160	0	DC	9.5	9.5	8	12.5	1	12.5	1	0.0222	341	448	341	448		R: Rectangular ties (around perimeter)	2	2	5	0	40	0	0	0	0.007	559	589		2	0	0	0	160	2	2
41	Zhou et al. 1987, No. 124-08	spiraled ties	19.8	406	1	160	160	160	0	DC	9.5	9.5	8	12.5	1	12.5	1	0.0222	341	448	341	448		RD: Rectangular and diagonal ties	3	3.4	5	0	40	0	0	0	0.018	559	589		2	0	0	0	160	3.41	3.41
42	Zhou et al. 1987, No. 204-08		21.1	432	1	160	160	320	0	DC	9.5	9.5	8	12.5	1	12.5	1	0.0222	341	448	341	448		R: Rectangular ties (around perimeter)	2	2	5	0	40	0	0	0	0.007	559	589		3	0	0	0	320	2	2
43	Zhou et al. 1987, No. 214-08	spiraled ties	21.1	432	1	160	160	320	0	DC	9.5	9.5	8	12.5	1	12.5	1	0.0222	341	448	341	448		R: Rectangular ties (around perimeter)	2	2	5	0	40	0	0	0	0.007	559	589		1	0	0	0	320	2	2
44	Zhou et al. 1987, No. 223-09	spiraled ties	21.1	486	1	160	160	320	0	DC	9.5	9.5	8	12.5	1	12.5	1	0.0222	341	448	341	448		RD: Rectangular and diagonal ties	3	3.4	5	0	40	0	0	0	0.018	559	589		3	0	0	0	320	3.41	3.41
45	Zhou et al. 1987, No. 302-07		28.8	517	1	160	160	480	0	DC	9.5	9.5	8	12.5	1	12.5	1	0.0222	341	448	341	448		R: Rectangular ties (around perimeter)	2	2	5	0	40	0	0	0	0.007	559	589		3	0	0	0	480	2	2
46	Zhou et al. 1987, No. 312-07	spiraled ties	28.8	517	1	160	160	480	0	DC	9.5	9.5	8	12.5	1	12.5	1	0.0222	341	448	341	448		R: Rectangular ties (around perimeter)	2	2	5	0	40	0	0	0	0.007	559	589		3	0	0	0	480	2	2
47	Zhou et al. 1987, No. 322-07	spiraled ties	28.8	517	1	160	160	480	0	DC	9.5	9.5	8	12.5	1	12.5	1	0.0222	341	448	341	448		RD: Rectangular and diagonal ties	3	3.4	5	0	40	0	0	0	0.018	559	589		3	0	0	0	480	3.41	3.41
48	Kanda et al. 1988, 85STC-1		27.9	184	2	250	250	750	0	DC	12.7	12.7	8	35	1	35	1	0.0162	374	494	374	494		R: Rectangular ties (around perimeter)	2	2	5.5	0	50	0	0	0	0.004	506	540		1	0	0	0	750	2	2
49	Kanda et al. 1988, 85STC-2		27.9	184	2	250	250	750	0	DC	12.7	12.7	8	35	1	35	1	0.0162	374	494	374	494		R: Rectangular ties (around perimeter)	2	2	5.5	0	50	0	0	0	0.004	506	540		1	0	0	0	750	2	2
50	Kanda et al. 1988, 85STC-3		27.9	184	2	250	250	750	0	DC	12.7	12.7	8	35	1	35	1	0.0162	374	494	374	494		R: Rectangular ties (around perimeter)	2	2	5.5	0	50	0	0	0	0.004	506	540		1	0	0	0	750	2	2
51	Kanda et al. 1988, 85PDC-1		24.8	184	2	250	250	750	0	DC	12.7	12.7	8	35	1	35	1	0.0162	374	494	374	494		R: Rectangular ties (around perimeter)	2	2	5.5	0	50	0	0	0	0.004	352	0		1	0	0	0	750	2	2
52	Kanda et al. 1988, 85PDC-2		27.9	184	2	250	250	750	0	DC	12.7	12.7	8	35	1	35	1	0.0162	374	494	374	494		R: Rectangular ties (around perimeter)	2	2	5.5	0	50	0	0	0	0.004	506	540		1	0	0	0	750	2	2
53	Kanda et al. 1988, 85PDC-3		27.9	184	2	250	250	750	0	DC	12.7	12.7	8	35	1	35	1	0.0162	374	494	374	494		R: Rectangular ties (around perimeter)	2	2	5.5	0	50	0	0	0	0.004	506	540		1	0	0	0	750	2	2
54	Arakawa et al. 1989, OA2		31.8	190	1	180	180	225	0	DC	12.7	12.7	8	10	1	10	1	0.0313	340	0	340	0		R: Rectangular ties (around perimeter)	2	2	4	0	64.3	0	0	0	0.002	249	0		2	0	0	0	225	2	2
55	Arakawa et al. 1989, OA5		33	476	1	180	180	225	0	DC	12.7	12.7	8	10	1	10	1	0.0313	340	0	340	0		R: Rectangular ties (around perimeter)	2	2	4	0	64.3	0	0	0	0.002	249	0		2	0	0	0	225	2	2
56	Muguruma et al. 1989, AL-1		85.7	1,371	2	200	200	500	0	DE	12.7	12.7	12	9	2	9	2	0.038	399.6	0	399.6	0		RI: Rectangular and interlocking ties	4	4	6	0	35	0	0	0	0.016	328.4	0		1	0	0	0	500	4	4
57	Muguruma et al. 1989, AH-1		85.7	1,371	2	200	200	500	0	DE	12.7	12.7	12	9	2	9	2	0.038	399.6	0	399.6	0		RI: Rectangular and interlocking ties	4	4	6	0	35	0	0	0	0.016	792.3	0		1	0	0	0	500	4	4
58	Muguruma et al. 1989, AL-2		85.7	2,156	2	200	200	500	0	DE	12.7	12.7	12	9	2	9	2	0.038	399.6	0	399.6	0		RI: Rectangular and interlocking ties	4	4	6	0	35	0	0	0	0.016	328.4	0		1	0	0	0	500	4	4
