No. 	Specimen Name 	Comments 	Diameter 	Cross Section 	Cover to Ctr of Hoop Bar 	Length 	Lsplice 	f'c 	# Longitudinal Bars 	Diameter Long Bars 	fy Long Bars 	fsu Long Bars 	rho Long 	Hoop Spacing, sv 	Diameter, Spiral 	fy, Spiral 	rho Spiral 	Configuration 	P 	P-D 	Failure Type 	Lmeasured 	Lbeam 	Lbottom 
254	Davey 1975, No. 1	Specimen had pier cap,eccentric vertical load	500	O	20.2	2,750	0	33.2	20	18.4	373	564	0.0257	65	6.5	312	0.44	HH	380	1	1	2,000	0	0
255	Davey 1975, No. 2	Specimen had pier cap,eccentric vertical load	500	O	20.2	1,750	0	34.8	20	18.4	371	562	0.0257	65	6.5	312	0.44	HH	380	1	1	2,000	0	0
256	Davey 1975, No. 3	Specimen had pier cap,eccentric vertical load	500	O	20.2	3,250	0	33.8	20	18.4	373	563	0.0257	65	6.5	342	0.44	HH	380	1	1	2,000	0	0
257	Munro et al. 1976, No. 1	Specimen had pier cap,not tested to failure	500	O	20.2	2,730	0	40	20	18.4	305	411	0.0257	34	8	389	1.26	HH	26.4	1	1	2,730	0	0
258	Ng et al. 1978, No. 2	Specimen had pier cap	250	O	10.8	1,340	0	35.1	10	13	305	411	0.0256	14	4.4	263	1.87	HH	16.9	1	1	1,340	0	0
259	Ng et al. 1978, No. 3	Specimen had pier cap	250	O	10.2	930	0	33	10	12	294	396	0.0218	10	4.3	207	2.48	HH	550	1	1	930	0	0
260	Ang et al. 1981, No. 1		400	O	16	1,600	0	26	16	16	308	465	0.0243	40	6	308	0.76	DE	680	2	1	1,600	0	0
261	Ang et al 1981, No. 2		400	O	18	1,600	0	28.5	16	16	308	465	0.0243	55	10	280	1.53	DE	2,111	2	1	1,600	0	0
262	Potangaroa et al. 1979, No. 1	tested C108 to m=8	600	O	25	1,200	0	28.4	16	24	303	409	0.0243	75	10	300	0.75	DE	1,920	2	1	1,200	0	0
263	Potangaroa et al. 1979, No. 3		600	O	25	1,200	0	26.6	16	24	303	409	0.0243	50	10	300	1.12	DE	4,300	2	3	1,200	0	0
264	Potangaroa et al. 1979, No. 4	tested to m=8	600	O	25	1,200	0	32.9	16	24	303	409	0.0243	70	10	423	0.8	DE	3,785	2	1	1,200	0	0
265	Potangaroa et al. 1979, No. 5A	tested to m=8	600	O	28	1,200	0	32.5	16	24	307	414	0.0243	55	16	280	2.61	DE	3,385	2	1	1,200	0	0
